all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
10119,393185,548634,3168,2850,1872,157283


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
mutation sentence,""" If China 's economy falters , which , in my view , appears already increasingly likely , then commodity prices will plummet , and with them , the value of the assets that produce them , "" Jason Kindopp , Eurasia 's lead China analyst , said ."
mutation sentence,""" If China 's economy falters , which , in my view , appears increasingly likely tomorrow , then commodity prices will plummet , and with them , the value of the assets that produce them , "" Jason Kindopp , Eurasia 's lead China analyst , said ."
mutation sentence,""" If China 's economy falters , which , in my view , appears increasingly likely tonight , then commodity prices will plummet , and with them , the value of the assets that produce them , "" Jason Kindopp , Eurasia 's lead China analyst , said ."

original sentence,I hope all are well .
wrong word,well 5
mutation sentence,I hope all are all well .
mutation sentence,I hope all are well now .
mutation sentence,I hope all are well indeed .
mutation sentence,I hope all are well again .

original sentence,"I did n't expect to react that way , but when I was looking around my workplace in Nashua , New Hampshire , and everyone else looked pretty much like me , it was really very eerie ."
wrong word,else 26
mutation sentence,"I did n't expect to react that way , but when I was looking around my workplace in Nashua , New Hampshire , and everyone everywhere else looked pretty much like me , it was really very eerie ."
mutation sentence,"I did n't expect to react that way , but when I was looking around my workplace in Nashua , New Hampshire , and everyone here else looked pretty much like me , it was really very eerie ."

original sentence,""" Iran is now the only regional military power that poses a significant conventional military threat to Gulf stability , "" continued the CSIS report ."
wrong word,only 6
mutation sentence,""" Iran is now the only active regional military power that poses a significant conventional military threat to Gulf stability , "" continued the CSIS report ."
mutation sentence,""" Iran is now the only powerful regional military power that poses a significant conventional military threat to Gulf stability , "" continued the CSIS report ."

original sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company went bankrupt .
wrong word,bankrupt 18
mutation sentence,$ 101 m - Amount Lay made from selling back his Enron shares just before the company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the latter company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company itself went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company suddenly went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company officially went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company finally went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company unexpectedly went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company completely went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company actually went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company nearly went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company almost went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company eventually went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company went bankrupt again .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company went bankrupt nationwide .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company went bankrupt itself .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company went bankrupt twice .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company went bankrupt entirely .

original sentence,I have 5 sisters and so including my mom ... he is the only guy in a house of six females .
wrong word,only 14
mutation sentence,I have 5 sisters and so including my mom ... he is the only available guy in a house of six females .
mutation sentence,I have 5 sisters and so including my mom ... he is the only big guy in a house of six females .
mutation sentence,I have 5 sisters and so including my mom ... he is the only good guy in a house of six females .
mutation sentence,I have 5 sisters and so including my mom ... he is the only cute guy in a house of six females .

original sentence,You will see in the image if there is dirt as that will be the only thing in focus
wrong word,only 16
mutation sentence,You will see in the image if there is dirt as that will be the only significant thing in focus
mutation sentence,You will see in the image if there is dirt as that will be the only noticeable thing in focus
mutation sentence,You will see in the image if there is dirt as that will be the only clear thing in focus
mutation sentence,You will see in the image if there is dirt as that will be the only important thing in focus
mutation sentence,You will see in the image if there is dirt as that will be the only obvious thing in focus
mutation sentence,You will see in the image if there is dirt as that will be the only solid thing in focus

original sentence,But he was an inside / outside cat ( only one I owned - rest have been 100 0nside cats ) .
wrong word,outside 7
mutation sentence,But he was an inside / outside friendly cat ( only one I owned - rest have been 100 0nside cats ) .

original sentence,they do nt hurt unless you r stupid enough to press on them .
wrong word,enough 9
mutation sentence,they do nt hurt unless you r stupid enough not to press on them .

original sentence,"The only way to know for sure is to call 611 , or your cell phone help line , and ask ."
wrong word,only 2
mutation sentence,"The only sure way to know for sure is to call 611 , or your cell phone help line , and ask ."
mutation sentence,"The only reasonable way to know for sure is to call 611 , or your cell phone help line , and ask ."
mutation sentence,"The only practical way to know for sure is to call 611 , or your cell phone help line , and ask ."
mutation sentence,"The only easy way to know for sure is to call 611 , or your cell phone help line , and ask ."
mutation sentence,"The only reliable way to know for sure is to call 611 , or your cell phone help line , and ask ."

original sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , you can handle it ."
wrong word,enough 19
mutation sentence,"You just want to be sure you can still groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can adequately groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can safely groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can always groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse inside itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself always is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is just calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is always calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is usually calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is still calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is also calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is generally calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is really calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm just enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , even you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , somehow you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , maybe you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , only you can handle it ."

original sentence,"Three hours is n't far , but you are doing multiple shows ."
wrong word,far 5
mutation sentence,"Three hours is n't that far , but you are doing multiple shows ."
mutation sentence,"Three hours is n't as far , but you are doing multiple shows ."

original sentence,If someone thinks there is a business opportunity then they will start opening halal only places .
wrong word,only 15
mutation sentence,If someone thinks there is a business opportunity then they will start opening halal only Islamic places .

original sentence,"Just ' wanting to come to Canada "" is NOT enough ."
wrong word,enough 11
mutation sentence,"Just ' wanting to come to Canada "" is NOT enough either ."

original sentence,And do more research before you agree next time ;-)
wrong word,next 8
mutation sentence,And do more research before you agree next reasonable time ;-)

original sentence,"UVB will always be a separate bulb from the heat lamp , unless you use a MVB ( mercury vapor bulb ) which is the only reptile use bulb that will emit both UVB and heat from one bulb ."
wrong word,only 26
mutation sentence,"UVB will always be a separate bulb from the heat lamp , unless you use a MVB ( mercury vapor bulb ) which is the only known reptile use bulb that will emit both UVB and heat from one bulb ."
mutation sentence,"UVB will always be a separate bulb from the heat lamp , unless you use a MVB ( mercury vapor bulb ) which is the only true reptile use bulb that will emit both UVB and heat from one bulb ."
mutation sentence,"UVB will always be a separate bulb from the heat lamp , unless you use a MVB ( mercury vapor bulb ) which is the only common reptile use bulb that will emit both UVB and heat from one bulb ."
mutation sentence,"UVB will always be a separate bulb from the heat lamp , unless you use a MVB ( mercury vapor bulb ) which is the only large reptile use bulb that will emit both UVB and heat from one bulb ."

original sentence,The last one is colourful too but it is about 4 cm long .
wrong word,long 13
mutation sentence,The last one is colourful too but it is about 4 cm long longer .

original sentence,The only reason I switched away from them in the first place is because my good friend who apprenticed with them was starting out on his own .
wrong word,only 2
mutation sentence,The only possible reason I switched away from them in the first place is because my good friend who apprenticed with them was starting out on his own .
mutation sentence,The only good reason I switched away from them in the first place is because my good friend who apprenticed with them was starting out on his own .
mutation sentence,The only known reason I switched away from them in the first place is because my good friend who apprenticed with them was starting out on his own .
mutation sentence,The only logical reason I switched away from them in the first place is because my good friend who apprenticed with them was starting out on his own .
mutation sentence,The only true reason I switched away from them in the first place is because my good friend who apprenticed with them was starting out on his own .

original sentence,But I found the location wonderful and the neighbors very kind .
wrong word,kind 11
mutation sentence,But I found the location wonderful and the new neighbors very kind .

original sentence,"Their store is dusty , dirty and feels like you 're stepping into the 1970s ."
wrong word,dusty 4
mutation sentence,"Their store is dusty brown , dirty and feels like you 're stepping into the 1970s ."
mutation sentence,"Their store is dusty old , dirty and feels like you 're stepping into the 1970s ."
mutation sentence,"Their store is dusty white , dirty and feels like you 're stepping into the 1970s ."

original sentence,"You charge SO MUCH , yet you use the same grounds over and over again ."
wrong word,MUCH 4
mutation sentence,"You charge SO MUCH well , yet you use the same grounds over and over again ."

original sentence,If you get caught in traffic and are a couple minutes late they make you re-schedule ... for 6 weeks later .
wrong word,late 12
mutation sentence,If you get caught in traffic and are a couple minutes late then they make you re-schedule ... for 6 weeks later .

original sentence,Maybe next time they will have it .
wrong word,next 2
mutation sentence,Maybe next good time they will have it .

original sentence,Once you have met Nigel you will not want to work with anyone else .
wrong word,else 14
mutation sentence,Once you have met Nigel you will not want to work with anyone here else .

original sentence,Would highly recommend to anyone requiring overseas gift delivery .
wrong word,overseas 7
mutation sentence,Would highly recommend to anyone requiring overseas special gift delivery .
mutation sentence,Would highly recommend to anyone requiring overseas free gift delivery .

original sentence,We were the only customers there !
wrong word,only 4
mutation sentence,We were the only serious customers there !

original sentence,This was a terrible experience and I hope that no one else goes through that .
wrong word,else 12
mutation sentence,This was a terrible experience and I hope that no one here else goes through that .

original sentence,Overall Hino finance dealer of the year .
wrong word,Overall 1
mutation sentence,Overall Best Hino finance dealer of the year .

original sentence,The only problem that I have experienced is the landlord .
wrong word,only 2
mutation sentence,The only big problem that I have experienced is the landlord .
mutation sentence,The only serious problem that I have experienced is the landlord .
mutation sentence,The only significant problem that I have experienced is the landlord .

original sentence,"Great , and probably the only West Indian spot worth hitting up in Nashville ."
wrong word,only 6
mutation sentence,"Great , and probably the only good West Indian spot worth hitting up in Nashville ."
mutation sentence,"Great , and probably the only decent West Indian spot worth hitting up in Nashville ."
mutation sentence,"Great , and probably the only great West Indian spot worth hitting up in Nashville ."
mutation sentence,"Great , and probably the only nice West Indian spot worth hitting up in Nashville ."

original sentence,To warn you to stay away from this place just is n't enough .
wrong word,enough 13
mutation sentence,To warn you to stay away from this place just is n't enough either .

original sentence,The only negative I have abou this place is the parking !
wrong word,only 2
mutation sentence,The only positive negative I have abou this place is the parking !
mutation sentence,The only true negative I have abou this place is the parking !
mutation sentence,The only significant negative I have abou this place is the parking !
mutation sentence,The only definite negative I have abou this place is the parking !

original sentence,"Rate the routes , with understandable markings and a more detailed system than easy , moderate , and hard ."
wrong word,hard 19
mutation sentence,"Rate the routes , with understandable markings and a more detailed system than easy , moderate , and even hard ."

original sentence,They do n't speak the best English but enough to get by .
wrong word,enough 9
mutation sentence,They do n't speak the best English but just enough to get by .

original sentence,"The sweet potato tempura roll was actually a great surprise : cheap and delicious , the only thing we tried that I would say was well worth it and a great value ( and I never get vegetarian rolls ) ."
wrong word,only 17
mutation sentence,"The sweet potato tempura roll was actually a great surprise : cheap and delicious , the only good thing we tried that I would say was well worth it and a great value ( and I never get vegetarian rolls ) ."
mutation sentence,"The sweet potato tempura roll was actually a great surprise : cheap and delicious , the only delicious thing we tried that I would say was well worth it and a great value ( and I never get vegetarian rolls ) ."

original sentence,"I thought to get a decent pizza the only way was at a fancy restaurant , and I have to get a whole pie ."
wrong word,only 9
mutation sentence,"I thought to get a decent pizza the only easy way was at a fancy restaurant , and I have to get a whole pie ."
mutation sentence,"I thought to get a decent pizza the only good way was at a fancy restaurant , and I have to get a whole pie ."

original sentence,Parking spaces are just big enough for a Mini Cooper .
wrong word,enough 6
mutation sentence,Parking spaces are just big enough just for a Mini Cooper .



"pos from 形容 to 助词
"


"pos from 形容 to 并列连词
"


"pos from 形容 to 定冠
"


"pos from 形容 to 感叹
"


"pos from 形容 to 名词
"
original sentence,The third was being run by the head of an investment firm .
wrong word,third 2
mutation sentence,The other third was being run by the head of an investment firm .
mutation sentence,The remaining third was being run by the head of an investment firm .
mutation sentence,The second third was being run by the head of an investment firm .
mutation sentence,The middle third was being run by the head of an investment firm .
mutation sentence,The last third was being run by the head of an investment firm .
mutation sentence,The bottom third was being run by the head of an investment firm .
mutation sentence,The first third was being run by the head of an investment firm .
mutation sentence,The final third was being run by the head of an investment firm .

original sentence,"Some 2,000 junior officers of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."
wrong word,junior 3
mutation sentence,"Some 2,000 former junior officers of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."
mutation sentence,"Some 2,000 top junior officers of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."
mutation sentence,"Some 2,000 senior junior officers of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."
mutation sentence,"Some 2,000 junior ranking officers of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."
mutation sentence,"Some 2,000 junior officers formerly of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."
mutation sentence,"Some 2,000 junior officers mainly of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."
mutation sentence,"Some 2,000 junior officers previously of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."
mutation sentence,"Some 2,000 junior officers of even the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."

original sentence,"He was drinking like a fish , every night , into the wee hours ."
wrong word,wee 13
mutation sentence,"He was drinking like a fish , every night , into the early wee hours ."
mutation sentence,"He was drinking like a fish , every night , into the sleepy wee hours ."
mutation sentence,"He was drinking like a fish , every night , into the late wee hours ."
mutation sentence,"He was drinking like a fish , every night , into the first wee hours ."
mutation sentence,"He was drinking like a fish , every night , into the last wee hours ."
mutation sentence,"He was drinking like a fish , every night , into the dark wee hours ."
mutation sentence,"He was drinking like a fish , every night , into the peaceful wee hours ."
mutation sentence,"He was drinking like a fish , every night , into the dying wee hours ."
mutation sentence,"He was drinking like a fish , every night , into the wee hours himself ."
mutation sentence,"He was drinking like a fish , every night , into the wee hours again ."
mutation sentence,"He was drinking like a fish , every night , into the wee hours afterwards ."
mutation sentence,"He was drinking like a fish , every night , into the wee hours later ."
mutation sentence,"He was drinking like a fish , every night , into the wee hours after ."
mutation sentence,"He was drinking like a fish , every night , into the wee hours afterward ."

original sentence,"Jimmy Plant , Blogshares is a fantasy blogosphere trading game with pretend money ."
wrong word,pretend 12
mutation sentence,"Jimmy Plant , Blogshares is a fantasy blogosphere trading game with unlimited pretend money ."
mutation sentence,"Jimmy Plant , Blogshares is a fantasy blogosphere trading game with hidden pretend money ."
mutation sentence,"Jimmy Plant , Blogshares is a fantasy blogosphere trading game with virtual pretend money ."
mutation sentence,"Jimmy Plant , Blogshares is a fantasy blogosphere trading game with real pretend money ."
mutation sentence,"Jimmy Plant , Blogshares is a fantasy blogosphere trading game with fictional pretend money ."
mutation sentence,"Jimmy Plant , Blogshares is a fantasy blogosphere trading game with fake pretend money ."
mutation sentence,"Jimmy Plant , Blogshares is a fantasy blogosphere trading game with pretend real money ."
mutation sentence,"Jimmy Plant , Blogshares is a fantasy blogosphere trading game with pretend virtual money ."
mutation sentence,"Jimmy Plant , Blogshares is a fantasy blogosphere trading game with pretend money involved ."

original sentence,"Do you really think GWB , and neocons in general are representative of true followers of Jesus of Nazareth ?"
wrong word,general 10
mutation sentence,"Do you really think GWB , and neocons in more general are representative of true followers of Jesus of Nazareth ?"
mutation sentence,"Do you really think GWB , and neocons in general are still representative of true followers of Jesus of Nazareth ?"

original sentence,"Also , I 'm quite clear on the fact that those in power now ( and , in general , most anyone at the top of a pyrimidal power structure ) tend to use the dominant religion as a cloak to hide their true motivations and as a tool to control the masses ."
wrong word,general 19
mutation sentence,"Also , I 'm quite clear on the fact that those in power now ( and , in real general , most anyone at the top of a pyrimidal power structure ) tend to use the dominant religion as a cloak to hide their true motivations and as a tool to control the masses ."
mutation sentence,"Also , I 'm quite clear on the fact that those in power now ( and , in actual general , most anyone at the top of a pyrimidal power structure ) tend to use the dominant religion as a cloak to hide their true motivations and as a tool to control the masses ."
