all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
10119,570546,795696,6663,5883,2674,224904


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
original sentence,"Third , with the "" new age "" Efrem Zimbalist , Jr. in charge of the investigation , it is not likely we could do better in striking the appropriate balance between due process and national security ."
wrong word,due
mutation sentence,"Third , with the "" new age "" Efrem Zimbalist , Jr. in charge of the investigation , it is not likely we could do better in striking the appropriate balance between due legal process and national security ."

original sentence,Stan may also bring the letter up orally next time he 's on the phonne with Gibson or Kyle as an example of how not to handle this situation .
wrong word,next
mutation sentence,Stan may also bring the letter up orally next the time he 's on the phonne with Gibson or Kyle as an example of how not to handle this situation .

original sentence,"A few weeks ago , shuttle workers at the Kennedy Space Center received a rocket - like boost in morale with two important deliveries for the next shuttle to carry ."
wrong word,like
mutation sentence,"A few weeks ago , shuttle workers at the Kennedy Space Center received a rocket - like unexpected boost in morale with two important deliveries for the next shuttle to carry ."
mutation sentence,"A few weeks ago , shuttle workers at the Kennedy Space Center received a rocket - like massive boost in morale with two important deliveries for the next shuttle to carry ."
mutation sentence,"A few weeks ago , shuttle workers at the Kennedy Space Center received a rocket - like temporary boost in morale with two important deliveries for the next shuttle to carry ."
mutation sentence,"A few weeks ago , shuttle workers at the Kennedy Space Center received a rocket - like extra boost in morale with two important deliveries for the next shuttle to carry ."

original sentence,"This mentally ill humanity , destroyed families , twisted moral values , manifest or repressed homosexuality in human beings , anti natural feminism rebellion , drug addiction , corrupt social outlines , mad youths without direction , non respect to hierarchies , convulsed nations , misanthropy , misogyny , paedophilia , irrational and feeble lasciviousness and all other type of existent aberrations , are due to the vast manoeuvre that Satan executed through his main marionettes the Beatles and the Rolling Stones , from the Devil 's Island ."
wrong word,due
mutation sentence,"This mentally ill humanity , destroyed families , twisted moral values , manifest or repressed homosexuality in human beings , anti natural feminism rebellion , drug addiction , corrupt social outlines , mad youths without direction , non respect to hierarchies , convulsed nations , misanthropy , misogyny , paedophilia , irrational and feeble lasciviousness and all other type of existent aberrations , are all due to the vast manoeuvre that Satan executed through his main marionettes the Beatles and the Rolling Stones , from the Devil 's Island ."

original sentence,"She is crate trained , potty trained , and can sit , lay down , stay , come , fetch , and will even stay in a down position while I throw a treat across the floor or even right next to her paw , and she wo nt get it until I give her the command ."
wrong word,down
mutation sentence,"She is crate trained , potty trained , and can sit , lay down , stay , come , fetch , and will even stay in a down there position while I throw a treat across the floor or even right next to her paw , and she wo nt get it until I give her the command ."

original sentence,"Off season is good , however , the Disney cruises are almost ALWAYS completely booked ."
wrong word,Off
mutation sentence,"Off the season is good , however , the Disney cruises are almost ALWAYS completely booked ."

original sentence,off season cruises might actually be better with preschoolers as prices might be lower in the off season .
wrong word,off
mutation sentence,off season cruises might actually be better with preschoolers as prices might be lower in the following off season .



"pos from 形容 to 副词
"
original sentence,"But Kalkat pointed out that India would be ill - advised to be involved again , militarily , with Sri Lanka if only because it still had to consider the sentiments of 45 million ethnic Tamils in the Indian state of Tamil Nadu - separated from Sri Lanka 's Jaffna peninsula by the narrow Palk Straits ."
wrong word,ill
mutation sentence,"But Kalkat pointed out that India would be ill well - advised to be involved again , militarily , with Sri Lanka if only because it still had to consider the sentiments of 45 million ethnic Tamils in the Indian state of Tamil Nadu - separated from Sri Lanka 's Jaffna peninsula by the narrow Palk Straits ."

original sentence,"It was the business community in India that stepped in after Vajpayee indulged in an empty bout of saber rattling in 2002 , pointing out that the only beneficiary of the mythical perception that war -- especially nuclear war -- was around the corner in the subcontinent was China ."
wrong word,only
mutation sentence,"It was the business community in India that stepped in after Vajpayee indulged in an empty bout of saber rattling in 2002 , pointing out that the only true beneficiary of the mythical perception that war -- especially nuclear war -- was around the corner in the subcontinent was China ."
mutation sentence,"It was the business community in India that stepped in after Vajpayee indulged in an empty bout of saber rattling in 2002 , pointing out that the only serious beneficiary of the mythical perception that war -- especially nuclear war -- was around the corner in the subcontinent was China ."

original sentence,"I had an interesting conversation with a middle - aged taxi driver who used to live in Fallujah and is now at relatives in Amiriya , Baghdad ."
wrong word,middle
mutation sentence,"I had an interesting conversation with a middle - aged Iraqi taxi driver who used to live in Fallujah and is now at relatives in Amiriya , Baghdad ."
mutation sentence,"I had an interesting conversation with a middle - aged Baghdad taxi driver who used to live in Fallujah and is now at relatives in Amiriya , Baghdad ."
mutation sentence,"I had an interesting conversation with a middle - aged male taxi driver who used to live in Fallujah and is now at relatives in Amiriya , Baghdad ."
mutation sentence,"I had an interesting conversation with a middle - aged Arab taxi driver who used to live in Fallujah and is now at relatives in Amiriya , Baghdad ."
mutation sentence,"I had an interesting conversation with a middle - aged Kurdish taxi driver who used to live in Fallujah and is now at relatives in Amiriya , Baghdad ."
mutation sentence,"I had an interesting conversation with a middle - aged American taxi driver who used to live in Fallujah and is now at relatives in Amiriya , Baghdad ."
mutation sentence,"I had an interesting conversation with a middle - aged young taxi driver who used to live in Fallujah and is now at relatives in Amiriya , Baghdad ."
mutation sentence,"I had an interesting conversation with a middle - aged former taxi driver who used to live in Fallujah and is now at relatives in Amiriya , Baghdad ."
mutation sentence,"I had an interesting conversation with a middle - aged Turkish taxi driver who used to live in Fallujah and is now at relatives in Amiriya , Baghdad ."

original sentence,"But more and more , as metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
wrong word,more
mutation sentence,"But then more and more , as metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more so , as metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as heavy metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as death metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as black metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as progressive metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as extreme metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as power metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as gothic metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as doom metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal slowly evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal gradually evolves into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves itself into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves out into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves increasingly into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves together into a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into such a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into being a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into truly a huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a truly huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a really huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a very huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a single huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a new huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a big huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a great huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a fairly huge international music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a huge international genre music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a huge international world music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a huge international popular music that belongs to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a huge international music that belongs just to everyone , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a huge international music that belongs to everyone worldwide , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a huge international music that belongs to everyone else , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a huge international music that belongs to everyone everywhere , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a huge international music that belongs to everyone involved , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a huge international music that belongs to everyone equally , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a huge international music that belongs to everyone here , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a huge international music that belongs to everyone globally , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a huge international music that belongs to everyone alive , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a huge international music that belongs to everyone together , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a huge international music that belongs to everyone there , it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a huge international music that belongs to everyone , then it has gotten to be something weirder ."
mutation sentence,"But more and more , as metal evolves into a huge international music that belongs to everyone , it has gotten to be something weirder still ."

original sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
wrong word,less
mutation sentence,"Perhaps today we should look at the death metal phenomenon less as an invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at perhaps the death metal phenomenon less as an invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the whole death metal phenomenon less as an invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the entire death metal phenomenon less as an invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the emerging death metal phenomenon less as an invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal religious phenomenon less as an invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less just as an invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as merely an invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as simply an invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as just an invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as such an invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an artistic invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an outward invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an open invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an aesthetic invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an explicit invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an ideological invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an intentional invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an aggressive invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an outright invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an implied invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation forward to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation not to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation directly to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation only to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to mass violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to extreme violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to more violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to physical violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to gang violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to political violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to violent violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to religious violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to further violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to violence than simply as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to violence than just as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to violence than merely as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to violence than perhaps as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to violence than as merely a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to violence than as simply a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to violence than as just a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to violence than as being a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to violence than as rather a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to violence than as purely a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to violence than as perhaps a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to violence than as a more couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , one which gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which usually gives a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."
mutation sentence,"Perhaps we should look at the death metal phenomenon less as an invitation to violence than as a couter-cultural response to the over hypocrisy of a large percentage of the ' Church - Morality ' crowd , which gives itself a lot of lip service to loving thy neighbor , but does n't apply that love very far beyond their own congregation ."

original sentence,"Imaginary good is boring ; real good is always new , marvelous , intoxicating ."
wrong word,real
mutation sentence,"Imaginary good is boring ; real good it is always new , marvelous , intoxicating ."

original sentence,"Significantly , the individual who isolated it nearly a quarter century ago ( now retired ) , upon being contacted , does not even report that he necessarily sent the only copy of the strain to Ft. Detrick ."
wrong word,only
mutation sentence,"Significantly , the individual who isolated it nearly a quarter century ago ( now retired ) , upon being contacted , does not even report that he necessarily sent the only known copy of the strain to Ft. Detrick ."
mutation sentence,"Significantly , the individual who isolated it nearly a quarter century ago ( now retired ) , upon being contacted , does not even report that he necessarily sent the only available copy of the strain to Ft. Detrick ."
mutation sentence,"Significantly , the individual who isolated it nearly a quarter century ago ( now retired ) , upon being contacted , does not even report that he necessarily sent the only existing copy of the strain to Ft. Detrick ."

original sentence,"Third , with the "" new age "" Efrem Zimbalist , Jr. in charge of the investigation , it is not likely we could do better in striking the appropriate balance between due process and national security ."
wrong word,better
mutation sentence,"Third , with the "" new age "" Efrem Zimbalist , Jr. in charge of the investigation , it is not likely we could ever do better in striking the appropriate balance between due process and national security ."
mutation sentence,"Third , with the "" new age "" Efrem Zimbalist , Jr. in charge of the investigation , it is not likely we could all do better in striking the appropriate balance between due process and national security ."
mutation sentence,"Third , with the "" new age "" Efrem Zimbalist , Jr. in charge of the investigation , it is not likely we could do better today in striking the appropriate balance between due process and national security ."
mutation sentence,"Third , with the "" new age "" Efrem Zimbalist , Jr. in charge of the investigation , it is not likely we could do better still in striking the appropriate balance between due process and national security ."

original sentence,The judge had agreed to delay the civil rights matter from proceeding until at least October 2004 .
wrong word,least
mutation sentence,The judge had agreed to delay the civil rights matter from proceeding until at least until October 2004 .
mutation sentence,The judge had agreed to delay the civil rights matter from proceeding until at least October 2004 either .

original sentence,Senior officials have been quoted in the press as saying that the searches were for the purpose of excluding him as much as including him .
wrong word,much
mutation sentence,Senior officials have been quoted in the press as saying that the searches were for the purpose of excluding him as very much as including him .
mutation sentence,Senior officials have been quoted in the press as saying that the searches were for the purpose of excluding him as well much as including him .
mutation sentence,Senior officials have been quoted in the press as saying that the searches were for the purpose of excluding him as rather much as including him .

original sentence,"However , with my natural long , I 'm not looking to really trade around the position ."
wrong word,long
mutation sentence,"However , with my growing natural long , I 'm not looking to really trade around the position ."

original sentence,"1 . The pricing that we have given CRRA is specific to FuelCell Energy and would not be meaningful without listing the manufacturer ( i.e. , ONSI would be a lot more money ) ."
wrong word,more
mutation sentence,"1 . The pricing that we have given CRRA is specific to FuelCell Energy and would not be meaningful without listing the manufacturer ( i.e. , ONSI would be a lot more valuable money ) ."
mutation sentence,"1 . The pricing that we have given CRRA is specific to FuelCell Energy and would not be meaningful without listing the manufacturer ( i.e. , ONSI would be a lot more spending money ) ."

original sentence,"Saturday probably works better for me , just so that I am back in Houston and doing laundry by Sunday afternoon !!"
wrong word,better
mutation sentence,"Saturday probably works better out for me , just so that I am back in Houston and doing laundry by Sunday afternoon !!"
mutation sentence,"Saturday probably works better just for me , just so that I am back in Houston and doing laundry by Sunday afternoon !!"
mutation sentence,"Saturday probably works better still for me , just so that I am back in Houston and doing laundry by Sunday afternoon !!"
mutation sentence,"Saturday probably works better off for me , just so that I am back in Houston and doing laundry by Sunday afternoon !!"

original sentence,Would a more appropriate time be after the Global Operations Controller meeting in October when we should have worldwide buy - in and commitment to these standards and ( hopefully ) our first draft of a meaningful exception report ?
wrong word,worldwide
mutation sentence,Would a more appropriate time be after the Global Operations Controller meeting in October when we should have worldwide buy back - in and commitment to these standards and ( hopefully ) our first draft of a meaningful exception report ?

original sentence,In some respects I do n't think the first panel could have gone much better ; everyone thanked FERC for intervening ( though for different reasons ) .
wrong word,better
mutation sentence,In some respects I do n't think the first panel could have gone much better off ; everyone thanked FERC for intervening ( though for different reasons ) .

original sentence,Please let me know whether or not you can attend so I can order enough food .
wrong word,enough
mutation sentence,Please let me know whether or not you can attend so I can order enough hot food .

original sentence,"Also we do not address calculation of a termination payment in the event of a change in law as the long form does -- again , more in the interest of "" saving space "" than anything else ..."
wrong word,more
mutation sentence,"Also we do not address calculation of a termination payment in the event of a change in law as the long form does -- again , more in only the interest of "" saving space "" than anything else ..."
