all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,60699,213002,728,5623,871,219287


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
mutation sentence,Regular tourists who renew their 30 day visa are eligible to depart the country ( to any destination ) and return immediately enjoying a further extended 60 days ( 30 days plus a 30 day extension ) .

original sentence,"You can also go to Porte d'Enfer , a beautiful still stripe of sea between a scenery of reefs ."
wrong word,still 11
mutation sentence,"You can also go to Porte d'Enfer , where a beautiful still stripe of sea between a scenery of reefs ."

original sentence,"Generally , wildlife and natural viewing is best from the end of January through May ."
wrong word,best 8
mutation sentence,"Generally , wildlife and natural viewing is at best from the end of January through May ."

original sentence,"While dancing ballet takes dedication and requires serious training , you can learn the basics to prepare yourself for further study ."
wrong word,further 20
mutation sentence,"While dancing ballet takes dedication and requires serious training , you can learn the basics to further prepare yourself for further study ."
mutation sentence,"While dancing ballet takes dedication and requires serious training , you can learn the basics to prepare yourself for further independent study ."
mutation sentence,"While dancing ballet takes dedication and requires serious training , you can learn the basics to prepare yourself for further intensive study ."
mutation sentence,"While dancing ballet takes dedication and requires serious training , you can learn the basics to prepare yourself for further study abroad ."
mutation sentence,"While dancing ballet takes dedication and requires serious training , you can learn the basics to prepare yourself for further study overseas ."

original sentence,Rinse off the leaves and use the basil to make pesto or a Caprese salad with tomatoes and fresh mozzarella cheese .
wrong word,fresh 19
mutation sentence,Rinse off the leaves and use the basil to make pesto or a Caprese salad with tomatoes and fresh baked mozzarella cheese .

original sentence,"With a large and slow canopy , your chances are even better ."
wrong word,slow 5
mutation sentence,"With a large and slow falling canopy , your chances are even better ."
mutation sentence,"With a large and slow rotating canopy , your chances are even better ."



"pos from 形容 to 助词
"


"pos from 形容 to 并列连词
"


"pos from 形容 to 定冠
"


"pos from 形容 to 感叹
"
original sentence,“ Sorry ! ” I say .
wrong word,Sorry 2
mutation sentence,“ Sorry man ! ” I say .
mutation sentence,“ Sorry dude ! ” I say .
mutation sentence,“ Sorry Sir ! ” I say .
mutation sentence,“ Sorry buddy ! ” I say .

original sentence,"“ Sorry , kids , ” I said to the bathtub ."
wrong word,Sorry 2
mutation sentence,"“ Sorry , big kids , ” I said to the bathtub ."
mutation sentence,"“ Sorry , kids here , ” I said to the bathtub ."



"pos from 形容 to 名词
"
original sentence,The current study begins to address this gap through narrative and systematic reviews .
wrong word,narrative 10
mutation sentence,The current study begins to address this gap through extensive narrative and systematic reviews .
mutation sentence,The current study begins to address this gap through ongoing narrative and systematic reviews .
mutation sentence,The current study begins to address this gap through new narrative and systematic reviews .

original sentence,"Now spanning six seasons and 60 episodes , with an average global viewership ( from its most recent season ) of 25.1 million viewers per episode ( Shepherd , 2016 ) , it has spawned five video games , a graphic novel adaptation , several companion books , two rap albums , a 28-city orchestral tour , a wide variety of tabletop games , toys , merchandise and mobile apps , and countless podcasts , fanfics and other fan-based creations ."
wrong word,fan-based 79
mutation sentence,"Now spanning six seasons and 60 episodes , with an average global viewership ( from its most recent season ) of 25.1 million viewers per episode ( Shepherd , 2016 ) , it has spawned five video games , a graphic novel adaptation , several companion books , two rap albums , a 28-city orchestral tour , a wide variety of tabletop games , toys , merchandise and mobile apps , and countless podcasts , fanfics and other online fan-based creations ."

original sentence,"Her fourth-year student project was a painting of a hotel in the form of a bridge , inspired by the works of the Russian suprematist artist Kazimir Malevich"
wrong word,fourth-year 2
mutation sentence,"Her other fourth-year student project was a painting of a hotel in the form of a bridge , inspired by the works of the Russian suprematist artist Kazimir Malevich"
mutation sentence,"Her major fourth-year student project was a painting of a hotel in the form of a bridge , inspired by the works of the Russian suprematist artist Kazimir Malevich"
mutation sentence,"Her fourth-year student artistic project was a painting of a hotel in the form of a bridge , inspired by the works of the Russian suprematist artist Kazimir Malevich"

original sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in Cambridge , Massachusetts ."
wrong word,three-bedroom 11
mutation sentence,"In the summer of 2010 , Marbles was sharing together a three-bedroom apartment in Cambridge , Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a rented three-bedroom apartment in Cambridge , Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a shared three-bedroom apartment in Cambridge , Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a cramped three-bedroom apartment in Cambridge , Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a luxury three-bedroom apartment in Cambridge , Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in suburban Cambridge , Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in Cambridge , eastern Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in Cambridge , western Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in Cambridge , southern Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in Cambridge , Massachusetts alone ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in Cambridge , Massachusetts again ."

original sentence,What are your thoughts about Rick Santorum ’s views on gay rights ?
wrong word,gay 11
mutation sentence,What are your thoughts about Rick Santorum ’s political views on gay rights ?
mutation sentence,What are your thoughts about Rick Santorum ’s views today on gay rights ?
mutation sentence,What are your thoughts about Rick Santorum ’s views here on gay rights ?
mutation sentence,What are your thoughts about Rick Santorum ’s views on federal gay rights ?

original sentence,"The rest of the candidates elected in this constituency were young and relatively new activists from the localist camp , Lau Siu-lai and Youngspiration 's Yau Wai-ching ."
wrong word,localist 18
mutation sentence,"The rest of the candidates elected in this constituency were young and relatively new activists from the new localist camp , Lau Siu-lai and Youngspiration 's Yau Wai-ching ."
mutation sentence,"The rest of the candidates elected in this constituency were young and relatively new activists from the democratic localist camp , Lau Siu-lai and Youngspiration 's Yau Wai-ching ."
mutation sentence,"The rest of the candidates elected in this constituency were young and relatively new activists from the urban localist camp , Lau Siu-lai and Youngspiration 's Yau Wai-ching ."
mutation sentence,"The rest of the candidates elected in this constituency were young and relatively new activists from the mainland localist camp , Lau Siu-lai and Youngspiration 's Yau Wai-ching ."

original sentence,"With development of Microsoft 's Internet Explorer 9 ( IE9 ) browser almost complete , Microsoft announced on Friday that it is time for IE6 users to move away from the antiquated 10-year-old browser ."
wrong word,10-year-old 33
mutation sentence,"With development of Microsoft 's Internet Explorer 9 ( IE9 ) browser almost complete , Microsoft announced on Friday that it is time for IE6 + users to move away from the antiquated 10-year-old browser ."

original sentence,"The centerpiece of this rock concert-like performance is a 15 meter high rotating pig equipped with a fog machine , laser light show and theme music ."
wrong word,concert-like 6
mutation sentence,"The centerpiece of this rock concert-like live performance is a 15 meter high rotating pig equipped with a fog machine , laser light show and theme music ."

original sentence,"You ll find world-class museums and cultural events , professional sports and amusement parks , and the most golf courses per capita in the United States ."
wrong word,world-class 4
mutation sentence,"You ll find many world-class museums and cultural events , professional sports and amusement parks , and the most golf courses per capita in the United States ."
mutation sentence,"You ll find several world-class museums and cultural events , professional sports and amusement parks , and the most golf courses per capita in the United States ."
mutation sentence,"You ll find numerous world-class museums and cultural events , professional sports and amusement parks , and the most golf courses per capita in the United States ."
mutation sentence,"You ll find countless world-class museums and cultural events , professional sports and amusement parks , and the most golf courses per capita in the United States ."
mutation sentence,"You ll find world-class historical museums and cultural events , professional sports and amusement parks , and the most golf courses per capita in the United States ."
mutation sentence,"You ll find world-class traveling museums and cultural events , professional sports and amusement parks , and the most golf courses per capita in the United States ."
mutation sentence,"You ll find world-class international museums and cultural events , professional sports and amusement parks , and the most golf courses per capita in the United States ."
mutation sentence,"You ll find world-class American museums and cultural events , professional sports and amusement parks , and the most golf courses per capita in the United States ."
mutation sentence,"You ll find world-class outdoor museums and cultural events , professional sports and amusement parks , and the most golf courses per capita in the United States ."
mutation sentence,"You ll find world-class architectural museums and cultural events , professional sports and amusement parks , and the most golf courses per capita in the United States ."
mutation sentence,"You ll find world-class museums and cultural events worldwide , professional sports and amusement parks , and the most golf courses per capita in the United States ."
mutation sentence,"You ll find world-class museums and cultural events , leading professional sports and amusement parks , and the most golf courses per capita in the United States ."
mutation sentence,"You ll find world-class museums and cultural events , professional sports and amusement parks , and the third most golf courses per capita in the United States ."
mutation sentence,"You ll find world-class museums and cultural events , professional sports and amusement parks , and the fourth most golf courses per capita in the United States ."
mutation sentence,"You ll find world-class museums and cultural events , professional sports and amusement parks , and the fifth most golf courses per capita in the United States ."

original sentence,"In our example conversation , you might work a joke or two into your music-related small talk ."
wrong word,music-related 15
mutation sentence,"In our example conversation , you might work a joke or two into your typical music-related small talk ."
mutation sentence,"In our example conversation , you might work a joke or two into your boring music-related small talk ."

original sentence,1/2 teaspoon salt ( Optional )
wrong word,Optional 5
mutation sentence,1/2 teaspoon salt ( optional Optional )
mutation sentence,1/2 teaspoon salt ( Special Optional )

original sentence,"In a medium saucepan , heat up 2 tablespoons vegetable oil over medium-low heat ."
wrong word,medium 3
mutation sentence,"In a medium large saucepan , heat up 2 tablespoons vegetable oil over medium-low heat ."
mutation sentence,"In a medium high saucepan , heat up 2 tablespoons vegetable oil over medium-low heat ."
mutation sentence,"In a medium deep saucepan , heat up 2 tablespoons vegetable oil over medium-low heat ."



"pos from 形容 to 数字
"


"pos from 形容 to 功能
"


"pos from 形容 to 代词
"


"pos from 形容 to 特指名词
"
original sentence,"McKenzie , a silver and bronze Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
wrong word,Paralympic 7
mutation sentence,"McKenzie , once a silver and bronze Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
mutation sentence,"McKenzie , twice a silver and bronze Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
mutation sentence,"McKenzie , already a silver and bronze Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
mutation sentence,"McKenzie , himself a silver and bronze Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
mutation sentence,"McKenzie , a silver and two bronze Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
mutation sentence,"McKenzie , a silver and one bronze Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
mutation sentence,"McKenzie , a silver and double bronze Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
mutation sentence,"McKenzie , a silver and bronze Canadian Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
mutation sentence,"McKenzie , a silver and bronze triple Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
mutation sentence,"McKenzie , a silver and bronze 2012 Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."

original sentence,"For the Pro-Beijing camp , Elizabeth Quat of DAB was elected with 58,825 votes , the highest in the constituency ."
wrong word,Pro-Beijing 3
mutation sentence,"For the incumbent Pro-Beijing camp , Elizabeth Quat of DAB was elected with 58,825 votes , the highest in the constituency ."

original sentence,"The Greek Orthodox Church , a Christian denomination , is extremely critical of worshippers of the ancient deities ."
wrong word,Christian 7
mutation sentence,"The Greek Orthodox Church , a Orthodox Christian denomination , is extremely critical of worshippers of the ancient deities ."

original sentence,Progressive Mérida had electric trams and street lights before Mexico City .
wrong word,Progressive 1
mutation sentence,Progressive Mérida had electric trams and electrical street lights before Mexico City .
mutation sentence,Progressive Mérida had electric trams and street running lights before Mexico City .
mutation sentence,Progressive Mérida had electric trams and street lights well before Mexico City .
mutation sentence,Progressive Mérida had electric trams and street lights shortly before Mexico City .

original sentence,"All offices also have free copies of Yucatan Today , a helpful weekly Spanish-English publication listing all events in the city and the surrounding region ."
wrong word,Spanish-English 14
mutation sentence,"All offices also have free copies of Yucatan Today , a helpful weekly bilingual Spanish-English publication listing all events in the city and the surrounding region ."



"pos from 形容 to 标点
"


"pos from 形容 to 从句连词
"


"pos from 形容 to 符号
"


"pos from 形容 to 动词
"


"pos from 形容 to 其他
"
original sentence,"We translated "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico "" or "" tmesis "" ."
wrong word,lexical 4
mutation sentence,"We translated "" lexical enjambment "" from Quilis ’s French terms "" encabalgamiento léxico "" or "" tmesis "" ."
mutation sentence,"We translated "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico "" or "" le tmesis "" ."



"pos from 介词 to 形容
"


"pos from 介词 to 介词
"


"pos from 介词 to 副词
"
original sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting students ."
wrong word,in 24
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , thereby bringing in grant money , and attracting students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , thus bringing in grant money , and attracting students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , effectively bringing in grant money , and attracting students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , directly bringing in grant money , and attracting students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing back in grant money , and attracting students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money annually , and attracting students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money quickly , and attracting students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting international students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting foreign students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting overseas students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting students abroad ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting students overseas ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting students worldwide ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting students internationally ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting students elsewhere ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting students nationally ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting students globally ."

original sentence,It is persistent in the environment ; it never breaks down nor goes away .
wrong word,down 11
mutation sentence,It is persistent in the environment ; it never breaks completely down nor goes away .
mutation sentence,It is persistent in the environment ; it never breaks back down nor goes away .

original sentence,""" The way she drew a staircase you would smash your head against the ceiling , and the space was reducing and reducing , and you would end up in the upper corner of the ceiling ."
wrong word,up 29
mutation sentence,""" The way she drew a staircase you would smash your head against the ceiling , and the space was reducing and reducing , and you would end back up in the upper corner of the ceiling ."
mutation sentence,""" The way she drew a staircase you would smash your head against the ceiling , and the space was reducing and reducing , and you would end right up in the upper corner of the ceiling ."
mutation sentence,""" The way she drew a staircase you would smash your head against the ceiling , and the space was reducing and reducing , and you would end straight up in the upper corner of the ceiling ."
mutation sentence,""" The way she drew a staircase you would smash your head against the ceiling , and the space was reducing and reducing , and you would end high up in the upper corner of the ceiling ."

original sentence,Moreau went on to work with many of the best known New Wave and avant-garde directors . [ 2 ]
wrong word,on 3
mutation sentence,Moreau went later on to work with many of the best known New Wave and avant-garde directors . [ 2 ]
mutation sentence,Moreau went then on to work with many of the best known New Wave and avant-garde directors . [ 2 ]
mutation sentence,Moreau went right on to work with many of the best known New Wave and avant-garde directors . [ 2 ]
mutation sentence,Moreau went straight on to work with many of the best known New Wave and avant-garde directors . [ 2 ]
mutation sentence,Moreau went back on to work with many of the best known New Wave and avant-garde directors . [ 2 ]
mutation sentence,Moreau went early on to work with many of the best known New Wave and avant-garde directors . [ 2 ]
mutation sentence,Moreau went further on to work with many of the best known New Wave and avant-garde directors . [ 2 ]

original sentence,"Over 70,000 shirts were sold . [ 21 ] [ 22 ]"
wrong word,Over 1
mutation sentence,"Over another 70,000 shirts were sold . [ 21 ] [ 22 ]"
mutation sentence,"Over only 70,000 shirts were sold . [ 21 ] [ 22 ]"
mutation sentence,"Over approximately 70,000 shirts were sold . [ 21 ] [ 22 ]"
mutation sentence,"Over over 70,000 shirts were sold . [ 21 ] [ 22 ]"

original sentence,"Santa bent down to pick them up , mumbling about “ emergency money . ”"
wrong word,down 3
mutation sentence,"Santa bent further down to pick them up , mumbling about “ emergency money . ”"
mutation sentence,"Santa bent low down to pick them up , mumbling about “ emergency money . ”"
mutation sentence,"Santa bent halfway down to pick them up , mumbling about “ emergency money . ”"

original sentence,Cara ’s face crumples up and she hunches her thick shoulders .
wrong word,up 5
mutation sentence,Cara ’s face crumples back up and she hunches her thick shoulders .
mutation sentence,Cara ’s face crumples straight up and she hunches her thick shoulders .
mutation sentence,Cara ’s face crumples halfway up and she hunches her thick shoulders .
mutation sentence,Cara ’s face crumples further up and she hunches her thick shoulders .

original sentence,"She tries to sit down , but I just keep on tugging and she follows me , gulping and wailing ."
wrong word,down 5
mutation sentence,"She tries to sit back down , but I just keep on tugging and she follows me , gulping and wailing ."

original sentence,“ Can Toph and Len come over ? ” I ask .
wrong word,over 7
mutation sentence,“ Can Toph and Len come over ? ” I nervously ask .
mutation sentence,“ Can Toph and Len come over ? ” I ask hopefully .

original sentence,She opens the garage door so I can get in .
wrong word,in 10
mutation sentence,She opens the garage door so I can get back in .
mutation sentence,She opens the garage door so I can get right in .

original sentence,"Waves lapped at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
wrong word,away 8
mutation sentence,"Waves gently lapped at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves suddenly lapped at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves slowly lapped at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves softly lapped at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped gently at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped away at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped softly at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped lightly at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped back at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped violently at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch below , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , slowly washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , gently washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , finally washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , quickly washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , gradually washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , eventually washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , momentarily washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , washing right away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , washing slowly away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , washing gently away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , washing away the empty boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , washing away the discarded boxes , and bowls , and the dog ’s basket ."

original sentence,"“ Nonetheless , ” the traveler said , and she walked out ."
wrong word,out 12
mutation sentence,"“ Nonetheless , ” the traveler said politely , and she walked out ."
mutation sentence,"“ Nonetheless , ” the traveler said , and she walked back out ."
mutation sentence,"“ Nonetheless , ” the traveler said , and she walked right out ."
mutation sentence,"“ Nonetheless , ” the traveler said , and she walked quietly out ."
mutation sentence,"“ Nonetheless , ” the traveler said , and she walked straight out ."

original sentence,She invited me in for tea and massage .
wrong word,in 4
mutation sentence,She invited me back in for tea and massage .
