all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,178192,302960,673,947,617,127962


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
mutation sentence,Fort Lee is a small town but is piled high with new apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with big apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with expensive apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with modern apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with old apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with apartment buildings around .

original sentence,It 's much more fun when there are other people that can understand your language .
wrong word,more 4
mutation sentence,It 's much more fun then when there are other people that can understand your language .



"pos from 形容 to 助词
"


"pos from 形容 to 并列连词
"


"pos from 形容 to 定冠
"


"pos from 形容 to 感叹
"
original sentence,“ Sorry ! ” I say .
wrong word,Sorry 2
mutation sentence,“ Sorry ! ? ” I say .
mutation sentence,“ Sorry ! ” I almost say .
mutation sentence,“ Sorry ! ” I say again .
mutation sentence,“ Sorry ! ” I say quickly .
mutation sentence,“ Sorry ! ” I say loudly .
mutation sentence,“ Sorry ! ” I say angrily .
mutation sentence,“ Sorry ! ” I say sarcastically .
mutation sentence,“ Sorry ! ” I say weakly .
mutation sentence,“ Sorry ! ” I say quietly .
mutation sentence,“ Sorry ! ” I say sharply .
mutation sentence,“ Sorry ! ” I say automatically .
mutation sentence,“ Sorry ! ” I say softly .



"pos from 形容 to 名词
"
original sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
wrong word,6th 34
mutation sentence,"In both Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's original study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens only were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens alone were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens each were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens also were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens all were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were not housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were only housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were all housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were initially housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were often housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were each housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were then housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed outside individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were again only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only ever allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only once allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed only to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to do exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to only exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 ¹⁄₂ minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day each , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 full days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 working days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 whole days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per working week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per alternate week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per normal week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per full week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , usually from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , typically from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , normally from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the late 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ) ."

original sentence,"He also designed furniture and houses for the wealthy as well as coins and medals , including the insignia of the Society of the Cincinnati ."
wrong word,wealthy 9
mutation sentence,"He also designed furniture and houses for the wealthy as well as designed coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as striking coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as issued coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as silver coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as struck coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as engraved coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as coins and medals himself , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as coins and medals themselves , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as coins and medals , including the insignia of the Society of the Cincinnati ) ."

original sentence,"As of March 2019 , her channel has approximately 3.1 billion video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
wrong word,video 12
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion video views worldwide and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion video views and about 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion video views and around 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"

original sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views . [ 15 ] [ 16 ]"
wrong word,video 18
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views worldwide . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views globally . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views online . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views overall . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views monthly . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views annually . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views daily . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views alone . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views weekly . [ 15 ] [ 16 ]"

original sentence,"Refusing to work or communicate and demanding a new leader , many of the elder monks completely abandoned any notion of obedience to Horsiesios ."
wrong word,elder 15
mutation sentence,"Refusing to work or communicate and demanding a new leader , many of even the elder monks completely abandoned any notion of obedience to Horsiesios ."

original sentence,I used that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
wrong word,compound 5
mutation sentence,I have used that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I also used that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I had used that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I now used that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I even used that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I later used that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I myself used that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used exactly that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used almost that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used again that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used precisely that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used just that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used basically that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used essentially that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used roughly that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used in that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that very same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that exact same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that same compound scope again to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that same compound scope then to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that same compound scope later to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that same compound scope twice to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that same compound scope now to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that same compound scope once to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that same compound scope here to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that same compound scope also to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that same compound scope to better look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ? ) .

original sentence,"From the south , the quickest route is probably to take the M1 northbound to junction 32 , then the M18 eastbound to junction 2 , the A1M northbound to junction 44 and finally the A64 eastbound to the York Outer Ring Road ( A1237 ) ."
wrong word,eastbound 37
mutation sentence,"From the south , the quickest route is probably to take the M1 northbound to junction 32 , then the M18 eastbound to junction 2 , the A1M northbound to junction 44 and finally on the A64 eastbound to the York Outer Ring Road ( A1237 ) ."

original sentence,You do n't need flying broomsticks or magic balls to play this version of the game - it 's tailor-made for muggles like us .
wrong word,magic 8
mutation sentence,You do n't need any flying broomsticks or magic balls to play this version of the game - it 's tailor-made for muggles like us .
mutation sentence,You do n't need some flying broomsticks or magic balls to play this version of the game - it 's tailor-made for muggles like us .
mutation sentence,You do n't need flying broomsticks or magic balls around to play this version of the game - it 's tailor-made for muggles like us .



"pos from 形容 to 数字
"


"pos from 形容 to 功能
"


"pos from 形容 to 代词
"


"pos from 形容 to 特指名词
"
original sentence,Replication in Second Language Research :
wrong word,Second 3
mutation sentence,Replication in Second Language Research 2014 :

original sentence,"In 2005 , she was awarded with the Stanislavsky Award at the 27th Moscow International Film Festival . [ 9 ]"
wrong word,27th 13
mutation sentence,"In 2005 , she was awarded with the Stanislavsky Award at the 27th Moscow Festival International Film Festival . [ 9 ]"

original sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
wrong word,American 17
mutation sentence,His 1952 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1930 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1931 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1965 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1964 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1932 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1928 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1934 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1929 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1962 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology II : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology III : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology IV : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : Being The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The New Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Scientific Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Experimental Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The General Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Historical Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Mathematical Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Comparative Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Philosophical Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Mathematical Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Psychological Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Comparative Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Literary Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of English Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Written Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words . was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the earliest major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the early major works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major seminal works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major founding works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major pioneering works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major influential works of American Structuralism .
mutation sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major works outside of American Structuralism .

original sentence,It owns the title of the longest-running North American sci-fi series in history . [ 10 ]
wrong word,North 8
mutation sentence,It owns now the title of the longest-running North American sci-fi series in history . [ 10 ]
mutation sentence,It owns the title of the longest-running North American TV sci-fi series in history . [ 10 ]
mutation sentence,It owns the title of the longest-running North American sci-fi TV series in history . [ 10 ]

original sentence,Why did you decide to use a Creative Commons license ?
wrong word,Creative 8
mutation sentence,Why did this you decide to use a Creative Commons license ?
mutation sentence,Why did you suddenly decide to use a Creative Commons license ?
mutation sentence,Why did you finally decide to use a Creative Commons license ?
mutation sentence,Why did you never decide to use a Creative Commons license ?
mutation sentence,Why did you eventually decide to use a Creative Commons license ?
mutation sentence,Why did you decide to just use a Creative Commons license ?
mutation sentence,Why did you decide to instead use a Creative Commons license ?
mutation sentence,Why did you decide to never use a Creative Commons license ?
mutation sentence,Why did you decide to first use a Creative Commons license ?
mutation sentence,Why did you decide to use such a Creative Commons license ?
mutation sentence,Why did you decide to use a Creative Commons license instead ?
mutation sentence,Why did you decide to use a Creative Commons license again ?
mutation sentence,Why did you decide to use a Creative Commons license today ?
mutation sentence,Why did you decide to use a Creative Commons license then ?
mutation sentence,Why did you decide to use a Creative Commons license here ?
mutation sentence,Why did you decide to use a Creative Commons license anyway ?
mutation sentence,Why did you decide to use a Creative Commons license online ?

original sentence,This exclusive interview features first-hand journalism by a Wikinews reporter .
wrong word,Wikinews 9
mutation sentence,This exclusive interview features first-hand journalism by a Wikinews reporter herself .

original sentence,"Stardust @ home is a highly distributed project using a "" Virtual Microscope "" that is written in html and javascript and runs on most browsers — no downloads are required ."
wrong word,Virtual 12
mutation sentence,"Stardust @ home is a highly distributed project using a new "" Virtual Microscope "" that is written in html and javascript and runs on most browsers — no downloads are required ."

original sentence,Myanmar is mainly Buddhist and the United Nations rates the Rohingya among the world 's most persecuted groups .
wrong word,Buddhist 4
mutation sentence,Myanmar is today mainly Buddhist and the United Nations rates the Rohingya among the world 's most persecuted groups .
mutation sentence,Myanmar is mainly Buddhist and the 2008 United Nations rates the Rohingya among the world 's most persecuted groups .
mutation sentence,Myanmar is mainly Buddhist and the United Nations rates with the Rohingya among the world 's most persecuted groups .
mutation sentence,Myanmar is mainly Buddhist and the United Nations rates against the Rohingya among the world 's most persecuted groups .
mutation sentence,Myanmar is mainly Buddhist and the United Nations rates among the Rohingya among the world 's most persecuted groups .

original sentence,"Experience Moriori culture , experience Rekohu ."
wrong word,Moriori 2
mutation sentence,"Experience Moriori culture Today , experience Rekohu ."

original sentence,"When applying to the Cuban Consulate by post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
wrong word,Cuban 5
mutation sentence,"When applying to the Cuban Consulate by diplomatic post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by registered post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by courtesy post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by military post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by passport post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by air post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by second post , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by post abroad , there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by post , then there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by post , UK there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by post , today there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."
mutation sentence,"When applying to the Cuban Consulate by post , here there is a new charge introduced in 2011 which is a £ 25 for a non-personal transaction ."

original sentence,If you can not go to the Cuban Consulate you may consider using VisaCuba ( [ 3 ] ) because it may be cheaper .
wrong word,Cuban 8
mutation sentence,If you can not go to the Cuban Consulate then you may consider using VisaCuba ( [ 3 ] ) because it may be cheaper .

original sentence,"Ballet began in royal courts in the early 1600's , and early forms of this elegant and sophisticated art involved long skirts and wooden clogs ."
wrong word,royal 4
mutation sentence,"Ballet began in royal courts Europe in the early 1600's , and early forms of this elegant and sophisticated art involved long skirts and wooden clogs ."



"pos from 形容 to 标点
"


"pos from 形容 to 从句连词
"


"pos from 形容 to 符号
"


"pos from 形容 to 动词
"
original sentence,"St Jude , the patron saint of Lost Causes , comes to mind ."
wrong word,Lost 8
mutation sentence,"St Jude himself , the patron saint of Lost Causes , comes to mind ."
mutation sentence,"St Jude , the patron saint also of Lost Causes , comes to mind ."
mutation sentence,"St Jude , the patron saint of Lost Causes , comes to mind often ."
mutation sentence,"St Jude , the patron saint of Lost Causes , comes to mind sometimes ."



"pos from 形容 to 其他
"


"pos from 介词 to 形容
"


"pos from 介词 to 介词
"


"pos from 介词 to 副词
"
original sentence,"The enormous forms of the battleships loomed like giants atop a hill , staring down upon a tiny village below ."
wrong word,down 15
mutation sentence,"The enormous forms of the battleships loomed like giants atop a low hill , staring down upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , each staring down upon a tiny village below ."
mutation sentence,"The enormous forms of the battleships loomed like giants atop a hill , one staring down upon a tiny village below ."

original sentence,And then I had a bit of some time off in 2011 .
wrong word,off 10
mutation sentence,And then I had a bit out of some time off in 2011 .
mutation sentence,And then I had a bit of some free time off in 2011 .
