all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,60699,213001,728,5623,870,219287


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
mutation sentence,"She was also described by The Guardian of London as the ' Queen of the curve ' , who "" liberated architectural geometry , giving it a whole new expressive identity . """
mutation sentence,"She was subsequently described by The Guardian of London as the ' Queen of the curve ' , who "" liberated architectural geometry , giving it a whole new expressive identity . """
mutation sentence,"She was then described by The Guardian of London as the ' Queen of the curve ' , who "" liberated architectural geometry , giving it a whole new expressive identity . """
mutation sentence,"She was famously described by The Guardian of London as the ' Queen of the curve ' , who "" liberated architectural geometry , giving it a whole new expressive identity . """
mutation sentence,"She was described then by The Guardian of London as the ' Queen of the curve ' , who "" liberated architectural geometry , giving it a whole new expressive identity . """
mutation sentence,"She was described also by The Guardian of London as the ' Queen of the curve ' , who "" liberated architectural geometry , giving it a whole new expressive identity . """
mutation sentence,"She was described by The Guardian of London as possibly the ' Queen of the curve ' , who "" liberated architectural geometry , giving it a whole new expressive identity . """
mutation sentence,"She was described by The Guardian of London as arguably the ' Queen of the curve ' , who "" liberated architectural geometry , giving it a whole new expressive identity . """
mutation sentence,"She was described by The Guardian of London as the ' British Queen of the curve ' , who "" liberated architectural geometry , giving it a whole new expressive identity . """
mutation sentence,"She was described by The Guardian of London as the ' European Queen of the curve ' , who "" liberated architectural geometry , giving it a whole new expressive identity . """
mutation sentence,"She was described by The Guardian of London as the ' French Queen of the curve ' , who "" liberated architectural geometry , giving it a whole new expressive identity . """
mutation sentence,"She was described by The Guardian of London as the ' Queen of the curve ' , who "" liberated British architectural geometry , giving it a whole new expressive identity . """
mutation sentence,"She was described by The Guardian of London as the ' Queen of the curve ' , who "" liberated architectural geometry again , giving it a whole new expressive identity . """

original sentence,"The plots were thin , there was little development of character and they were loaded down by excessive sentiment , especially when compared to what she was writing concurrently in her diary ."
wrong word,little 8
mutation sentence,"The plots were thin , there was little further development of character and they were loaded down by excessive sentiment , especially when compared to what she was writing concurrently in her diary ."

original sentence,It remained the only thorough introduction to the field for decades and is still valuable for its many examples and exercises .
wrong word,only 4
mutation sentence,It remained the only truly thorough introduction to the field for decades and is still valuable for its many examples and exercises .
mutation sentence,It remained the only very thorough introduction to the field for decades and is still valuable for its many examples and exercises .
mutation sentence,It remained the only published thorough introduction to the field for decades and is still valuable for its many examples and exercises .
mutation sentence,It remained the only available thorough introduction to the field for decades and is still valuable for its many examples and exercises .
mutation sentence,It remained the only reasonably thorough introduction to the field for decades and is still valuable for its many examples and exercises .
mutation sentence,It remained the only really thorough introduction to the field for decades and is still valuable for its many examples and exercises .
mutation sentence,It remained the only known thorough introduction to the field for decades and is still valuable for its many examples and exercises .
mutation sentence,It remained the only relatively thorough introduction to the field for decades and is still valuable for its many examples and exercises .
mutation sentence,It remained the only more thorough introduction to the field for decades and is still valuable for its many examples and exercises .
mutation sentence,It remained the only thorough academic introduction to the field for decades and is still valuable for its many examples and exercises .
mutation sentence,It remained the only thorough written introduction to the field for decades and is still valuable for its many examples and exercises .
mutation sentence,It remained the only thorough modern introduction to the field for decades and is still valuable for its many examples and exercises .
mutation sentence,It remained the only thorough scholarly introduction to the field for decades and is still valuable for its many examples and exercises .
mutation sentence,It remained the only thorough English introduction to the field for decades and is still valuable for its many examples and exercises .

original sentence,"This is , perhaps , not the best example of the technique , though it is the most well-known ."
wrong word,best 8
mutation sentence,"This is , perhaps , not the best recorded example of the technique , though it is the most well-known ."

original sentence,The fact that he had caused someone who loved him such pain with so little effort and understanding troubled him deeply .
wrong word,such 11
mutation sentence,The fact that he had caused someone who loved him such much pain with so little effort and understanding troubled him deeply .

original sentence,The memory that had caused him such pain over the years could not possibly have occurred .
wrong word,such 7
mutation sentence,The memory that had caused him such much pain over the years could not possibly have occurred .

original sentence,"Even if he had n't been my best friend , I should at least have empathized ."
wrong word,best 8
mutation sentence,"Even if he had n't been my best ever friend , I should at least have empathized ."

original sentence,"I got dressed , but my page was quicker than I was and ran out of the chamber to see what was what ."
wrong word,quicker 9
mutation sentence,"I got dressed , but my page was there quicker than I was and ran out of the chamber to see what was what ."

original sentence,There are more magicians working today than ever before .
wrong word,more 3
mutation sentence,There are more talented magicians working today than ever before .

original sentence,"The hardest thing in running this business , which is why people ca n't do it , is the relationship that my wife has with the gals and with the customers ."
wrong word,hardest 2
mutation sentence,"The hardest going thing in running this business , which is why people ca n't do it , is the relationship that my wife has with the gals and with the customers ."

original sentence,"We 're quite far from our goals currently , but we take comfort in the fact that every month wikiHow gets noticeably better and larger"
wrong word,better 23
mutation sentence,"We 're quite far from our goals currently , but we take comfort in the fact that every month wikiHow gets along noticeably better and larger"

original sentence,As a result some folks believe wikiHow is a more humane and enjoyable place to work than other places online .
wrong word,online 20
mutation sentence,As a result some folks believe wikiHow is a more humane and enjoyable place online to work than other places online .

original sentence,"We continue to depend on this same virtuous cycle : More readers , means more editors , which creates better instructions , leading again to more readers ."
wrong word,better 20
mutation sentence,"We continue to depend on this same virtuous cycle : More readers , means more editors , which creates better written instructions , leading again to more readers ."

original sentence,"You have a long career in poetry , but as of late the attention you have garnered is for the Mets-inspired work ."
wrong word,late 12
mutation sentence,"You have a rather long career in poetry , but as of late the attention you have garnered is for the Mets-inspired work ."
mutation sentence,"You have a long career in American poetry , but as of late the attention you have garnered is for the Mets-inspired work ."
mutation sentence,"You have a long career in poetry , but as of late the attention you have garnered is for just the Mets-inspired work ."

original sentence,"By the time you get to be a writer for The Onion , though , the odds are you are going to succeed because we make it pretty challenging ."
wrong word,challenging 29
mutation sentence,"By the time you get to be a writer for The Onion , though , the odds are you are going to succeed because we make it pretty challenging sometimes ."
mutation sentence,"By the time you get to be a writer for The Onion , though , the odds are you are going to succeed because we make it pretty challenging anyway ."

original sentence,USI was not alone in receiving a donation .
wrong word,alone 4
mutation sentence,USI was not all alone in receiving a donation .
mutation sentence,USI was not alone in receiving a large donation .
mutation sentence,USI was not alone in receiving a generous donation .
mutation sentence,USI was not alone in receiving a huge donation .
mutation sentence,USI was not alone in receiving a massive donation .

original sentence,"In fact , many people Wikinews observed took out their mobiles as they left for the evening and used their own phone cameras to make one further record of the moment - a photo of a photo ."
wrong word,further 27
mutation sentence,"In fact , many people Wikinews observed took out their mobiles as they left for the evening and used their own phone cameras to make one further recorded record of the moment - a photo of a photo ."

original sentence,"There are no same-day return flights , so once there you have to stay at least one night ."
wrong word,least 16
mutation sentence,"There currently are no same-day return flights , so once there you have to stay at least one night ."
mutation sentence,"There really are no same-day return flights , so once there you have to stay at least one night ."
mutation sentence,"There still are no same-day return flights , so once there you have to stay at least one night ."
mutation sentence,"There are currently no same-day return flights , so once there you have to stay at least one night ."
mutation sentence,"There are almost no same-day return flights , so once there you have to stay at least one night ."
mutation sentence,"There are still no same-day return flights , so once there you have to stay at least one night ."
mutation sentence,"There are virtually no same-day return flights , so once there you have to stay at least one night ."
mutation sentence,"There are no other same-day return flights , so once there you have to stay at least one night ."
mutation sentence,"There are no guaranteed same-day return flights , so once there you have to stay at least one night ."
mutation sentence,"There are no same-day return international flights , so once there you have to stay at least one night ."
mutation sentence,"There are no same-day return flights , so even once there you have to stay at least one night ."
mutation sentence,"There are no same-day return flights , so once there you still have to stay at least one night ."

original sentence,"One of the most scenicly attractive ports in the whole of New Zealand , Port Hutt boasts an incredibly sheltered little harbour , with picturesque views and safe anchorage in all weather ."
wrong word,little 21
mutation sentence,"One of the most scenicly attractive ports in the whole of New Zealand , Port Hutt boasts an incredibly sheltered little protected harbour , with picturesque views and safe anchorage in all weather ."

original sentence,"This visa , which is really little more than a piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending on where purchased ."
wrong word,little 7
mutation sentence,"This medical visa , which is really little more than a piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending on where purchased ."
mutation sentence,"This temporary visa , which is really little more than a piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending on where purchased ."
mutation sentence,"This special visa , which is really little more than a piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending on where purchased ."
mutation sentence,"This electronic visa , which is really little more than a piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending on where purchased ."
mutation sentence,"This new visa , which is really little more than a piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending on where purchased ."
mutation sentence,"This monthly visa , which is really little more than a piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending on where purchased ."
mutation sentence,"This annual visa , which is really little more than a piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending on where purchased ."
mutation sentence,"This visa , which technically is really little more than a piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending on where purchased ."
mutation sentence,"This visa , which often is really little more than a piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending on where purchased ."
mutation sentence,"This visa , which is often really little more than a piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending on where purchased ."
mutation sentence,"This visa , which is thus really little more than a piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending on where purchased ."
mutation sentence,"This visa , which is really little more than simply a piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending on where purchased ."
mutation sentence,"This visa , which is really little more than merely a piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending on where purchased ."
mutation sentence,"This visa , which is really little more than a plain piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending on where purchased ."
mutation sentence,"This visa , which is really little more than a simple piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending on where purchased ."
mutation sentence,"This visa , which is really little more than a piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending entirely on where purchased ."
mutation sentence,"This visa , which is really little more than a piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending largely on where purchased ."
mutation sentence,"This visa , which is really little more than a piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending partly on where purchased ."
mutation sentence,"This visa , which is really little more than a piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending somewhat on where purchased ."
mutation sentence,"This visa , which is really little more than a piece of paper on which you list your vital statistics , costs between 15 - 25 CUC ( or € 15 - 25 ) , depending greatly on where purchased ."

original sentence,"Even though they might not be the best way to get around the island , a ride on the bus is still an experience you should not miss ."
wrong word,best 8
mutation sentence,"Even though they might not be the best enough way to get around the island , a ride on the bus is still an experience you should not miss ."

original sentence,"Recent local investment and a long-standing cultural scene ensures there is always something more to do than just sightseeing or shopping , with the city hosting some of the best museums and art galleries in the country ."
wrong word,best 30
mutation sentence,"Recent local investment and a long-standing cultural scene ensures there is always something more to do than just sightseeing or shopping , with the city hosting some of the best established museums and art galleries in the country ."

original sentence,"This led to further dilapidation of the investment-starved city , and many of its streets and buildings show profound signs of neglect ."
wrong word,further 4
mutation sentence,"This led to further severe dilapidation of the investment-starved city , and many of its streets and buildings show profound signs of neglect ."

original sentence,"Name streets East of Main are cities east of the Mississippi River , vice versa for name streets west of Main ."
wrong word,west 19
mutation sentence,"Name streets East of Main are cities east of the Mississippi River , vice versa for name streets immediately west of Main ."

original sentence,"In the parts of the city farther from downtown , north-south streets are numbered ."
wrong word,farther 7
mutation sentence,"In the rural parts of the city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the eastern parts of the city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the other parts of the city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the southern parts of the city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the northern parts of the city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the inner parts of the city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the western parts of the city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the outer parts of the city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the central parts of the city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the residential parts of the city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of eastern the city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of western the city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of central the city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of southern the city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of southeast the city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of northern the city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of north the city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of the inner city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of the old city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of the central city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of the walled city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of the larger city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of the main city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of the new city farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of the city much farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of the city slightly farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of the city even farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of the city somewhat farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of the city still farther from downtown , north-south streets are numbered ."
mutation sentence,"In the parts of the city farther from downtown , north-south side streets are numbered ."
mutation sentence,"In the parts of the city farther from downtown , north-south residential streets are numbered ."
mutation sentence,"In the parts of the city farther from downtown , north-south numbered streets are numbered ."
mutation sentence,"In the parts of the city farther from downtown , north-south streets only are numbered ."
mutation sentence,"In the parts of the city farther from downtown , north-south streets too are numbered ."
mutation sentence,"In the parts of the city farther from downtown , north-south streets are only numbered ."
mutation sentence,"In the parts of the city farther from downtown , north-south streets are numbered only ."

original sentence,"Rather than seeking to find out more through questions and learning ( actions viewed by them as showing vulnerability ) , arrogant people tend to generalize from their limited , narrow life experiences and try to impose their small worldview on others ."
wrong word,more 7
mutation sentence,"Rather than seeking to truly find out more through questions and learning ( actions viewed by them as showing vulnerability ) , arrogant people tend to generalize from their limited , narrow life experiences and try to impose their small worldview on others ."

original sentence,"At some point or another , most people realize that the world does n't revolve around them ."
wrong word,most 7
mutation sentence,"At some point or another , most intelligent people realize that the world does n't revolve around them ."

original sentence,You should fit them to where the drawstring is tied slightly loose .
wrong word,loose 12
mutation sentence,You should fit them to where the drawstring is tied slightly too loose .
