all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
10119,20516,29912,366,392,162,8279


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
original sentence,"I have ate here 3 times since they first opened , and the service has been poor each time , the staff always comes across as somewhat rude and slow ."
wrong word,as 26
mutation sentence,"I have ate here 3 times since they first opened , and the service has been poor each time , the staff always comes across as rude and slow ."

original sentence,"I have been eating Cuban for a long time , sandwiches mainly along with other dishes .."
wrong word,along 13
mutation sentence,"I have been eating Cuban for a long time , sandwiches mainly along with dishes .."

original sentence,After seventeen days the delivery van showed up at my home minus two pieces .
wrong word,minus 12
mutation sentence,After seventeen days the delivery van showed up minus two pieces .



"pos from 介词 to 助词
"


"pos from 介词 to 并列连词
"


"pos from 介词 to 定冠
"


"pos from 介词 to 感叹
"


"pos from 介词 to 名词
"


"pos from 介词 to 数字
"


"pos from 介词 to 功能
"
original sentence,"The price was actually lower than what I had anticipated and used to compared to other places , plus he showed me the work he did when I came in to pick up the car ."
wrong word,to 13
mutation sentence,"The price was actually lower than what I had anticipated and used to compared to places , plus he showed me the work he did when I came in to pick up the car ."



"pos from 介词 to 代词
"


"pos from 介词 to 特指名词
"


"pos from 介词 to 标点
"


"pos from 介词 to 从句连词
"
original sentence,"You may support or oppose the Iraq war , but to refer to fans of Saddam , Arafat or Bin Laden as peace activists is a bit too much ."
wrong word,as 22
mutation sentence,"You may support or oppose the Iraq war , but to refer to fans as peace activists is a bit too much ."

original sentence,I ca n't give out a password yet but would be happy to walk through the site with you over the phone using my password .
wrong word,with 18
mutation sentence,I ca n't give out a password yet but would be happy to walk through the site with you using my password .

original sentence,some parents would not eat there fish till a certain age jack dempsey for example would not eat there offspring till they mature but i would move the baby fish into a smaller tank and feed them flakes
wrong word,till 8
mutation sentence,some parents would not eat there fish till a certain age jack dempsey would not eat there offspring till they mature but i would move the baby fish into a smaller tank and feed them flakes

original sentence,"iw ould just stick him in the tank and let your snake have a nice hunt for once , snakes jaws detach for this sort of this thing , so why not give her a good hunt , but if you do want him knock him i d just throw him against the wall or something ,, lol i do nt know , i agree with you though throw him , haha"
wrong word,with 66
mutation sentence,"iw ould just stick him in the tank and let your snake have a nice hunt for once , snakes jaws detach for this sort of this thing , so why not give her a good hunt , but if you do want him knock him i d just throw him against the wall or something ,, lol i do nt know , i agree with you throw him , haha"

original sentence,"Anyway , after much yelling and cussing I hung up , grabbed a cab , and went to Geno 's ."
wrong word,after 3
mutation sentence,"Anyway , after yelling and cussing I hung up , grabbed a cab , and went to Geno 's ."



"pos from 介词 to 符号
"


"pos from 介词 to 动词
"


"pos from 介词 to 其他
"


"pos from 副词 to 形容
"
original sentence,"He is no longer in the dominant Shiite list , the United Iraqi Alliance , and wo n't have many seats in the new parliament ."
wrong word,longer 4
mutation sentence,"He is longer in the dominant Shiite list , the United Iraqi Alliance , and wo n't have many seats in the new parliament ."

original sentence,"Realists , and this even includes members of the U.S. Democratic foreign policy establishment such as Strobe Talbott , who have long sought to divest India of its defensive capability against another nuclear power in Asia , understand the only feasible solution for Kashmir is the acceptance of the status quo ."
wrong word,only 40
mutation sentence,"Realists , and this even includes members of the U.S. Democratic foreign policy establishment such as Strobe Talbott , who have long sought to divest India of its defensive capability against another nuclear power in Asia , understand the only solution for Kashmir is the acceptance of the status quo ."

original sentence,"Under President Hu Jintao , Beijing has opened out to New Delhi and Prime Minister Wen Jiabao is expected to visit early next year , making friends by formally accepting Sikkim as part of India and backing India as a permanent member of the U.N. Security Council -- thus leaving Washington as the only one of the "" permanent five "" that has not yet done so ."
wrong word,early 22
mutation sentence,"Under President Hu Jintao , Beijing has opened out to New Delhi and Prime Minister Wen Jiabao is expected to visit early year , making friends by formally accepting Sikkim as part of India and backing India as a permanent member of the U.N. Security Council -- thus leaving Washington as the only one of the "" permanent five "" that has not yet done so ."

original sentence,"In 2001 , according to Indian army officials , security forces launched a wide - ranging operation in the 300 - some inhabited islands neighboring Andaman and Nicobar , and found huge caches of arms ."
wrong word,wide 14
mutation sentence,"In 2001 , according to Indian army officials , security forces launched a wide - ranging operation , and found huge caches of arms ."

original sentence,"On South Andaman , the most heavily populated island , is Port Blair , which is the capital and the only large town in the entire archipelago ."
wrong word,only 21
mutation sentence,"On South Andaman , the most heavily populated island , is Port Blair , which is the capital and the only town in the entire archipelago ."

original sentence,"First , the nature of such an investigation is that we lack sufficient information to second - guess ( or even know ) what the FBI is doing ."
wrong word,second 16
mutation sentence,"First , the nature of such an investigation is that we lack information to second - guess ( or even know ) what the FBI is doing ."

original sentence,"They will be distributed on a business basis first , then personal use ."
wrong word,first 9
mutation sentence,"They will be distributed on a business basis first , personal use ."

original sentence,Sounds like we may actually get these documents executed early next week .
wrong word,early 10
mutation sentence,Sounds like we may actually get these documents executed early week .

original sentence,The US Red Cross has mobilised thousands of volunteers for its biggest - ever natural disaster effort and federal emergency teams are being dispatched to affected areas .
wrong word,ever 14
mutation sentence,The US Red Cross has mobilised thousands of volunteers for its biggest - ever disaster effort and federal emergency teams are being dispatched to affected areas .

original sentence,"This year it overtook Japan as the world 's second largest consumer of energy , behind the US ."
wrong word,second 10
mutation sentence,"This year it overtook Japan as the world 's second largest consumer , behind the US ."

original sentence,Please note that the Declaration addresses only civil marriage ; it says nothing about religious beliefs or practices regarding marriage .
wrong word,only 7
mutation sentence,Please note that the Declaration addresses only marriage ; it says nothing about religious beliefs or practices regarding marriage .

original sentence,Birds arrived sooner on their migrations from the south and plants flowered earlier .
wrong word,sooner 3
mutation sentence,Birds arrived sooner and plants flowered earlier .

original sentence,so better inquire in railway office
wrong word,better 2
mutation sentence,better inquire in railway office

original sentence,"Be persistent , but do n't pester them about it cause that 'll get you nowhere fast ."
wrong word,fast 17
mutation sentence,"Be persistent , but do n't pester them about it cause that 'll get you fast ."

original sentence,"you need to do that for a least a week , or else this type of territorial fighting will happen ."
wrong word,else 13
mutation sentence,"you need to do that , or else this type of territorial fighting will happen ."
mutation sentence,"you need to do that for a least a week , or else this type will happen ."

original sentence,Do you feel that the holidaying with the animated cartoons will impress only young ones ?
wrong word,only 13
mutation sentence,Do you feel that the holidaying with the animated cartoons will impress only ones ?

original sentence,The food is cooked fast by the two chefs on duty .
wrong word,fast 5
mutation sentence,The food is cooked fast .

original sentence,So long Ham s ... you will be missed .
wrong word,long 2
mutation sentence,long Ham s ... you will be missed .

original sentence,"IF you want flashy fancy food stacked high with lots of fussy garnishes , this is not the place for you ."
wrong word,high 8
mutation sentence,"IF you want flashy fancy food stacked high , this is not the place for you ."

original sentence,"Comfortable and clean beds , a bit noisy when people were coming in late from a night out , but we did n't mind too much as we were also just coming in from a night out !"
wrong word,much 26
mutation sentence,"Comfortable and clean beds , a bit noisy when people were coming in late from a night out , but we did n't mind much as we were also just coming in from a night out !"

original sentence,It is right on the hustle and bustle of Wisconsin Ave but some might miss it as it is nestled in between Subway Sandwiches and Modell 's .
wrong word,right 3
mutation sentence,It is right on the hustle and bustle but some might miss it as it is nestled in between Subway Sandwiches and Modell 's .

original sentence,"I was extremely interested in the car and very likely would have bought it , but the sales guy I dealt with ruined the deal ."
wrong word,likely 10
mutation sentence,"I was extremely interested and very likely would have bought it , but the sales guy I dealt with ruined the deal ."

original sentence,"My dogs are far from perfect , and one of them I believe would be a little much for daycare here herself ( at least initially ) ."
wrong word,far 4
mutation sentence,"My dogs are far , and one of them I believe would be a little much for daycare here herself ( at least initially ) ."



"pos from 副词 to 介词
"
original sentence,"Now , it is only natural that news reports questioning Bush ’s service — in The Boston Globe and The New York Times , on CBS and in other outlets — would come out now ."
wrong word,out 34
mutation sentence,"Now , it is only natural that news reports questioning Bush ’s service — in The Boston Globe and The New York Times , on CBS and in other outlets — would come out ."

original sentence,"One minister reportedly handed out 100 dollar ' gifts ' to journalists attending a press conference for Allawi , a practice that brings back bad memories to many Iraqis ."
wrong word,back 24
mutation sentence,"One minister reportedly handed out 100 dollar ' gifts ' to journalists attending a press conference for Allawi , a practice that brings back memories to many Iraqis ."

original sentence,The true absurdity of the entire situation is easily appreciated when we consider that George W. Bush never showed any bravery at all at any point in his life .
wrong word,at 22
mutation sentence,The true absurdity of the entire situation is easily appreciated when we consider that George W. Bush never showed any bravery at all .

original sentence,Funny how some things are squirelled away by well - meaning prosecutors ...
wrong word,away 7
mutation sentence,Funny how some things are squirelled away by - meaning prosecutors ...

original sentence,I 'll be in around 1000
wrong word,in 4
mutation sentence,I 'll be in 1000

original sentence,I am going up soon and having the tractor fixed .
wrong word,up 4
mutation sentence,I am going up and having the tractor fixed .

original sentence,"I am still certain that the School is the best place for getting a great graduate - level education , so I want you to know that I am going to do whatever it takes to get in next year ."
wrong word,in 38
mutation sentence,"I am still certain that the School is the best place for getting a great graduate - level education , so I want you to know that I am going to do whatever it takes to get in year ."

original sentence,I would like to come down to Austin this spring to meet with you to further discuss my application file and to personally meet you .
wrong word,down 6
mutation sentence,I would like to come down this spring to meet with you to further discuss my application file and to personally meet you .

original sentence,"I am still sure that UT is the place for getting an excellent graduate - level education , so I want you to know that I am going to do whatever it takes to get in next year ."
wrong word,in 36
mutation sentence,"I am still sure that UT is the place for getting an excellent graduate - level education , so I want you to know that I am going to do whatever it takes to get in year ."

original sentence,""" They 're just pushing them aside , "" he said ."
wrong word,aside 7
mutation sentence,""" They 're pushing them aside , "" he said ."

original sentence,"( Participants pledged to raise at least $ 100,000 by bundling together cheques of up to $ 1,000 from friends and family ."
wrong word,together 12
mutation sentence,"( Participants pledged to raise at least $ 100,000 by bundling together cheques from friends and family ."

original sentence,I am taking my wife out for our first year wedding anniversary and we both agree that we want a good steak .
wrong word,out 6
mutation sentence,I am taking my wife out for our year wedding anniversary and we both agree that we want a good steak .

original sentence,"When i put him off of my bed , he jumps back on and same thing ."
wrong word,on 13
mutation sentence,"When i put him off of my bed , he jumps on and same thing ."
mutation sentence,"When i put him off of my bed , he jumps back on and thing ."

original sentence,Usually you have the main show and some type of entertainment before and perhaps afterward .
wrong word,before 12
mutation sentence,Usually you have the main show and some type before and perhaps afterward .

original sentence,then put him back in .
wrong word,in 5
mutation sentence,then put him in .

original sentence,Because I do n't feel like spending over $ 20 on a freakin DVD
wrong word,over 8
mutation sentence,Because I do n't feel like spending over $ 20

original sentence,When I first get on I take 1 leg and pull it back up to touch my butt with my heel and hold it there for 1 lap at a walk around a large dressage arena .
wrong word,up 14
mutation sentence,When I first get on I take 1 leg and pull it up to touch my butt with my heel and hold it there for 1 lap at a walk around a large dressage arena .

original sentence,Ironically sometimes it is wise to leave the newly picked eggs in fresh tap water with some chlorination to kill microscopic critters that ride in with the eggs .
wrong word,in 25
mutation sentence,Ironically sometimes it is wise to leave the newly picked eggs in fresh tap water with some chlorination to kill microscopic critters that ride in .

original sentence,"So , I waited a week to call because I was busy and I wanted to have him come out on a day when I am more available in case we were to hang out after ;)"
wrong word,out 20
mutation sentence,"So , I waited a week to call because I was busy and I wanted to have him come out when I am more available in case we were to hang out after ;)"

original sentence,This is about the fourth time they 've done my horse 's feet because I just switched back to them .
wrong word,about 3
mutation sentence,This is about the time they 've done my horse 's feet because I just switched back to them .

original sentence,He 's not putting it back on .
wrong word,on 7
mutation sentence,He 's not putting it on .

original sentence,I 've also sent over a number of friends to use the services here and everyone is extraordinarily pleased !
wrong word,over 5
mutation sentence,I 've also sent over a number to use the services here and everyone is extraordinarily pleased !

original sentence,"I walked out with 5 inch long hair on the top , 2 inch long hair on the sides , and 1.5 in the back ."
wrong word,out 3
mutation sentence,I walked out .

original sentence,Be sure to ring the little bell on your way out if you enjoyed your meal !
wrong word,out 11
mutation sentence,Be sure to ring the little bell out if you enjoyed your meal !

original sentence,Stop by at least once or you 'll go to heck !
wrong word,by 2
mutation sentence,Stop by once or you 'll go to heck !

original sentence,I popped in after my afternoon pumpkin spice latte break at Starbucks .
wrong word,in 3
mutation sentence,I popped in .

original sentence,I went in later that afternoon and met with Michael .
wrong word,in 3
mutation sentence,I went in that afternoon and met with Michael .

original sentence,I was just in last night and had a chance to dine in their new dining room .
wrong word,in 4
mutation sentence,I was just in night and had a chance to dine in their new dining room .



"pos from 副词 to 副词
"


"pos from 副词 to 助词
"


"pos from 副词 to 并列连词
"
original sentence,"They do n't just dump your ingredients on and cook either , but carefully separate meat to the hotter parts of the grill and still manage to keep the veggies from turning to mush ."
wrong word,either 11
mutation sentence,"They do n't just dump your ingredients on and cook either , but separate meat to the hotter parts of the grill and still manage to keep the veggies from turning to mush ."
mutation sentence,"They do n't just dump your ingredients on and cook either , but carefully separate meat to the parts of the grill and still manage to keep the veggies from turning to mush ."



"pos from 副词 to 定冠
"
original sentence,The true absurdity of the entire situation is easily appreciated when we consider that George W. Bush never showed any bravery at all at any point in his life .
wrong word,all 23
mutation sentence,The true absurdity of the entire situation is easily appreciated when we consider that George W. Bush never showed any bravery at all .

original sentence,"There are 50 of them , 48 located from Maine to Florida and California to Washington State and all in between ."
wrong word,all 19
mutation sentence,"There are 50 of them , 48 located from Maine to Florida and California and all in between ."

original sentence,sort a wonder what it would have been like ?
wrong word,a 2
mutation sentence,a wonder what it would have been like ?



"pos from 副词 to 感叹
"
original sentence,"GOODWYN : Far from Texas and Washington , DC , Mr. Bush enjoyed his freedom ."
wrong word,Far 3
mutation sentence,"GOODWYN : Far , Mr. Bush enjoyed his freedom ."



"pos from 副词 to 名词
"
original sentence,0 - Number of coffins of dead soldiers returning home that the Bush administration has permitted to be photographed .
wrong word,home 10
mutation sentence,0 - Number of coffins of soldiers returning home that the Bush administration has permitted to be photographed .

original sentence,I do n't particularly want to stay with them atm either .
wrong word,atm 10
mutation sentence,I do n't particularly want to stay with them atm .

original sentence,"I love Cuban coffee , colada ... mmmm anyways I found this place and ca n't stop going there , I stop in at least once a week and anytime I 'm in the area for a Cuban coffee or snack ."
wrong word,anytime 30
mutation sentence,"I love Cuban coffee , colada ... mmmm anyways I found this place and ca n't stop going there , I stop in at least once a week and anytime I 'm in the area ."

original sentence,"Broad , I say , is 14th street and I am 3 blocks west of broad and one south of walnut ."
wrong word,south 19
mutation sentence,"Broad , I say , is 14th street and I am 3 blocks west and one south of walnut ."
mutation sentence,"Broad , I say , is 14th street and I am 3 blocks west of broad and one south ."

original sentence,"If they think you 've taken a soda from your room home with you , they will charge you $ 1.50 per can ."
wrong word,home 12
mutation sentence,"If they think you 've taken a soda home with you , they will charge you $ 1.50 per can ."



"pos from 副词 to 数字
"


"pos from 副词 to 功能
"
original sentence,"I found the hotel to be amazingly clean , not to mention very well adorned with many pleasant surprises ."
wrong word,not 10
mutation sentence,"I found the hotel to be clean , not to mention very well adorned with many pleasant surprises ."
mutation sentence,"I found the hotel to be amazingly clean , not to mention well adorned with many pleasant surprises ."



"pos from 副词 to 代词
"
original sentence,So was Darren there last night to meet her or do you just think they 'd make a good match ?
wrong word,there 4
mutation sentence,So was Darren there night to meet her or do you just think they 'd make a good match ?

original sentence,"If I wait , would the tours I find there for less money be the same quality type tours ?"
wrong word,there 10
mutation sentence,"If I wait , would the tours I find there be the same quality type tours ?"

original sentence,but sice we almost just slept there i ca nt give that good of a review
wrong word,that 12
mutation sentence,but sice we almost just slept there i ca give that good of a review
