all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
10119,570546,795696,6663,5883,2674,224904


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
mutation sentence,"Indeed , given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US , one might well argue that Edwards knows nothing more now than Bush does ."
mutation sentence,"Indeed , given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US , one might well argue that Edwards knows more right now than Bush does ."
mutation sentence,"Indeed , given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US , one might well argue that Edwards knows more now than even Bush does ."
mutation sentence,"Indeed , given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US , one might well argue that Edwards knows more now than ever Bush does ."

original sentence,"Kalkat , who currently chairs the independent US - based International Council on Conflict Resolution , said despite the failure of the Indian army to disarm or even subdue the Tigers , India remained the only power capable of influencing the course of the current peace talks ."
wrong word,only
mutation sentence,"Kalkat , who currently chairs the independent US - based International Council on Conflict Resolution , said despite the failure of the Indian army to disarm or even subdue the Tigers , India remained the only great power capable of influencing the course of the current peace talks ."

original sentence,"Under President Hu Jintao , Beijing has opened out to New Delhi and Prime Minister Wen Jiabao is expected to visit early next year , making friends by formally accepting Sikkim as part of India and backing India as a permanent member of the U.N. Security Council -- thus leaving Washington as the only one of the "" permanent five "" that has not yet done so ."
wrong word,only
mutation sentence,"Under President Hu Jintao , Beijing has opened out to New Delhi and Prime Minister Wen Jiabao is expected to visit early next year , making friends by formally accepting Sikkim as part of India and backing India as a permanent member of the U.N. Security Council -- thus leaving Washington as the potential only one of the "" permanent five "" that has not yet done so ."
mutation sentence,"Under President Hu Jintao , Beijing has opened out to New Delhi and Prime Minister Wen Jiabao is expected to visit early next year , making friends by formally accepting Sikkim as part of India and backing India as a permanent member of the U.N. Security Council -- thus leaving Washington as the only remaining one of the "" permanent five "" that has not yet done so ."

original sentence,He said that resistance was the only commonsense solution .
wrong word,only
mutation sentence,He said that resistance was the only possible commonsense solution .
mutation sentence,He said that resistance was the only viable commonsense solution .
mutation sentence,He said that resistance was the only effective commonsense solution .
mutation sentence,He said that resistance was the only acceptable commonsense solution .
mutation sentence,He said that resistance was the only practical commonsense solution .
mutation sentence,He said that resistance was the only feasible commonsense solution .
mutation sentence,He said that resistance was the only true commonsense solution .

original sentence,I believe national reconciliation to be the only path forward to a new Iraq .
wrong word,only
mutation sentence,I believe national reconciliation to be the only viable path forward to a new Iraq .
mutation sentence,I believe national reconciliation to be the only realistic path forward to a new Iraq .
mutation sentence,I believe national reconciliation to be the only acceptable path forward to a new Iraq .
mutation sentence,I believe national reconciliation to be the only feasible path forward to a new Iraq .
mutation sentence,I believe national reconciliation to be the only safe path forward to a new Iraq .
mutation sentence,I believe national reconciliation to be the only legitimate path forward to a new Iraq .

original sentence,"I doubt he will be extradited to Venezuela , which is the only way that question could be answered with a Yes ."
wrong word,only
mutation sentence,"I doubt he will be extradited to Venezuela , which is the only logical way that question could be answered with a Yes ."
mutation sentence,"I doubt he will be extradited to Venezuela , which is the only likely way that question could be answered with a Yes ."
mutation sentence,"I doubt he will be extradited to Venezuela , which is the only plausible way that question could be answered with a Yes ."
mutation sentence,"I doubt he will be extradited to Venezuela , which is the only practical way that question could be answered with a Yes ."
mutation sentence,"I doubt he will be extradited to Venezuela , which is the only sure way that question could be answered with a Yes ."

original sentence,"They want to be identified as ' Christians ' , and I fully suspect that for some of them , the motivation behind their subterfuge is more than mere political advantage , and has a lot more to do with the black magician 's practice of the inversion principle ."
wrong word,mere
mutation sentence,"They want to be identified as ' Christians ' , and I fully suspect that for some of them , the motivation behind their subterfuge is more than mere a political advantage , and has a lot more to do with the black magician 's practice of the inversion principle ."

original sentence,"There was certainly more despair in Saddam 's Iraq than in Paul Bremmer 's Iraq , and no one exploded himself ."
wrong word,more
mutation sentence,"There was certainly more political despair in Saddam 's Iraq than in Paul Bremmer 's Iraq , and no one exploded himself ."

original sentence,"The only way to fight this new "" popular "" weapon is identical to the only way in which you fight organized crime or pirates on the high seas : the offensive way ."
wrong word,only
mutation sentence,"The only effective way to fight this new "" popular "" weapon is identical to the only way in which you fight organized crime or pirates on the high seas : the offensive way ."
mutation sentence,"The only practical way to fight this new "" popular "" weapon is identical to the only way in which you fight organized crime or pirates on the high seas : the offensive way ."
mutation sentence,"The only good way to fight this new "" popular "" weapon is identical to the only way in which you fight organized crime or pirates on the high seas : the offensive way ."
mutation sentence,"The only known way to fight this new "" popular "" weapon is identical to the only way in which you fight organized crime or pirates on the high seas : the offensive way ."
mutation sentence,"The only available way to fight this new "" popular "" weapon is identical to the only way in which you fight organized crime or pirates on the high seas : the offensive way ."
mutation sentence,"The only true way to fight this new "" popular "" weapon is identical to the only way in which you fight organized crime or pirates on the high seas : the offensive way ."
mutation sentence,"The only reliable way to fight this new "" popular "" weapon is identical to the only way in which you fight organized crime or pirates on the high seas : the offensive way ."

original sentence,The lesion is further evidence of Al Qaeda 's anthrax production program at Kandahar .
wrong word,further
mutation sentence,The lesion is further direct evidence of Al Qaeda 's anthrax production program at Kandahar .

original sentence,Andre is going to look over the list of curves needed for the global assets ( August Board meeting ) one more time before I forward it to you .
wrong word,more
mutation sentence,Andre is going to look over the list of curves needed for the global assets ( August Board meeting ) one more final time before I forward it to you .

original sentence,The only difference we had was for package V02 .
wrong word,only
mutation sentence,The only significant difference we had was for package V02 .
mutation sentence,The only noticeable difference we had was for package V02 .
mutation sentence,The only important difference we had was for package V02 .
mutation sentence,The only significant difference we had was for package V02 .
mutation sentence,The only noticeable difference we had was for package V02 .
mutation sentence,The only important difference we had was for package V02 .
mutation sentence,The only significant difference we had was for package V02 .
mutation sentence,The only noticeable difference we had was for package V02 .
mutation sentence,The only important difference we had was for package V02 .

original sentence,I have a change in plans next week .
wrong word,next
mutation sentence,I have a change in plans next this week .
mutation sentence,I have a change in plans next this week .
mutation sentence,I have a change in plans next this week .

original sentence,"However , we have reserved a block of rooms at the nearby Wyndham Hotel ."
wrong word,nearby
mutation sentence,"However , we have reserved a block of rooms at the then nearby Wyndham Hotel ."
mutation sentence,"However , we have reserved a block of rooms at the now nearby Wyndham Hotel ."
mutation sentence,"However , we have reserved a block of rooms at the nearby The Wyndham Hotel ."

original sentence,"Right "" mouse "" click on "" properties "" to view product set - up"
wrong word,Right
mutation sentence,"Right on "" mouse "" click on "" properties "" to view product set - up"
mutation sentence,"Right after "" mouse "" click on "" properties "" to view product set - up"
mutation sentence,"Right with "" mouse "" click on "" properties "" to view product set - up"
mutation sentence,"Right before "" mouse "" click on "" properties "" to view product set - up"
mutation sentence,"Right at "" mouse "" click on "" properties "" to view product set - up"

original sentence,Just like what happened in Enron 's initial VPP program they are find more interest in oil drilling projects rather than natural gas projects .
wrong word,more
mutation sentence,Just like what happened in Enron 's initial VPP program they are find more an interest in oil drilling projects rather than natural gas projects .
mutation sentence,Just like what happened in Enron 's initial VPP program they are find more their interest in oil drilling projects rather than natural gas projects .

original sentence,"It is far too early to expect Murphy to enter into a physical or financial contract , but Tom hopes to get us first and / or last look from Murphy when the time is right ."
wrong word,right
mutation sentence,"It is far too early to expect Murphy to enter into a physical or financial contract , but Tom hopes to get us first and / or last look from Murphy when the time is about right ."

original sentence,"Accordingly , the only issue left for arbitration is whether our IP ( the only one and therefore the one they have to choose ) is or is not an economic hardship under the contract ."
wrong word,only
mutation sentence,"Accordingly , the only issue left for arbitration is whether our IP ( the only valid one and therefore the one they have to choose ) is or is not an economic hardship under the contract ."
mutation sentence,"Accordingly , the only issue left for arbitration is whether our IP ( the only available one and therefore the one they have to choose ) is or is not an economic hardship under the contract ."
mutation sentence,"Accordingly , the only issue left for arbitration is whether our IP ( the only existing one and therefore the one they have to choose ) is or is not an economic hardship under the contract ."
mutation sentence,"Accordingly , the only issue left for arbitration is whether our IP ( the only legitimate one and therefore the one they have to choose ) is or is not an economic hardship under the contract ."
mutation sentence,"Accordingly , the only issue left for arbitration is whether our IP ( the only viable one and therefore the one they have to choose ) is or is not an economic hardship under the contract ."

original sentence,"If you got the chance today , I should be really grateful if one of you could give me a call to discuss this issue ; I think we should set out DPC 's position clearly on this in correspondence without too much delay ."
wrong word,much
mutation sentence,"If you got the chance today , I should be really grateful if one of you could give me a call to discuss this issue ; I think we should set out DPC 's position clearly on this in correspondence without too much a delay ."

original sentence,"Remember that what you do to yourself affects me and everybody else , remember that what you do to me and anyone else shapes your destiny ."
wrong word,else
mutation sentence,"Remember that what you do to yourself affects me and everybody somewhere else , remember that what you do to me and anyone else shapes your destiny ."

original sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY way to invent the cellfone ?
wrong word,ONLY
mutation sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY right way to invent the cellfone ?
mutation sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY best way to invent the cellfone ?
mutation sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY smart way to invent the cellfone ?
mutation sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY logical way to invent the cellfone ?
mutation sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY perfect way to invent the cellfone ?
mutation sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY correct way to invent the cellfone ?
mutation sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY good way to invent the cellfone ?
mutation sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY only way to invent the cellfone ?
mutation sentence,in response to Steve 's comment : do you really believe that spending trillions on space exploration over the years was the ONLY fastest way to invent the cellfone ?

original sentence,""" If China 's economy falters , which , in my view , appears increasingly likely , then commodity prices will plummet , and with them , the value of the assets that produce them , "" Jason Kindopp , Eurasia 's lead China analyst , said ."
wrong word,likely
mutation sentence,""" If China 's economy falters , which , in my view , appears now increasingly likely , then commodity prices will plummet , and with them , the value of the assets that produce them , "" Jason Kindopp , Eurasia 's lead China analyst , said ."
mutation sentence,""" If China 's economy falters , which , in my view , appears only increasingly likely , then commodity prices will plummet , and with them , the value of the assets that produce them , "" Jason Kindopp , Eurasia 's lead China analyst , said ."
mutation sentence,""" If China 's economy falters , which , in my view , appears already increasingly likely , then commodity prices will plummet , and with them , the value of the assets that produce them , "" Jason Kindopp , Eurasia 's lead China analyst , said ."
mutation sentence,""" If China 's economy falters , which , in my view , appears increasingly likely tomorrow , then commodity prices will plummet , and with them , the value of the assets that produce them , "" Jason Kindopp , Eurasia 's lead China analyst , said ."
mutation sentence,""" If China 's economy falters , which , in my view , appears increasingly likely tonight , then commodity prices will plummet , and with them , the value of the assets that produce them , "" Jason Kindopp , Eurasia 's lead China analyst , said ."

original sentence,The final phase will feature the assembly and operation of a longer - duration space lab .
wrong word,longer
mutation sentence,The final phase will feature the assembly and operation of a longer - duration NASA space lab .

original sentence,I hope all are well .
wrong word,well
mutation sentence,I do hope all are well .
mutation sentence,I should hope all are well .
mutation sentence,I would hope all are well .
mutation sentence,I hope all are all well .
mutation sentence,I hope all are well now .
mutation sentence,I hope all are well today .
mutation sentence,I hope all are well tonight .
mutation sentence,I hope all are well indeed .
mutation sentence,I hope all are well then .
mutation sentence,I hope all are well again .

original sentence,"I did n't expect to react that way , but when I was looking around my workplace in Nashua , New Hampshire , and everyone else looked pretty much like me , it was really very eerie ."
wrong word,else
mutation sentence,"I did n't expect to react that way , but when I was looking around my workplace in Nashua , New Hampshire , and everyone everywhere else looked pretty much like me , it was really very eerie ."
mutation sentence,"I did n't expect to react that way , but when I was looking around my workplace in Nashua , New Hampshire , and everyone here else looked pretty much like me , it was really very eerie ."

original sentence,""" Iran is now the only regional military power that poses a significant conventional military threat to Gulf stability , "" continued the CSIS report ."
wrong word,only
mutation sentence,""" Iran is now the only active regional military power that poses a significant conventional military threat to Gulf stability , "" continued the CSIS report ."
mutation sentence,""" Iran is now the only powerful regional military power that poses a significant conventional military threat to Gulf stability , "" continued the CSIS report ."

original sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company went bankrupt .
wrong word,bankrupt
mutation sentence,$ 101 m - Amount Lay made from selling all his Enron shares just before the company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling off his Enron shares just before the company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling out his Enron shares just before the company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling back his Enron shares just before the company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling half his Enron shares just before the company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling away his Enron shares just before the company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before that the company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the parent company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the latter company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the energy company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the insurance company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the oil company went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company itself went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company suddenly went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company officially went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company finally went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company unexpectedly went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company completely went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company actually went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company nearly went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company almost went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company eventually went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company went bankrupt again .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company went bankrupt nationwide .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company went bankrupt itself .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company went bankrupt twice .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company went bankrupt entirely .

original sentence,I have 5 sisters and so including my mom ... he is the only guy in a house of six females .
wrong word,only
mutation sentence,I have 5 sisters and so including my mom ... he is the only available guy in a house of six females .
mutation sentence,I have 5 sisters and so including my mom ... he is the only big guy in a house of six females .
mutation sentence,I have 5 sisters and so including my mom ... he is the only good guy in a house of six females .
mutation sentence,I have 5 sisters and so including my mom ... he is the only cute guy in a house of six females .

original sentence,My myTouch 4G crashes with most custom ROMs I install .
wrong word,most
mutation sentence,My myTouch 4G crashes with most my custom ROMs I install .

original sentence,You will see in the image if there is dirt as that will be the only thing in focus
wrong word,only
mutation sentence,You will see in the image if there is dirt as that will be the only significant thing in focus
mutation sentence,You will see in the image if there is dirt as that will be the only noticeable thing in focus
mutation sentence,You will see in the image if there is dirt as that will be the only clear thing in focus
mutation sentence,You will see in the image if there is dirt as that will be the only important thing in focus
mutation sentence,You will see in the image if there is dirt as that will be the only obvious thing in focus
mutation sentence,You will see in the image if there is dirt as that will be the only solid thing in focus

original sentence,But he was an inside / outside cat ( only one I owned - rest have been 100 0nside cats ) .
wrong word,outside
mutation sentence,But he was an inside / outside friendly cat ( only one I owned - rest have been 100 0nside cats ) .

original sentence,they do nt hurt unless you r stupid enough to press on them .
wrong word,enough
mutation sentence,they do nt hurt unless you r stupid enough not to press on them .

original sentence,"It will give you a lot more power , as well as control over how your black and white photo looks :"
wrong word,more
mutation sentence,"It will give you a lot more voting power , as well as control over how your black and white photo looks :"
mutation sentence,"It will give you a lot more bargaining power , as well as control over how your black and white photo looks :"

original sentence,"The only way to know for sure is to call 611 , or your cell phone help line , and ask ."
wrong word,only
mutation sentence,"The only sure way to know for sure is to call 611 , or your cell phone help line , and ask ."
mutation sentence,"The only reasonable way to know for sure is to call 611 , or your cell phone help line , and ask ."
mutation sentence,"The only practical way to know for sure is to call 611 , or your cell phone help line , and ask ."
mutation sentence,"The only easy way to know for sure is to call 611 , or your cell phone help line , and ask ."
mutation sentence,"The only reliable way to know for sure is to call 611 , or your cell phone help line , and ask ."

original sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , you can handle it ."
wrong word,enough
mutation sentence,"You would just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can still groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can adequately groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can safely groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can always groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and that the horse itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse within itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse inside itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself always is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself it is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is just calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is always calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is usually calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is still calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is also calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is generally calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is really calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm just enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so as that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , even you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , somehow you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , maybe you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , only you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , you both can handle it ."

original sentence,"Get that right , and they will mate when THEY are ready ."
wrong word,right
mutation sentence,"Get him that right , and they will mate when THEY are ready ."
mutation sentence,"Get it that right , and they will mate when THEY are ready ."
mutation sentence,"Get that right off , and they will mate when THEY are ready ."
mutation sentence,"Get that right up , and they will mate when THEY are ready ."

original sentence,"Three hours is n't far , but you are doing multiple shows ."
wrong word,far
mutation sentence,"Three hours is a n't far , but you are doing multiple shows ."
mutation sentence,"Three hours is n't that far , but you are doing multiple shows ."
mutation sentence,"Three hours is n't as far , but you are doing multiple shows ."

original sentence,If someone thinks there is a business opportunity then they will start opening halal only places .
wrong word,only
mutation sentence,If someone thinks there is a business opportunity then they will start opening halal only Islamic places .

original sentence,"Just ' wanting to come to Canada "" is NOT enough ."
wrong word,enough
mutation sentence,"Just ' wanting to come to Canada "" is NOT enough either ."

original sentence,I 'm looking to visit India with some mates at the beginning of February next year and I am wandering what standard of accommodation we could get for Rs 500 per person per night .
wrong word,next
mutation sentence,I 'm looking to visit India with some mates at the beginning of February next this year and I am wandering what standard of accommodation we could get for Rs 500 per person per night .

original sentence,And do more research before you agree next time ;-)
wrong word,next
mutation sentence,And do more research before you agree next reasonable time ;-)

original sentence,"UVB will always be a separate bulb from the heat lamp , unless you use a MVB ( mercury vapor bulb ) which is the only reptile use bulb that will emit both UVB and heat from one bulb ."
wrong word,only
mutation sentence,"UVB will always be a separate bulb from the heat lamp , unless you use a MVB ( mercury vapor bulb ) which is the only known reptile use bulb that will emit both UVB and heat from one bulb ."
mutation sentence,"UVB will always be a separate bulb from the heat lamp , unless you use a MVB ( mercury vapor bulb ) which is the only true reptile use bulb that will emit both UVB and heat from one bulb ."
mutation sentence,"UVB will always be a separate bulb from the heat lamp , unless you use a MVB ( mercury vapor bulb ) which is the only common reptile use bulb that will emit both UVB and heat from one bulb ."
mutation sentence,"UVB will always be a separate bulb from the heat lamp , unless you use a MVB ( mercury vapor bulb ) which is the only large reptile use bulb that will emit both UVB and heat from one bulb ."

original sentence,The last one is colourful too but it is about 4 cm long .
wrong word,long
mutation sentence,The last one is colourful too but it is about 4 cm long longer .

original sentence,The only reason I switched away from them in the first place is because my good friend who apprenticed with them was starting out on his own .
wrong word,only
mutation sentence,The only possible reason I switched away from them in the first place is because my good friend who apprenticed with them was starting out on his own .
mutation sentence,The only good reason I switched away from them in the first place is because my good friend who apprenticed with them was starting out on his own .
mutation sentence,The only known reason I switched away from them in the first place is because my good friend who apprenticed with them was starting out on his own .
mutation sentence,The only logical reason I switched away from them in the first place is because my good friend who apprenticed with them was starting out on his own .
mutation sentence,The only true reason I switched away from them in the first place is because my good friend who apprenticed with them was starting out on his own .

original sentence,But I found the location wonderful and the neighbors very kind .
wrong word,kind
mutation sentence,But I found the location wonderful and the new neighbors very kind .

original sentence,"Their store is dusty , dirty and feels like you 're stepping into the 1970s ."
wrong word,dusty
mutation sentence,"Their store is dusty brown , dirty and feels like you 're stepping into the 1970s ."
mutation sentence,"Their store is dusty old , dirty and feels like you 're stepping into the 1970s ."
mutation sentence,"Their store is dusty white , dirty and feels like you 're stepping into the 1970s ."

original sentence,"You charge SO MUCH , yet you use the same grounds over and over again ."
wrong word,MUCH
