all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,60699,213001,728,5623,870,219287


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
mutation sentence,"People want to learn more practical skills , and for the most part the internet does n't provide enough quality information yet either ."
mutation sentence,"People want to learn more practical skills , and for the most part the internet does n't provide enough quality information yet anymore ."

original sentence,Yesterday Mohamed received VIP attention at Google headquarters in California at the Google Science Fair — and tomorrow he plans to meet international dignitaries at the United Nations headquarters in New York .
wrong word,VIP 4
mutation sentence,Yesterday Mohamed received special VIP attention at Google headquarters in California at the Google Science Fair — and tomorrow he plans to meet international dignitaries at the United Nations headquarters in New York .
mutation sentence,Yesterday Mohamed received international VIP attention at Google headquarters in California at the Google Science Fair — and tomorrow he plans to meet international dignitaries at the United Nations headquarters in New York .
mutation sentence,Yesterday Mohamed received much VIP attention at Google headquarters in California at the Google Science Fair — and tomorrow he plans to meet international dignitaries at the United Nations headquarters in New York .
mutation sentence,Yesterday Mohamed received worldwide VIP attention at Google headquarters in California at the Google Science Fair — and tomorrow he plans to meet international dignitaries at the United Nations headquarters in New York .
mutation sentence,Yesterday Mohamed received more VIP attention at Google headquarters in California at the Google Science Fair — and tomorrow he plans to meet international dignitaries at the United Nations headquarters in New York .
mutation sentence,Yesterday Mohamed received global VIP attention at Google headquarters in California at the Google Science Fair — and tomorrow he plans to meet international dignitaries at the United Nations headquarters in New York .
mutation sentence,Yesterday Mohamed received VIP attention at Google headquarters in southern California at the Google Science Fair — and tomorrow he plans to meet international dignitaries at the United Nations headquarters in New York .
mutation sentence,Yesterday Mohamed received VIP attention at Google headquarters in northern California at the Google Science Fair — and tomorrow he plans to meet international dignitaries at the United Nations headquarters in New York .
mutation sentence,Yesterday Mohamed received VIP attention at Google headquarters in California at where the Google Science Fair — and tomorrow he plans to meet international dignitaries at the United Nations headquarters in New York .
mutation sentence,Yesterday Mohamed received VIP attention at Google headquarters in California at the 2013 Google Science Fair — and tomorrow he plans to meet international dignitaries at the United Nations headquarters in New York .

original sentence,New faces emerge as veteran politicians step down in Hong Kong legislative election
wrong word,veteran 5
mutation sentence,New faces emerge as old veteran politicians step down in Hong Kong legislative election
mutation sentence,New faces emerge as two veteran politicians step down in Hong Kong legislative election
mutation sentence,New faces emerge as three veteran politicians step down in Hong Kong legislative election

original sentence,He was also an influential figure in the pop art movement .
wrong word,pop 9
mutation sentence,He was also an influential figure in the American pop art movement .
mutation sentence,He was also an influential figure in the British pop art movement .
mutation sentence,He was also an influential figure in the French pop art movement .
mutation sentence,He was also an influential figure in the Japanese pop art movement .
mutation sentence,He was also an influential figure in the German pop art movement .
mutation sentence,He was also an influential figure in the pop art movement there .
mutation sentence,He was also an influential figure in the pop art movement internationally .
mutation sentence,He was also an influential figure in the pop art movement worldwide .
mutation sentence,He was also an influential figure in the pop art movement today .
mutation sentence,He was also an influential figure in the pop art movement globally .
mutation sentence,He was also an influential figure in the pop art movement afterwards .

original sentence,""" Pop art was about what popular American culture really thought was important "" , Kathryn Waters said ."
wrong word,Pop 2
mutation sentence,""" Early Pop art was about what popular American culture really thought was important "" , Kathryn Waters said ."

original sentence,The rapid development of Łódź in the second half of the 19th century was brought about by the rise of enormous industrialist fortunes .
wrong word,industrialist 22
mutation sentence,The rapid development of Łódź in the second half of the 19th century was brought about by the rise of enormous Polish industrialist fortunes .
mutation sentence,The rapid development of Łódź in the second half of the 19th century was brought about by the rise of enormous German industrialist fortunes .
mutation sentence,The rapid development of Łódź in the second half of the 19th century was brought about by the rise of enormous Prussian industrialist fortunes .
mutation sentence,The rapid development of Łódź in the second half of the 19th century was brought about by the rise of enormous local industrialist fortunes .
mutation sentence,The rapid development of Łódź in the second half of the 19th century was brought about by the rise of enormous Russian industrialist fortunes .
mutation sentence,The rapid development of Łódź in the second half of the 19th century was brought about by the rise of enormous foreign industrialist fortunes .
mutation sentence,The rapid development of Łódź in the second half of the 19th century was brought about by the rise of enormous Jewish industrialist fortunes .
mutation sentence,The rapid development of Łódź in the second half of the 19th century was brought about by the rise of enormous European industrialist fortunes .

original sentence,"The monsoon occurs in July till mid-August ( during July in the south east and south west of the island , wind surfing activity can be arranged ) ."
wrong word,south 13
mutation sentence,"The monsoon occurs in July right till mid-August ( during July in the south east and south west of the island , wind surfing activity can be arranged ) ."
wrong word,south 16
mutation sentence,"The monsoon occurs in July right till mid-August ( during July in the south east and south west of the island , wind surfing activity can be arranged ) ."

original sentence,5 Remove the plastic wrap when the sprouts emerge .
wrong word,plastic 4
mutation sentence,5 Remove the plastic wrap when only the sprouts emerge .

original sentence,People like flirting to be fun .
wrong word,fun 6
mutation sentence,People like flirting to be more fun .

original sentence,"Cereal , diaper and houseware boxes are a good size and durable ."
wrong word,Cereal 1
mutation sentence,"Cereal , diaper and other houseware boxes are a good size and durable ."
mutation sentence,"Cereal , diaper and even houseware boxes are a good size and durable ."
mutation sentence,"Cereal , diaper and houseware boxes are a good small size and durable ."
mutation sentence,"Cereal , diaper and houseware boxes are a good compact size and durable ."
mutation sentence,"Cereal , diaper and houseware boxes are a good size and very durable ."
mutation sentence,"Cereal , diaper and houseware boxes are a good size and extremely durable ."
mutation sentence,"Cereal , diaper and houseware boxes are a good size and highly durable ."
mutation sentence,"Cereal , diaper and houseware boxes are a good size and quite durable ."
mutation sentence,"Cereal , diaper and houseware boxes are a good size and more durable ."
mutation sentence,"Cereal , diaper and houseware boxes are a good size and reasonably durable ."
mutation sentence,"Cereal , diaper and houseware boxes are a good size and fairly durable ."
mutation sentence,"Cereal , diaper and houseware boxes are a good size and durable together ."

original sentence,Olive oil to taste ( Optional )
wrong word,Olive 1
mutation sentence,Olive oil to bitter taste ( Optional )

original sentence,Drizzle a bit of olive oil in a pan over medium-high heat .
wrong word,olive 5
mutation sentence,Drizzle a bit of black olive oil in a pan over medium-high heat .
mutation sentence,Drizzle a bit of olive oil hot in a pan over medium-high heat .
mutation sentence,Drizzle a bit of olive oil in a heated pan over medium-high heat .



"pos from 形容 to 数字
"


"pos from 形容 to 功能
"


"pos from 形容 to 代词
"


"pos from 形容 to 特指名词
"
original sentence,He was ordained as a Baptist minister .
wrong word,Baptist 6
mutation sentence,He later was ordained as a Baptist minister .
mutation sentence,He also was ordained as a Baptist minister .
mutation sentence,He then was ordained as a Baptist minister .
mutation sentence,He subsequently was ordained as a Baptist minister .
mutation sentence,He eventually was ordained as a Baptist minister .
mutation sentence,He was later ordained as a Baptist minister .
mutation sentence,He was also ordained as a Baptist minister .
mutation sentence,He was subsequently ordained as a Baptist minister .
mutation sentence,He was then ordained as a Baptist minister .
mutation sentence,He was eventually ordained as a Baptist minister .
mutation sentence,He was ordained later as a Baptist minister .
mutation sentence,He was ordained again as a Baptist minister .
mutation sentence,He was ordained himself as a Baptist minister .
mutation sentence,He was ordained as a Baptist ordained minister .
mutation sentence,He was ordained as a Baptist Christian minister .
mutation sentence,He was ordained as a Baptist religious minister .
mutation sentence,He was ordained as a Baptist minister himself .
mutation sentence,He was ordained as a Baptist minister later .
mutation sentence,He was ordained as a Baptist minister early .
mutation sentence,He was ordained as a Baptist minister thereafter .

original sentence,The Chemical Wedding by Christian Rosencreutz is the way I ’ve decided to present the title of this book .
wrong word,Chemical 2
mutation sentence,The First Chemical Wedding by Christian Rosencreutz is the way I ’ve decided to present the title of this book .
mutation sentence,The Chemical Wedding by Christian Rosencreutz is exactly the way I ’ve decided to present the title of this book .
mutation sentence,The Chemical Wedding by Christian Rosencreutz is precisely the way I ’ve decided to present the title of this book .
mutation sentence,The Chemical Wedding by Christian Rosencreutz is just the way I ’ve decided to present the title of this book .
mutation sentence,The Chemical Wedding by Christian Rosencreutz is actually the way I ’ve decided to present the title of this book .
mutation sentence,The Chemical Wedding by Christian Rosencreutz is simply the way I ’ve decided to present the title of this book .
mutation sentence,The Chemical Wedding by Christian Rosencreutz is definitely the way I ’ve decided to present the title of this book .
mutation sentence,The Chemical Wedding by Christian Rosencreutz is really the way I ’ve decided to present the title of this book .
mutation sentence,The Chemical Wedding by Christian Rosencreutz is the final way I ’ve decided to present the title of this book .
mutation sentence,The Chemical Wedding by Christian Rosencreutz is the way that I ’ve decided to present the title of this book .
mutation sentence,The Chemical Wedding by Christian Rosencreutz is the way I ’ve officially decided to present the title of this book .
mutation sentence,The Chemical Wedding by Christian Rosencreutz is the way I ’ve actually decided to present the title of this book .
mutation sentence,The Chemical Wedding by Christian Rosencreutz is the way I ’ve decided how to present the title of this book .
mutation sentence,The Chemical Wedding by Christian Rosencreutz is the way I ’ve decided when to present the title of this book .
mutation sentence,The Chemical Wedding by Christian Rosencreutz is the way I ’ve decided where to present the title of this book .
mutation sentence,The Chemical Wedding by Christian Rosencreutz is the way I ’ve decided to officially present the title of this book .
mutation sentence,The Chemical Wedding by Christian Rosencreutz is the way I ’ve decided to present the true title of this book .
mutation sentence,The Chemical Wedding by Christian Rosencreutz is the way I ’ve decided to present the title of this upcoming book .
mutation sentence,The Chemical Wedding by Christian Rosencreutz is the way I ’ve decided to present the title of this book exactly .

original sentence,""" Pop art was about what popular American culture really thought was important "" , Kathryn Waters said ."
wrong word,Pop 2
mutation sentence,""" American Pop art was about what popular American culture really thought was important "" , Kathryn Waters said ."

original sentence,Tame Horomona Rehe was the last known full-blooded Moriori and he passed away in 1933 .
wrong word,Tame 1
mutation sentence,Tame Horomona Rehe was the last known full-blooded Southern Moriori and he passed away in 1933 .
mutation sentence,Tame Horomona Rehe was the last known full-blooded native Moriori and he passed away in 1933 .
mutation sentence,Tame Horomona Rehe was the last known full-blooded Moriori and thus he passed away in 1933 .

original sentence,The Salt and Verde Rivers of central Arizona were exploited for large-scale agriculture by Native Americans as early as the 11th century .
wrong word,Native 15
mutation sentence,The Salt and Verde Rivers of central Arizona were exploited for large-scale indigenous agriculture by Native Americans as early as the 11th century .

original sentence,"The Tulsa Bartlesville Combined area had 988,000 in the 2010 census ."
wrong word,Combined 4
mutation sentence,"The Greater Tulsa Bartlesville Combined area had 988,000 in the 2010 census ."
mutation sentence,"The greater Tulsa Bartlesville Combined area had 988,000 in the 2010 census ."
mutation sentence,"The larger Tulsa Bartlesville Combined area had 988,000 in the 2010 census ."
mutation sentence,"The entire Tulsa Bartlesville Combined area had 988,000 in the 2010 census ."
mutation sentence,"The combined Tulsa Bartlesville Combined area had 988,000 in the 2010 census ."
mutation sentence,"The former Tulsa Bartlesville Combined area had 988,000 in the 2010 census ."
mutation sentence,"The Tulsa Bartlesville Metropolitan Combined area had 988,000 in the 2010 census ."
mutation sentence,"The Tulsa Bartlesville Urban Combined area had 988,000 in the 2010 census ."
mutation sentence,"The Tulsa Bartlesville Regional Combined area had 988,000 in the 2010 census ."
mutation sentence,"The Tulsa Bartlesville Municipal Combined area had 988,000 in the 2010 census ."
mutation sentence,"The Tulsa Bartlesville Combined area also had 988,000 in the 2010 census ."
mutation sentence,"The Tulsa Bartlesville Combined area had about 988,000 in the 2010 census ."
mutation sentence,"The Tulsa Bartlesville Combined area had approximately 988,000 in the 2010 census ."
mutation sentence,"The Tulsa Bartlesville Combined area had over 988,000 in the 2010 census ."
mutation sentence,"The Tulsa Bartlesville Combined area had nearly 988,000 in the 2010 census ."
mutation sentence,"The Tulsa Bartlesville Combined area had around 988,000 in the 2010 census ."
mutation sentence,"The Tulsa Bartlesville Combined area had roughly 988,000 in the 2010 census ."
mutation sentence,"The Tulsa Bartlesville Combined area had almost 988,000 in the 2010 census ."
mutation sentence,"The Tulsa Bartlesville Combined area had 988,000 in the national 2010 census ."
mutation sentence,"The Tulsa Bartlesville Combined area had 988,000 in the official 2010 census ."
mutation sentence,"The Tulsa Bartlesville Combined area had 988,000 in the 2010 national census ."

original sentence,York was home first to the Ninth Legion and later the Sixth .
wrong word,Ninth 7
mutation sentence,York was home first to the Royal Ninth Legion and later the Sixth .
wrong word,Sixth 12
mutation sentence,York was home first to the Royal Ninth Legion and later the Sixth .



"pos from 形容 to 标点
"


"pos from 形容 to 从句连词
"


"pos from 形容 to 符号
"


"pos from 形容 to 动词
"


"pos from 形容 to 其他
"


"pos from 介词 to 形容
"


"pos from 介词 to 介词
"


"pos from 介词 to 副词
"
original sentence,"On December 26 , 2012 he was traded to the Boston Red Sox ( along with Joel Hanrahan ) for Jerry Sands , Stolmy Pimentel , Mark Melancon , and Iván DeJesús , Jr. . [ 12 ]"
wrong word,along 15
mutation sentence,"On December 26 , 2012 he was traded to the Boston Red Sox ( along side with Joel Hanrahan ) for Jerry Sands , Stolmy Pimentel , Mark Melancon , and Iván DeJesús , Jr. . [ 12 ]"

original sentence,"The chimneys washed away , so we scrambled onto the blue-black back encrusted with barnacles and cockles like stars in a night sky and held on tight as he rode the waves , dipping and blowing , dipping and blowing ."
wrong word,as 28
mutation sentence,"The chimneys washed away , so we scrambled onto the blue-black back encrusted with barnacles and cockles like stars in a night sky and held on tight as long he rode the waves , dipping and blowing , dipping and blowing ."

original sentence,"I could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
wrong word,back 31
mutation sentence,"I probably could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I really could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I still could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I honestly could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I just could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I also could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I sure could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I actually could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I certainly could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I sometimes could see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could probably see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could still see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could almost see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could now see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could sometimes see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could already see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could actually see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could literally see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could only see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could always see into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see straight into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see right into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see clearly into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see directly into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see deep into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see back into his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into even his head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his own head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his dark head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his little head better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head much better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head even better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head far better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head almost better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head way better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head now better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head probably better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head maybe better than I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than even I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than maybe I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than when I could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I ever could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I even could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I probably could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I really could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I actually could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I normally could see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could ever see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could even see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could actually see into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see directly into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see straight into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see deep into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see right into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see well into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see clearly into my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
mutation sentence,"I could see into his head better than I could see into even my own ; he was scared that his attackers might think those hands were coming up to hit back , that they 'd read it as an act of defiance and hurt him even more ."
