all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
10119,560384,781233,2315,2710,1553,213976


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company finally went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company unexpectedly went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company completely went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company actually went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company nearly went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company almost went bankrupt .
mutation sentence,$ 101 m - Amount Lay made from selling his Enron shares just before the company eventually went bankrupt .

original sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , you can handle it ."
wrong word,enough 19
mutation sentence,"You would just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can still groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can adequately groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can safely groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can always groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and that the horse itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse within itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse inside itself is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself always is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself it is calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is just calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is always calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is usually calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is still calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is also calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is generally calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is really calm enough so that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so as that whatever size it is , you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , even you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , somehow you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , maybe you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , only you can handle it ."
mutation sentence,"You just want to be sure you can groom and saddle sufficiently and the horse itself is calm enough so that whatever size it is , you both can handle it ."

original sentence,"Get that right , and they will mate when THEY are ready ."
wrong word,right 3
mutation sentence,"Get him that right , and they will mate when THEY are ready ."
mutation sentence,"Get it that right , and they will mate when THEY are ready ."

original sentence,But I found the location wonderful and the neighbors very kind .
wrong word,kind 11
mutation sentence,But I found the location wonderful and the new neighbors very kind .

original sentence,"You charge SO MUCH , yet you use the same grounds over and over again ."
wrong word,MUCH 4
mutation sentence,"You charge you SO MUCH , yet you use the same grounds over and over again ."
mutation sentence,"You charge yourself SO MUCH , yet you use the same grounds over and over again ."

original sentence,"IT IS NOT A HIGH END STEAK HOUSE , MORE OF THE CUISINE BRETT ENJOYS IN MISSISSIPPI ."
wrong word,MORE 10
mutation sentence,"IT IS NOT A HIGH END STEAK HOUSE , MORE OF IN THE CUISINE BRETT ENJOYS IN MISSISSIPPI ."

original sentence,A short but wide - ranging menu executed with innovative perfection in a cozy hole in the wall just off the main street .
wrong word,wide 4
mutation sentence,A short but wide - ranging evening menu executed with innovative perfection in a cozy hole in the wall just off the main street .

original sentence,I work with him and since past 6 years he is hosting his websites to Liquidweb .
wrong word,past 7
mutation sentence,I work with him and since past 6 / years he is hosting his websites to Liquidweb .

original sentence,I asked why so high and they said it was due to the labor of moving things out of the way .
wrong word,high 5
mutation sentence,I asked why so high and how they said it was due to the labor of moving things out of the way .

original sentence,"Anyway , after much yelling and cussing I hung up , grabbed a cab , and went to Geno 's ."
wrong word,much 4
mutation sentence,"Anyway , after much yelling about and cussing I hung up , grabbed a cab , and went to Geno 's ."



"pos from 形容 to 助词
"


"pos from 形容 to 并列连词
"


"pos from 形容 to 定冠
"


"pos from 形容 to 感叹
"
original sentence,"Ok to book for me and my husband , Joseph ."
wrong word,Ok 1
mutation sentence,"Ok to this book for me and my husband , Joseph ."



"pos from 形容 to 名词
"
original sentence,"Some 2,000 junior officers of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."
wrong word,junior 3
mutation sentence,"Some 2,000 junior officers formerly of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."
mutation sentence,"Some 2,000 junior officers mainly of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."
mutation sentence,"Some 2,000 junior officers previously of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."
mutation sentence,"Some 2,000 junior officers of in the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."
mutation sentence,"Some 2,000 junior officers of even the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."
mutation sentence,"Some 2,000 junior officers of from the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."
mutation sentence,"Some 2,000 junior officers of within the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."

original sentence,"While the Indian army has become rock - solid in the western front , and has developed the capability of withstanding any Pakistani adventure in that sector , it has become highly vulnerable in its eastern sector , where its enemy is not a national army but a multitude of secessionist , terrorist and drug - running militants operating between Southeast Asia and northeastern India through Bangladesh ."
wrong word,terrorist 53
mutation sentence,"While the Indian army has become rock - solid in the western front , and has developed the capability of withstanding any Pakistani adventure in that sector , it has become highly vulnerable in its eastern sector , where its enemy is not a national army but a multitude of secessionist , terrorist and drug - running militants operating between Southeast Asia and northeastern India through Bangladesh ) ."

original sentence,"He was drinking like a fish , every night , into the wee hours ."
wrong word,wee 13
mutation sentence,"He was drinking like a fish , every night , into the wee hours himself ."
mutation sentence,"He was drinking like a fish , every night , into the wee hours again ."
mutation sentence,"He was drinking like a fish , every night , into the wee hours afterwards ."
mutation sentence,"He was drinking like a fish , every night , into the wee hours later ."
mutation sentence,"He was drinking like a fish , every night , into the wee hours after ."
mutation sentence,"He was drinking like a fish , every night , into the wee hours afterward ."

original sentence,"Jimmy Plant , Blogshares is a fantasy blogosphere trading game with pretend money ."
wrong word,pretend 12
mutation sentence,"Jimmy Plant , Blogshares is a fantasy / blogosphere trading game with pretend money ."
mutation sentence,"Jimmy Plant , Blogshares is a fantasy blogosphere trading game with pretend money involved ."

original sentence,"Do you really think GWB , and neocons in general are representative of true followers of Jesus of Nazareth ?"
wrong word,general 10
mutation sentence,"Do you really think GWB , and neocons in general are any representative of true followers of Jesus of Nazareth ?"
mutation sentence,"Do you really think GWB , and neocons in general are still representative of true followers of Jesus of Nazareth ?"
mutation sentence,"Do you really think GWB , and neocons in general are representative of true followers of Jesus of Nazareth ! ?"

original sentence,"Elena 's title is admin coordinator , and I know that Sara should not have this title , and honestly do not think that Elena should also ."
wrong word,admin 5
mutation sentence,"Elena 's job title is admin coordinator , and I know that Sara should not have this title , and honestly do not think that Elena should also ."
mutation sentence,"Elena 's official title is admin coordinator , and I know that Sara should not have this title , and honestly do not think that Elena should also ."
mutation sentence,"Elena 's new title is admin coordinator , and I know that Sara should not have this title , and honestly do not think that Elena should also ."
mutation sentence,"Elena 's full title is admin coordinator , and I know that Sara should not have this title , and honestly do not think that Elena should also ."
mutation sentence,"Elena 's real title is admin coordinator , and I know that Sara should not have this title , and honestly do not think that Elena should also ."
mutation sentence,"Elena 's proper title is admin coordinator , and I know that Sara should not have this title , and honestly do not think that Elena should also ."
mutation sentence,"Elena 's actual title is admin coordinator , and I know that Sara should not have this title , and honestly do not think that Elena should also ."
mutation sentence,"Elena 's current title is admin coordinator , and I know that Sara should not have this title , and honestly do not think that Elena should also ."
mutation sentence,"Elena 's true title is admin coordinator , and I know that Sara should not have this title , and honestly do not think that Elena should also ."
mutation sentence,"Elena 's title here is admin coordinator , and I know that Sara should not have this title , and honestly do not think that Elena should also ."
mutation sentence,"Elena 's title now is admin coordinator , and I know that Sara should not have this title , and honestly do not think that Elena should also ."
mutation sentence,"Elena 's title today is admin coordinator , and I know that Sara should not have this title , and honestly do not think that Elena should also ."
mutation sentence,"Elena 's title tonight is admin coordinator , and I know that Sara should not have this title , and honestly do not think that Elena should also ."
mutation sentence,"Elena 's title is admin coordinator again , and I know that Sara should not have this title , and honestly do not think that Elena should also ."
mutation sentence,"Elena 's title is admin coordinator tonight , and I know that Sara should not have this title , and honestly do not think that Elena should also ."
mutation sentence,"Elena 's title is admin coordinator , and I know immediately that Sara should not have this title , and honestly do not think that Elena should also ."
mutation sentence,"Elena 's title is admin coordinator , and I know instantly that Sara should not have this title , and honestly do not think that Elena should also ."

original sentence,"Also I am still thinking about the Matisse we discussed before but as you can see , I have a lot of other artists I am interested in and it may remain on the back burner because we already have one ."
wrong word,back 35
mutation sentence,"Also I am still thinking about the Matisse we discussed before but as you can see , I have a lot of other artists I am interested in and it may remain on the back burner today because we already have one ."
mutation sentence,"Also I am still thinking about the Matisse we discussed before but as you can see , I have a lot of other artists I am interested in and it may remain on the back burner though because we already have one ."
mutation sentence,"Also I am still thinking about the Matisse we discussed before but as you can see , I have a lot of other artists I am interested in and it may remain on the back burner mainly because we already have one ."
mutation sentence,"Also I am still thinking about the Matisse we discussed before but as you can see , I have a lot of other artists I am interested in and it may remain on the back burner only because we already have one ."
mutation sentence,"Also I am still thinking about the Matisse we discussed before but as you can see , I have a lot of other artists I am interested in and it may remain on the back burner tonight because we already have one ."

original sentence,"I also deleted "" subject to recall "" based on our discussion , assuming you get approval for that revision ."
wrong word,subject 5
mutation sentence,"I also deleted your "" subject to recall "" based on our discussion , assuming you get approval for that revision ."

original sentence,I hope the above is clear .
wrong word,above 4
mutation sentence,I hope the above is quite clear .

original sentence,"Please disregard and destroy the form you received on July 2 , as well as any blank forms retrieved from the PEP system prior to that date ."
wrong word,blank 17
mutation sentence,"Please disregard and destroy the form you received on July 2 , as well as any blank forms you retrieved from the PEP system prior to that date ."

original sentence,Video : Connections will be established with remote locations upon request .
wrong word,remote 8
mutation sentence,Video : Connections will be established with remote locations only upon request .
mutation sentence,Video : Connections will be established with remote locations online upon request .

original sentence,"Other "" guidelines "" exist in limited form for the remote offices in Singapore and Australia ."
wrong word,remote 11
mutation sentence,"Other "" guidelines "" exist in some limited form for the remote offices in Singapore and Australia ."
mutation sentence,"Other "" guidelines "" exist in limited text form for the remote offices in Singapore and Australia ."
mutation sentence,"Other "" guidelines "" exist in limited printed form for the remote offices in Singapore and Australia ."
mutation sentence,"Other "" guidelines "" exist in limited publication form for the remote offices in Singapore and Australia ."
mutation sentence,"Other "" guidelines "" exist in limited legal form for the remote offices in Singapore and Australia ."
mutation sentence,"Other "" guidelines "" exist in limited draft form for the remote offices in Singapore and Australia ."
mutation sentence,"Other "" guidelines "" exist in limited PDF form for the remote offices in Singapore and Australia ."
mutation sentence,"Other "" guidelines "" exist in limited written form for the remote offices in Singapore and Australia ."
mutation sentence,"Other "" guidelines "" exist in limited form only for the remote offices in Singapore and Australia ."
mutation sentence,"Other "" guidelines "" exist in limited form particularly for the remote offices in Singapore and Australia ."
mutation sentence,"Other "" guidelines "" exist in limited form for the remote offices in Singapore and South Australia ."
mutation sentence,"Other "" guidelines "" exist in limited form for the remote offices in Singapore and Australia only ."
mutation sentence,"Other "" guidelines "" exist in limited form for the remote offices in Singapore and Australia also ."
mutation sentence,"Other "" guidelines "" exist in limited form for the remote offices in Singapore and Australia alone ."

original sentence,He faxed it to you and will have the original Fedexed overnight .
wrong word,original 10
mutation sentence,He faxed it to you and will have the original Fedexed back overnight .
mutation sentence,He faxed it to you and will have the original Fedexed here overnight .
mutation sentence,He faxed it to you and will have the original Fedexed overnight tomorrow .
mutation sentence,He faxed it to you and will have the original Fedexed overnight today .

original sentence,The successful launch from the Jiuquan Satellite Launch Center in northwest China follows the solo flight of Yang Liwei in October 2003 .
wrong word,solo 15
mutation sentence,The successful launch from the Jiuquan Satellite Launch Center in northwest China follows up the solo flight of Yang Liwei in October 2003 .
mutation sentence,The successful launch from the Jiuquan Satellite Launch Center in northwest China follows closely the solo flight of Yang Liwei in October 2003 .
mutation sentence,The successful launch from the Jiuquan Satellite Launch Center in northwest China follows the solo flight of Yang Liwei in October 2003 ) .

original sentence,"Financially , it could be a lean year , although some advance planning can help you weather the storm ."
wrong word,advance 12
mutation sentence,"Financially , it could be a lean year , although some advance planning today can help you weather the storm ."

original sentence,"The fact that bad apprentice musicians such as the Beatles and the Rolling Stones achieved such a giant fame that not even the real quality musicians could achieve , was because the forces of Satan were behind everything , supporting the process ."
wrong word,quality 25
mutation sentence,"The fact that bad apprentice musicians such as the Beatles and the Rolling Stones achieved such a giant fame that not even the real quality musicians ever could achieve , was because the forces of Satan were behind everything , supporting the process ."

original sentence,is it a gud option for casual / formal functions photography ?????
wrong word,gud 4
mutation sentence,is it a gud option ( for casual / formal functions photography ?????

original sentence,"Set the layer mode to "" color "" this will make your image blak and white ."
wrong word,blak 14
mutation sentence,"Set the layer mode to "" color "" this will make your image blak and not white ."

original sentence,Unless you have a particular skill they need - and firm job offer before going - I would think twice about it !
wrong word,firm 11
mutation sentence,Unless you have a particular skill they need - and firm job offer just before going - I would think twice about it !
mutation sentence,Unless you have a particular skill they need - and firm job offer already before going - I would think twice about it !

original sentence,If you use this cage it 's best to remove the wire shelves altogether and replace it with hammocks and the like .
wrong word,like 22
mutation sentence,If you use this cage it 's best to remove the wire shelves altogether and replace it with hammocks and such the like .

original sentence,"Get that right , and they will mate when THEY are ready ."
wrong word,right 3
mutation sentence,"Get them that right , and they will mate when THEY are ready ."
mutation sentence,"Get all that right , and they will mate when THEY are ready ."
mutation sentence,"Get her that right , and they will mate when THEY are ready ."
mutation sentence,"Get on that right , and they will mate when THEY are ready ."

original sentence,The girl has either pink or brown .
wrong word,pink 5
mutation sentence,The girl has either pink or chocolate brown .

original sentence,"I chalked it up to possible nerve damage , because this is what the vet thought and the other cheek muscle was fine and he had no theeth problems ."
wrong word,nerve 7
mutation sentence,"I chalked it up to any possible nerve damage , because this is what the vet thought and the other cheek muscle was fine and he had no theeth problems ."
mutation sentence,"I chalked it up to possible nerve damage again , because this is what the vet thought and the other cheek muscle was fine and he had no theeth problems ."

original sentence,"I believe they have a real study testing the lab work in real world situations now , but it may be some time before those results are released ."
wrong word,lab 10
mutation sentence,"I believe they have a real study testing the lab work out in real world situations now , but it may be some time before those results are released ."
mutation sentence,"I believe they have a real study testing the lab work up in real world situations now , but it may be some time before those results are released ."
mutation sentence,"I believe they have a real study testing the lab work in more real world situations now , but it may be some time before those results are released ."

original sentence,I would highly recommend this shop to anyone looking to get a quality tattoo done .
wrong word,quality 13
mutation sentence,I would highly recommend this shop to anyone looking forward to get a quality tattoo done .
mutation sentence,I would highly recommend this shop to anyone looking to get a quality tattoo ever done .
mutation sentence,I would highly recommend this shop to anyone looking to get a quality tattoo already done .

original sentence,"Coming from a person who hates the dentist in general , Dr. Taylor was the best !"
wrong word,general 10
mutation sentence,"Coming from a person who hates all the dentist in general , Dr. Taylor was the best !"
mutation sentence,"Coming from a person who hates the family dentist in general , Dr. Taylor was the best !"
mutation sentence,"Coming from a person who hates the local dentist in general , Dr. Taylor was the best !"
mutation sentence,"Coming from a person who hates the dentist in general , Dr. John Taylor was the best !"
mutation sentence,"Coming from a person who hates the dentist in general , Dr. Robert Taylor was the best !"
mutation sentence,"Coming from a person who hates the dentist in general , Dr. James Taylor was the best !"
mutation sentence,"Coming from a person who hates the dentist in general , Dr. Mark Taylor was the best !"
mutation sentence,"Coming from a person who hates the dentist in general , Dr. David Taylor was the best !"
mutation sentence,"Coming from a person who hates the dentist in general , Dr. Paul Taylor was the best !"
mutation sentence,"Coming from a person who hates the dentist in general , Dr. Michael Taylor was the best !"
mutation sentence,"Coming from a person who hates the dentist in general , Dr. Richard Taylor was the best !"
mutation sentence,"Coming from a person who hates the dentist in general , Dr. Peter Taylor was the best !"
mutation sentence,"Coming from a person who hates the dentist in general , Dr. Gary Taylor was the best !"
mutation sentence,"Coming from a person who hates the dentist in general , Dr. Taylor himself was the best !"

original sentence,Overall they are n't very knowledge about the type of games are on the market .
wrong word,knowledge 6
mutation sentence,Overall they are n't any very knowledge about the type of games are on the market .

original sentence,"Everything was bland , completely void of any spice or flavor ."
wrong word,void 6
mutation sentence,"Everything was bland here , completely void of any spice or flavor ."
mutation sentence,"Everything was bland there , completely void of any spice or flavor ."

original sentence,It is the best university in Virginia and continuously receives rave reviews every year .
wrong word,rave 11
mutation sentence,It is the best university in Virginia and continuously receives rave reviews nearly every year .
mutation sentence,It is the best university in Virginia and continuously receives rave reviews virtually every year .
mutation sentence,It is the best university in Virginia and continuously receives rave reviews practically every year .
mutation sentence,It is the best university in Virginia and continuously receives rave reviews in every year .

original sentence,"When they sound off , it is a true audio / visual experience ."
wrong word,audio 10
mutation sentence,"When not they sound off , it is a true audio / visual experience ."
mutation sentence,"When all they sound off , it is a true audio / visual experience ."
mutation sentence,"When they sound off , it is almost a true audio / visual experience ."
mutation sentence,"When they sound off , it is a very true audio / visual experience ."
mutation sentence,"When they sound off , it is a truly true audio / visual experience ."
mutation sentence,"When they sound off , it is a rare true audio / visual experience ."
mutation sentence,"When they sound off , it is a unique true audio / visual experience ."
mutation sentence,"When they sound off , it is a completely true audio / visual experience ."
mutation sentence,"When they sound off , it is a real true audio / visual experience ."
mutation sentence,"When they sound off , it is a complete true audio / visual experience ."
mutation sentence,"When they sound off , it is a beautiful true audio / visual experience ."
mutation sentence,"When they sound off , it is a true audio / visual audio experience ."
mutation sentence,"When they sound off , it is a true audio / visual experience again ."
mutation sentence,"When they sound off , it is a true audio / visual experience only ."
mutation sentence,"When they sound off , it is a true audio / visual experience together ."
mutation sentence,"When they sound off , it is a true audio / visual experience underwater ."
mutation sentence,"When they sound off , it is a true audio / visual experience combined ."
mutation sentence,"When they sound off , it is a true audio / visual experience simultaneously ."
mutation sentence,"When they sound off , it is a true audio / visual experience throughout ."

original sentence,So I got just my other rear tire replaced .
wrong word,rear 7
mutation sentence,So I got just half my other rear tire replaced .
mutation sentence,So I got just my one other rear tire replaced .
mutation sentence,So I got just my single other rear tire replaced .
mutation sentence,So I got just my other rear tire replaced later .



"pos from 形容 to 数字
"


"pos from 形容 to 功能
"


"pos from 形容 to 代词
"


"pos from 形容 to 特指名词
"
original sentence,Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .
wrong word,Norwegian 15
mutation sentence,Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Odd Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .
mutation sentence,Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Erik Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .
mutation sentence,Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Peter Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .

original sentence,"I expect it will be determined that , under "" Strong Man "" Hugo Chavez , Posada could not be guaranteed a fair trial ."
wrong word,Strong 11
mutation sentence,"I expect it will be determined that , under President "" Strong Man "" Hugo Chavez , Posada could not be guaranteed a fair trial ."
mutation sentence,"I expect it will be determined that , under Governor "" Strong Man "" Hugo Chavez , Posada could not be guaranteed a fair trial ."

original sentence,"In 1997 , the Thai navy reported the interception of a 16 - meter boat after a chase off the Thai port of Ranong , and the confiscation of two tons of weapons and ammunition ."
wrong word,Thai 5
mutation sentence,"In 1997 , in the Thai navy reported the interception of a 16 - meter boat after a chase off the Thai port of Ranong , and the confiscation of two tons of weapons and ammunition ."
mutation sentence,"In 1997 , from the Thai navy reported the interception of a 16 - meter boat after a chase off the Thai port of Ranong , and the confiscation of two tons of weapons and ammunition ."
mutation sentence,"In 1997 , the Thai navy has reported the interception of a 16 - meter boat after a chase off the Thai port of Ranong , and the confiscation of two tons of weapons and ammunition ."
mutation sentence,"In 1997 , the Thai navy also reported the interception of a 16 - meter boat after a chase off the Thai port of Ranong , and the confiscation of two tons of weapons and ammunition ."
mutation sentence,"In 1997 , the Thai navy reportedly reported the interception of a 16 - meter boat after a chase off the Thai port of Ranong , and the confiscation of two tons of weapons and ammunition ."
mutation sentence,"In 1997 , the Thai navy again reported the interception of a 16 - meter boat after a chase off the Thai port of Ranong , and the confiscation of two tons of weapons and ammunition ."

original sentence,A Sri Lanka - born Tamil with a Norwegian passport was arrested by Thai authorities in 2000 for his links with the LTTE .
wrong word,Thai 14
mutation sentence,A Sri Lanka - born Tamil with a Norwegian passport was arrested by Thai authorities again in 2000 for his links with the LTTE .
mutation sentence,A Sri Lanka - born Tamil with a Norwegian passport was arrested by Thai authorities there in 2000 for his links with the LTTE .

original sentence,But to address the substance of this Big Lie is to risk falling into its logic .
wrong word,Big 8
mutation sentence,But to address the substance of this Big Lie now is to risk falling into its logic .
mutation sentence,But to address the substance of this Big Lie again is to risk falling into its logic .

original sentence,Are the adherent of ' Crowleyan Thelema ' and others of similar ilk appropriating or appropriating from the appropriators to redirect ' energy ? '
wrong word,Crowleyan 6
mutation sentence,Are the individual adherent of ' Crowleyan Thelema ' and others of similar ilk appropriating or appropriating from the appropriators to redirect ' energy ? '
mutation sentence,Are the genuine adherent of ' Crowleyan Thelema ' and others of similar ilk appropriating or appropriating from the appropriators to redirect ' energy ? '
mutation sentence,Are the original adherent of ' Crowleyan Thelema ' and others of similar ilk appropriating or appropriating from the appropriators to redirect ' energy ? '
mutation sentence,Are the faithful adherent of ' Crowleyan Thelema ' and others of similar ilk appropriating or appropriating from the appropriators to redirect ' energy ? '
mutation sentence,Are the free adherent of ' Crowleyan Thelema ' and others of similar ilk appropriating or appropriating from the appropriators to redirect ' energy ? '
mutation sentence,Are the new adherent of ' Crowleyan Thelema ' and others of similar ilk appropriating or appropriating from the appropriators to redirect ' energy ? '
mutation sentence,Are the former adherent of ' Crowleyan Thelema ' and others of similar ilk appropriating or appropriating from the appropriators to redirect ' energy ? '
mutation sentence,Are the occasional adherent of ' Crowleyan Thelema ' and others of similar ilk appropriating or appropriating from the appropriators to redirect ' energy ? '
mutation sentence,Are the true adherent of ' Crowleyan Thelema ' and others of similar ilk appropriating or appropriating from the appropriators to redirect ' energy ? '
mutation sentence,Are the current adherent of ' Crowleyan Thelema ' and others of similar ilk appropriating or appropriating from the appropriators to redirect ' energy ? '
mutation sentence,Are the adherent of ' Crowleyan Thelema ' and any others of similar ilk appropriating or appropriating from the appropriators to redirect ' energy ? '
mutation sentence,Are the adherent of ' Crowleyan Thelema ' and perhaps others of similar ilk appropriating or appropriating from the appropriators to redirect ' energy ? '
mutation sentence,Are the adherent of ' Crowleyan Thelema ' and some others of similar ilk appropriating or appropriating from the appropriators to redirect ' energy ? '
