all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,86313,291735,633,6054,859,275301


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
mutation sentence,Set adjacent to Henga Lodge is also the magnificent Henga Scenic Reserve .
mutation sentence,Set adjacent to Henga Lodge is now the magnificent Henga Scenic Reserve .
mutation sentence,Set adjacent to Henga Lodge is the very magnificent Henga Scenic Reserve .
mutation sentence,Set adjacent to Henga Lodge is the once magnificent Henga Scenic Reserve .
mutation sentence,Set adjacent to Henga Lodge is the also magnificent Henga Scenic Reserve .
mutation sentence,Set adjacent to Henga Lodge is the magnificent Henga Scenic Reserve nearby .

original sentence,"You can also go to Porte d'Enfer , a beautiful still stripe of sea between a scenery of reefs ."
wrong word,still 11
mutation sentence,"You can also go to Porte d'Enfer , where a beautiful still stripe of sea between a scenery of reefs ."

original sentence,"While dancing ballet takes dedication and requires serious training , you can learn the basics to prepare yourself for further study ."
wrong word,further 20
mutation sentence,"While dancing ballet takes dedication and requires serious training , you can learn the basics to further prepare yourself for further study ."
mutation sentence,"While dancing ballet takes dedication and requires serious training , you can learn the basics to prepare yourself for further study abroad ."
mutation sentence,"While dancing ballet takes dedication and requires serious training , you can learn the basics to prepare yourself for further study overseas ."



"pos from 形容 to 助词
"


"pos from 形容 to 并列连词
"


"pos from 形容 to 定冠
"


"pos from 形容 to 感叹
"
original sentence,"“ Sorry , kids , ” I said to the bathtub ."
wrong word,Sorry 2
mutation sentence,"“ Sorry , big kids , ” I said to the bathtub ."
mutation sentence,"“ Sorry , kids here , ” I said to the bathtub ."



"pos from 形容 to 名词
"
original sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
wrong word,6th 34
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the June 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the December 12th week ."

original sentence,"Her fourth-year student project was a painting of a hotel in the form of a bridge , inspired by the works of the Russian suprematist artist Kazimir Malevich"
wrong word,fourth-year 2
mutation sentence,"Her fourth-year student artistic project was a painting of a hotel in the form of a bridge , inspired by the works of the Russian suprematist artist Kazimir Malevich"

original sentence,"Brock Wyatt Holt ( born June 11 , 1988 ) is an American professional baseball second baseman , shortstop and outfielder for the Boston Red Sox of Major League Baseball ( MLB ) ."
wrong word,second 16
mutation sentence,"Brock Wyatt Holt ( born June 11 , 1988 ) is an American professional association baseball second baseman , shortstop and outfielder for the Boston Red Sox of Major League Baseball ( MLB ) ."

original sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in Cambridge , Massachusetts ."
wrong word,three-bedroom 11
mutation sentence,"In the summer of 2010 , Marbles was sharing up a three-bedroom apartment in Cambridge , Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing out a three-bedroom apartment in Cambridge , Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing together a three-bedroom apartment in Cambridge , Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in East Cambridge , Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in North Cambridge , Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in downtown Cambridge , Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in West Cambridge , Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in South Cambridge , Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in suburban Cambridge , Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in New Cambridge , Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in Cambridge , Cambridge Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in Cambridge , eastern Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in Cambridge , western Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in Cambridge , Western Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in Cambridge , southern Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in Cambridge , MA Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in Cambridge , Northeastern Massachusetts ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in Cambridge , Massachusetts alone ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in Cambridge , Massachusetts USA ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in Cambridge , Massachusetts again ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in Cambridge , Massachusetts US ."
mutation sentence,"In the summer of 2010 , Marbles was sharing a three-bedroom apartment in Cambridge , Massachusetts ) ."

original sentence,"The rock dropped to the ground , blood-slick and glistening ."
wrong word,blood-slick 8
mutation sentence,"The rock dropped to the ground , blood-slick and bone glistening ."
mutation sentence,"The rock dropped to the ground , blood-slick and teeth glistening ."
mutation sentence,"The rock dropped to the ground , blood-slick and blood glistening ."

original sentence,What are your thoughts about Rick Santorum ’s views on gay rights ?
wrong word,gay 11
mutation sentence,What are your thoughts about Rick Santorum ’s political views on gay rights ?
mutation sentence,What are your thoughts about Rick Santorum ’s views today on gay rights ?
mutation sentence,What are your thoughts about Rick Santorum ’s views here on gay rights ?

original sentence,"With development of Microsoft 's Internet Explorer 9 ( IE9 ) browser almost complete , Microsoft announced on Friday that it is time for IE6 users to move away from the antiquated 10-year-old browser ."
wrong word,10-year-old 33
mutation sentence,"With development of Microsoft 's Internet Explorer 9 ( IE9 ) browser almost complete , Microsoft announced on Friday that it is time for IE6 + users to move away from the antiquated 10-year-old browser ."

original sentence,"You ll find world-class museums and cultural events , professional sports and amusement parks , and the most golf courses per capita in the United States ."
wrong word,world-class 4
mutation sentence,"You ll find world-class museums and cultural events worldwide , professional sports and amusement parks , and the most golf courses per capita in the United States ."
mutation sentence,"You ll find world-class museums and cultural events , leading professional sports and amusement parks , and the most golf courses per capita in the United States ."
mutation sentence,"You ll find world-class museums and cultural events , professional sports and amusement parks , and the third most golf courses per capita in the United States ."
mutation sentence,"You ll find world-class museums and cultural events , professional sports and amusement parks , and the fourth most golf courses per capita in the United States ."
mutation sentence,"You ll find world-class museums and cultural events , professional sports and amusement parks , and the fifth most golf courses per capita in the United States ."



"pos from 形容 to 数字
"


"pos from 形容 to 功能
"


"pos from 形容 to 代词
"


"pos from 形容 to 特指名词
"
original sentence,"McKenzie , a silver and bronze Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
wrong word,Paralympic 7
mutation sentence,"McKenzie , once a silver and bronze Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
mutation sentence,"McKenzie , twice a silver and bronze Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
mutation sentence,"McKenzie , already a silver and bronze Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
mutation sentence,"McKenzie , himself a silver and bronze Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
mutation sentence,"McKenzie , a silver and two bronze Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
mutation sentence,"McKenzie , a silver and one bronze Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
mutation sentence,"McKenzie , a silver and double bronze Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."

original sentence,Progressive Mérida had electric trams and street lights before Mexico City .
wrong word,Progressive 1
mutation sentence,Progressive Mérida had some electric trams and street lights before Mexico City .
mutation sentence,Progressive Mérida had electric cable trams and street lights before Mexico City .
mutation sentence,Progressive Mérida had electric trams and gas street lights before Mexico City .
mutation sentence,Progressive Mérida had electric trams and electrical street lights before Mexico City .
mutation sentence,Progressive Mérida had electric trams and street traffic lights before Mexico City .
mutation sentence,Progressive Mérida had electric trams and street running lights before Mexico City .
mutation sentence,Progressive Mérida had electric trams and street lights well before Mexico City .
mutation sentence,Progressive Mérida had electric trams and street lights shortly before Mexico City .
mutation sentence,Progressive Mérida had electric trams and street lights before Mexico City ) .

original sentence,Digital Photos - use your camera to document the contents of boxes .
wrong word,Digital 1
mutation sentence,Digital Photos - can use your camera to document the contents of boxes .



"pos from 形容 to 标点
"


"pos from 形容 to 从句连词
"


"pos from 形容 to 符号
"


"pos from 形容 to 动词
"


"pos from 形容 to 其他
"
original sentence,"We translated "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico "" or "" tmesis "" ."
wrong word,lexical 4
mutation sentence,"We are translated "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico "" or "" tmesis "" ."
mutation sentence,"We translated it "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico "" or "" tmesis "" ."
mutation sentence,"We translated "" lexical enjambment "" from Quilis ’s French terms "" encabalgamiento léxico "" or "" tmesis "" ."
mutation sentence,"We translated "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico "" or "" le tmesis "" ."



"pos from 介词 to 形容
"


"pos from 介词 to 介词
"


"pos from 介词 to 副词
"
original sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting students ."
wrong word,in 24
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , thereby bringing in grant money , and attracting students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , thus bringing in grant money , and attracting students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , while bringing in grant money , and attracting students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , effectively bringing in grant money , and attracting students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , directly bringing in grant money , and attracting students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money annually , and attracting students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money quickly , and attracting students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting international students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting foreign students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting overseas students ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting students abroad ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting students overseas ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting students worldwide ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting students internationally ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting students elsewhere ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting students nationally ."
mutation sentence,"For example , universities have a financial incentive to inflate the expertise of their academic staff , thereby increasing their rankings , bringing in grant money , and attracting students globally ."

original sentence,"While primarily used as an infielder , he has started in and played at every position for the Red Sox , except for pitcher and catcher ."
wrong word,in 11
mutation sentence,"While primarily used as an infielder , he has started in and played out at every position for the Red Sox , except for pitcher and catcher ."

original sentence,"She tries to sit down , but I just keep on tugging and she follows me , gulping and wailing ."
wrong word,down 5
mutation sentence,"She tries to sit down , crying but I just keep on tugging and she follows me , gulping and wailing ."
mutation sentence,"She tries to sit down , sobbing but I just keep on tugging and she follows me , gulping and wailing ."

original sentence,“ Can Toph and Len come over ? ” I ask .
wrong word,over 7
mutation sentence,“ Can Toph and my Len come over ? ” I ask .
mutation sentence,“ Can Toph and his Len come over ? ” I ask .
mutation sentence,“ Can Toph and Len come over ? ” I nervously ask .
mutation sentence,“ Can Toph and Len come over ? ” I ask hopefully .

original sentence,"Waves lapped at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
wrong word,away 8
mutation sentence,"Waves gently lapped at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves suddenly lapped at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves slowly lapped at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves softly lapped at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped gently at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped away at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped softly at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped lightly at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped back at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped violently at the porch , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch below , washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , slowly washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , gently washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , finally washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , quickly washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , gradually washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , eventually washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , momentarily washing away the boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , washing away the empty boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , washing away the discarded boxes , and bowls , and the dog ’s basket ."
mutation sentence,"Waves lapped at the porch , washing away the boxes , and bowls , bowls and the dog ’s basket ."

original sentence,"“ Nonetheless , ” the traveler said , and she walked out ."
wrong word,out 12
mutation sentence,"“ Nonetheless , ” the traveler said politely , and she walked out ."

original sentence,"He ran over to the waiting starfighter , threw on his helmet and begun ascending the ladder into the cockpit ."
wrong word,over 3
mutation sentence,"He ran over to the waiting starfighter , threw on his flight helmet and begun ascending the ladder into the cockpit ."

original sentence,Rathke also asked the governments of South East Asia not to turn away boats of people seeking asylum .
wrong word,away 13
mutation sentence,Rathke had also asked the governments of South East Asia not to turn away boats of people seeking asylum .
mutation sentence,Rathke also repeatedly asked the governments of South East Asia not to turn away boats of people seeking asylum .
mutation sentence,Rathke also personally asked the governments of South East Asia not to turn away boats of people seeking asylum .
mutation sentence,Rathke also had asked the governments of South East Asia not to turn away boats of people seeking asylum .
mutation sentence,Rathke also later asked the governments of South East Asia not to turn away boats of people seeking asylum .
mutation sentence,Rathke also asked all the governments of South East Asia not to turn away boats of people seeking asylum .
mutation sentence,Rathke also asked that the governments of South East Asia not to turn away boats of people seeking asylum .
mutation sentence,Rathke also asked the local governments of South East Asia not to turn away boats of people seeking asylum .
mutation sentence,Rathke also asked the other governments of South East Asia not to turn away boats of people seeking asylum .
mutation sentence,Rathke also asked the governments abroad of South East Asia not to turn away boats of people seeking asylum .
mutation sentence,Rathke also asked the governments especially of South East Asia not to turn away boats of people seeking asylum .
mutation sentence,Rathke also asked the governments of mainland South East Asia not to turn away boats of people seeking asylum .
mutation sentence,Rathke also asked the governments of neighboring South East Asia not to turn away boats of people seeking asylum .
mutation sentence,Rathke also asked the governments of South East Southeast Asia not to turn away boats of people seeking asylum .
mutation sentence,Rathke also asked the governments of South East Central Asia not to turn away boats of people seeking asylum .
mutation sentence,Rathke also asked the governments of South East West Asia not to turn away boats of people seeking asylum .
mutation sentence,Rathke also asked the governments of South East Asia not just to turn away boats of people seeking asylum .
mutation sentence,Rathke also asked the governments of South East Asia not to simply turn away boats of people seeking asylum .
mutation sentence,Rathke also asked the governments of South East Asia not to deliberately turn away boats of people seeking asylum .
mutation sentence,Rathke also asked the governments of South East Asia not to immediately turn away boats of people seeking asylum .
mutation sentence,Rathke also asked the governments of South East Asia not to temporarily turn away boats of people seeking asylum .
mutation sentence,Rathke also asked the governments of South East Asia not to automatically turn away boats of people seeking asylum .
mutation sentence,Rathke also asked the governments of South East Asia not to forcibly turn away boats of people seeking asylum .
mutation sentence,Rathke also asked the governments of South East Asia not to turn away boats of displaced people seeking asylum .
mutation sentence,Rathke also asked the governments of South East Asia not to turn away boats of Somali people seeking asylum .
mutation sentence,Rathke also asked the governments of South East Asia not to turn away boats of Vietnamese people seeking asylum .
mutation sentence,Rathke also asked the governments of South East Asia not to turn away boats of people already seeking asylum .

original sentence,University exhibits can reach out and attract large audiences .
wrong word,out 5
mutation sentence,University art exhibits can reach out and attract large audiences .
mutation sentence,University exhibits often can reach out and attract large audiences .
mutation sentence,University exhibits typically can reach out and attract large audiences .
mutation sentence,University exhibits here can reach out and attract large audiences .
mutation sentence,University exhibits can quickly reach out and attract large audiences .
mutation sentence,University exhibits can then reach out and attract large audiences .
mutation sentence,University exhibits can now reach out and attract large audiences .
mutation sentence,University exhibits can reach out and can attract large audiences .
mutation sentence,University exhibits can reach out and even attract large audiences .
mutation sentence,University exhibits can reach out and often attract large audiences .
mutation sentence,University exhibits can reach out and also attract large audiences .
mutation sentence,University exhibits can reach out and sometimes attract large audiences .
mutation sentence,University exhibits can reach out and potentially attract large audiences .
mutation sentence,University exhibits can reach out and may attract large audiences .
mutation sentence,University exhibits can reach out and quickly attract large audiences .
mutation sentence,University exhibits can reach out and thus attract large audiences .
mutation sentence,University exhibits can reach out and attract very large audiences .
mutation sentence,University exhibits can reach out and attract extremely large audiences .
mutation sentence,University exhibits can reach out and attract relatively large audiences .
mutation sentence,University exhibits can reach out and attract increasingly large audiences .
mutation sentence,University exhibits can reach out and attract particularly large audiences .
mutation sentence,University exhibits can reach out and attract large international audiences .
mutation sentence,University exhibits can reach out and attract large potential audiences .
mutation sentence,University exhibits can reach out and attract large audiences internationally .
mutation sentence,University exhibits can reach out and attract large audiences nationwide .
mutation sentence,University exhibits can reach out and attract large audiences globally .
mutation sentence,University exhibits can reach out and attract large audiences nationally .
mutation sentence,University exhibits can reach out and attract large audiences quickly .

original sentence,""" I smacked them around . """
wrong word,around 5
mutation sentence,""" I never smacked them around . """
mutation sentence,""" I always smacked them around . """
mutation sentence,""" I smacked both them around . """

original sentence,His own descendants and the descendants of other Moriori live on today .
wrong word,on 11
mutation sentence,His own surviving descendants and the descendants of other Moriori live on today .
mutation sentence,His own descendants and later the descendants of other Moriori live on today .
mutation sentence,His own descendants and the descendants thereof of other Moriori live on today .
mutation sentence,His own descendants and the descendants of other Moriori live on today together .
mutation sentence,His own descendants and the descendants of other Moriori live on today alone .
mutation sentence,His own descendants and the descendants of other Moriori live on today however .
mutation sentence,His own descendants and the descendants of other Moriori live on today worldwide .
mutation sentence,His own descendants and the descendants of other Moriori live on today still .
mutation sentence,His own descendants and the descendants of other Moriori live on today themselves .

original sentence,Hold the chicken down on a flat surface .
wrong word,down 4
mutation sentence,Hold the whole chicken down on a flat surface .
mutation sentence,Hold the stuffed chicken down on a flat surface .
mutation sentence,Hold the cooked chicken down on a flat surface .
mutation sentence,Hold the live chicken down on a flat surface .
mutation sentence,Hold the entire chicken down on a flat surface .
mutation sentence,Hold the fried chicken down on a flat surface .
mutation sentence,Hold the small chicken down on a flat surface .
mutation sentence,Hold the dead chicken down on a flat surface .
mutation sentence,Hold the plastic chicken down on a flat surface .
mutation sentence,Hold the hot chicken down on a flat surface .
mutation sentence,Hold the chicken down on a hard flat surface .
mutation sentence,Hold the chicken down on a suitable flat surface .
mutation sentence,Hold the chicken down on a smooth flat surface .
mutation sentence,Hold the chicken down on a firm flat surface .
