all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,181729,308991,1949,2471,1191,135144


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
mutation sentence,"These results indicate a shift from the standard bird , knee-driven bipedal locomotion to a more hip-driven locomotion , typical of crocodilians ( the only other extant known archosaur group ) , mammals , and hypothetically , bipedal non-avian dinosaurs ."

original sentence,"Jerome used a quote from Virgil — "" On all sides round horror spread wide ; the very silence breathed a terror on my soul "" [ 17 ] — to describe the horror of hell ."
wrong word,wide
mutation sentence,"Jerome used a quote from Virgil — "" On all four sides round horror spread wide ; the very silence breathed a terror on my soul "" [ 17 ] — to describe the horror of hell ."
mutation sentence,"Jerome used a quote from Virgil — "" On all three sides round horror spread wide ; the very silence breathed a terror on my soul "" [ 17 ] — to describe the horror of hell ."
mutation sentence,"Jerome used a quote from Virgil — "" On all five sides round horror spread wide ; the very silence breathed a terror on my soul "" [ 17 ] — to describe the horror of hell ."
mutation sentence,"Jerome used a quote from Virgil — "" On all sides round horror spread me wide ; the very silence breathed a terror on my soul "" [ 17 ] — to describe the horror of hell ."
mutation sentence,"Jerome used a quote from Virgil — "" On all sides round horror spread it wide ; the very silence breathed a terror on my soul "" [ 17 ] — to describe the horror of hell ."
mutation sentence,"Jerome used a quote from Virgil — "" On all sides round horror spread wide spread ; the very silence breathed a terror on my soul "" [ 17 ] — to describe the horror of hell ."
mutation sentence,"Jerome used a quote from Virgil — "" On all sides round horror spread wide out ; the very silence breathed a terror on my soul "" [ 17 ] — to describe the horror of hell ."
mutation sentence,"Jerome used a quote from Virgil — "" On all sides round horror spread wide everywhere ; the very silence breathed a terror on my soul "" [ 17 ] — to describe the horror of hell ."
mutation sentence,"Jerome used a quote from Virgil — "" On all sides round horror spread wide throughout ; the very silence breathed a terror on my soul "" [ 17 ] — to describe the horror of hell ."
mutation sentence,"Jerome used a quote from Virgil — "" On all sides round horror spread wide ; And the very silence breathed a terror on my soul "" [ 17 ] — to describe the horror of hell ."
mutation sentence,"Jerome used a quote from Virgil — "" On all sides round horror spread wide ; but the very silence breathed a terror on my soul "" [ 17 ] — to describe the horror of hell ."
mutation sentence,"Jerome used a quote from Virgil — "" On all sides round horror spread wide ; yet the very silence breathed a terror on my soul "" [ 17 ] — to describe the horror of hell ."

original sentence,"After living a life of constant weeping and prayer in solitude , Pachomius forgave Theodorus and allowed him to live among the brothers once more ."
wrong word,more
mutation sentence,"After living a life of constant weeping and prayer in solitude , Pachomius forgave Theodorus and allowed him to live among the brothers once more forever ."

original sentence,"“ I was just looking around and thought she was right with me , you know ?"
wrong word,right
mutation sentence,"“ I was just looking around and thought she always was right with me , you know ?"
mutation sentence,"“ I was just looking around and thought she just was right with me , you know ?"
mutation sentence,"“ I was just looking around and thought she probably was right with me , you know ?"
mutation sentence,"“ I was just looking around and thought she somehow was right with me , you know ?"
mutation sentence,"“ I was just looking around and thought she was right with just me , you know ?"
mutation sentence,"“ I was just looking around and thought she was right with only me , you know ?"
mutation sentence,"“ I was just looking around and thought she was right with little me , you know ?"
mutation sentence,"“ I was just looking around and thought she was right with the me , you know ?"
mutation sentence,"“ I was just looking around and thought she was right with on me , you know ?"

original sentence,Is it only girls you hire ?
wrong word,only
mutation sentence,Is that it only girls you hire ?
mutation sentence,Is it only the girls you hire ?
mutation sentence,Is it only those girls you hire ?
mutation sentence,Is it only these girls you hire ?
mutation sentence,Is it only young girls you hire ?
mutation sentence,Is it only girls whom you hire ?
mutation sentence,Is it only girls who you hire ?

original sentence,"That said , we are realistic enough to realize that this goal will take decades to achieve ."
wrong word,enough
mutation sentence,"That said , we are realistic enough not to realize that this goal will take decades to achieve ."
mutation sentence,"That said , we are realistic enough yet to realize that this goal will take decades to achieve ."
mutation sentence,"That said , we are realistic enough indeed to realize that this goal will take decades to achieve ."

original sentence,We ’ll attack People Magazine ’s coverage of Britney as much as Britney .
wrong word,much
mutation sentence,We ’ll attack People Magazine ’s coverage of Britney as very much as Britney .
mutation sentence,We ’ll attack People Magazine ’s coverage of Britney as pretty much as Britney .
mutation sentence,We ’ll attack People Magazine ’s coverage of Britney as much as just Britney .
mutation sentence,We ’ll attack People Magazine ’s coverage of Britney as much as only Britney .

original sentence,"This is more true for real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
wrong word,online
mutation sentence,"This is much more true for real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is no more true for real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is even more true for real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is probably more true for real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is actually more true for real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is usually more true for real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is often more true for real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is perhaps more true for real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more obviously true for real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more usually true for real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true even for real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true here for real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true online for real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true only for real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true specifically for real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for many real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for all real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for some real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for the real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life dating situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life social situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life chat situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life romantic situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life online situations than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life situations online than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life situations here than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life situations generally than it is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life situations than it ever is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life situations than it actually is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life situations than it really is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life situations than it usually is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life situations than it probably is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life situations than it necessarily is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life situations than it even is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life situations than it certainly is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life situations than it typically is online , but this mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life situations than it is online , but this particular mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life situations than it is online , but this last mantra has some truth in the world of IM flirting as well ."
mutation sentence,"This is more true for real-life situations than it is online , but this mantra has some truth in both the world of IM flirting as well ."
mutation sentence,"This is more true for real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well ) ."
mutation sentence,"This is more true for real-life situations than it is online , but this mantra has some truth in the world of IM flirting as well here ."

original sentence,This should take no longer than 30 seconds .
wrong word,longer
mutation sentence,This should take no longer now than 30 seconds .
mutation sentence,This should take no longer still than 30 seconds .
mutation sentence,This should take no longer . than 30 seconds .
mutation sentence,This should take no longer up than 30 seconds .



"pos from 形容 to 助词
"


"pos from 形容 to 并列连词
"


"pos from 形容 to 定冠
"


"pos from 形容 to 感叹
"


"pos from 形容 to 名词
"
original sentence,"Finally , applied to many academic fields in parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
wrong word,parallel
mutation sentence,"Finally , applied to many related academic fields in parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic research fields in parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic science fields in parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic related fields in parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic career fields in parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic subject fields in parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic study fields in parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in close parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in direct parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in a parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in near parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in strict parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in exact parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in the parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the metric system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the computer system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the new system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the classification system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the accounting system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the system can elucidate why scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the system can elucidate the scientists ’ movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the system can elucidate scientists ’ labor movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the system can elucidate scientists ’ work movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the system can elucidate scientists ’ free movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the system can elucidate scientists ’ labour movement between different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the system can elucidate scientists ’ movement between the different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the system can elucidate scientists ’ movement between several different disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the system can elucidate scientists ’ movement between different academic disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the system can elucidate scientists ’ movement between different scientific disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the system can elucidate scientists ’ movement between different research disciplines and relate those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the system can elucidate scientists ’ movement between different disciplines and relate through those labor flows to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows together to scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to major scientific advances ."
mutation sentence,"Finally , applied to many academic fields in parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances worldwide ."
mutation sentence,"Finally , applied to many academic fields in parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances made ."
mutation sentence,"Finally , applied to many academic fields in parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances occurring ."
mutation sentence,"Finally , applied to many academic fields in parallel , the system can elucidate scientists ’ movement between different disciplines and relate those labor flows to scientific advances achieved ."

original sentence,The second provides an example of the type of research enabled by our system and uses the 2011 and 2017 censuses to investigate the “ leaky pipeline ” problem in faculty retention .
wrong word,second
mutation sentence,The current second provides an example of the type of research enabled by our system and uses the 2011 and 2017 censuses to investigate the “ leaky pipeline ” problem in faculty retention .
mutation sentence,The top second provides an example of the type of research enabled by our system and uses the 2011 and 2017 censuses to investigate the “ leaky pipeline ” problem in faculty retention .
mutation sentence,The data second provides an example of the type of research enabled by our system and uses the 2011 and 2017 censuses to investigate the “ leaky pipeline ” problem in faculty retention .

original sentence,"Thus , when ACPeds issued a statement condemning gender reassignment surgery in 2016 [ 21 ] , many people mistook the organization ’s political beliefs for the consensus view among United States pediatricians — although the peak body for pediatric workers , the American Academy of Pediatrics , has a much more positive view of gender dysphoria [ 22 ] ."
wrong word,peak
mutation sentence,"Thus , when ACPeds issued a statement condemning gender reassignment surgery in 2016 [ 21 ] , many people mistook the organization ’s political beliefs for the consensus view among United States pediatricians — although the national peak body for pediatric workers , the American Academy of Pediatrics , has a much more positive view of gender dysphoria [ 22 ] ."
mutation sentence,"Thus , when ACPeds issued a statement condemning gender reassignment surgery in 2016 [ 21 ] , many people mistook the organization ’s political beliefs for the consensus view among United States pediatricians — although the American peak body for pediatric workers , the American Academy of Pediatrics , has a much more positive view of gender dysphoria [ 22 ] ."
mutation sentence,"Thus , when ACPeds issued a statement condemning gender reassignment surgery in 2016 [ 21 ] , many people mistook the organization ’s political beliefs for the consensus view among United States pediatricians — although the professional peak body for pediatric workers , the American Academy of Pediatrics , has a much more positive view of gender dysphoria [ 22 ] ."
mutation sentence,"Thus , when ACPeds issued a statement condemning gender reassignment surgery in 2016 [ 21 ] , many people mistook the organization ’s political beliefs for the consensus view among United States pediatricians — although the official peak body for pediatric workers , the American Academy of Pediatrics , has a much more positive view of gender dysphoria [ 22 ] ."
mutation sentence,"Thus , when ACPeds issued a statement condemning gender reassignment surgery in 2016 [ 21 ] , many people mistook the organization ’s political beliefs for the consensus view among United States pediatricians — although the major peak body for pediatric workers , the American Academy of Pediatrics , has a much more positive view of gender dysphoria [ 22 ] ."
mutation sentence,"Thus , when ACPeds issued a statement condemning gender reassignment surgery in 2016 [ 21 ] , many people mistook the organization ’s political beliefs for the consensus view among United States pediatricians — although the international peak body for pediatric workers , the American Academy of Pediatrics , has a much more positive view of gender dysphoria [ 22 ] ."
mutation sentence,"Thus , when ACPeds issued a statement condemning gender reassignment surgery in 2016 [ 21 ] , many people mistook the organization ’s political beliefs for the consensus view among United States pediatricians — although the main peak body for pediatric workers , the American Academy of Pediatrics , has a much more positive view of gender dysphoria [ 22 ] ."

original sentence,The error is introduced by directly modifying the coordinate system of geometry when recovering the wrapping of the figure .
wrong word,coordinate
mutation sentence,The error is introduced by directly modifying the original coordinate system of geometry when recovering the wrapping of the figure .
mutation sentence,The error is introduced by directly modifying the standard coordinate system of geometry when recovering the wrapping of the figure .
mutation sentence,The error is introduced by directly modifying the spatial coordinate system of geometry when recovering the wrapping of the figure .
mutation sentence,The error is introduced by directly modifying the underlying coordinate system of geometry when recovering the wrapping of the figure .
mutation sentence,The error is introduced by directly modifying the canonical coordinate system of geometry when recovering the wrapping of the figure .
mutation sentence,The error is introduced by directly modifying the local coordinate system of geometry when recovering the wrapping of the figure .
mutation sentence,The error is introduced by directly modifying the desired coordinate system of geometry when recovering the wrapping of the figure .
mutation sentence,The error is introduced by directly modifying the internal coordinate system of geometry when recovering the wrapping of the figure .
mutation sentence,The error is introduced by directly modifying the normal coordinate system of geometry when recovering the wrapping of the figure .
mutation sentence,The error is introduced by directly modifying the coordinate system regardless of geometry when recovering the wrapping of the figure .
mutation sentence,The error is introduced by directly modifying the coordinate system of the geometry when recovering the wrapping of the figure .
mutation sentence,The error is introduced by directly modifying the coordinate system of a geometry when recovering the wrapping of the figure .

original sentence,"However , substantial differences in hindlimb morphology between these groups make difficult to assess the validity of inferences obtained from such studies ."
wrong word,hindlimb
mutation sentence,"However , substantial differences in ventral hindlimb morphology between these groups make difficult to assess the validity of inferences obtained from such studies ."
mutation sentence,"However , substantial differences in upper hindlimb morphology between these groups make difficult to assess the validity of inferences obtained from such studies ."
mutation sentence,"However , substantial differences in lateral hindlimb morphology between these groups make difficult to assess the validity of inferences obtained from such studies ."
mutation sentence,"However , substantial differences in posterior hindlimb morphology between these groups make difficult to assess the validity of inferences obtained from such studies ."
mutation sentence,"However , substantial differences in basal hindlimb morphology between these groups make difficult to assess the validity of inferences obtained from such studies ."

original sentence,"these systems demonstrate , in microcosm , the global challenge of managing the fire-hose flow of information in contemporary postdigital society ."
wrong word,fire-hose
mutation sentence,"these systems demonstrate , in microcosm , the global challenge of managing the global fire-hose flow of information in contemporary postdigital society ."
mutation sentence,"these systems demonstrate , in microcosm , the global challenge of managing the complex fire-hose flow of information in contemporary postdigital society ."
mutation sentence,"these systems demonstrate , in microcosm , the global challenge of managing the international fire-hose flow of information in contemporary postdigital society ."

original sentence,"Fillmore spent three years in the U.S. Army stationed in Japan , where he intercepted coded Russian conversations on short-wave radio and taught himself Japanese . [ 2 ]"
wrong word,short-wave
mutation sentence,"Fillmore spent three years in the U.S. Army stationed in Japan , where he intercepted coded Russian conversations on Japanese short-wave radio and taught himself Japanese . [ 2 ]"
mutation sentence,"Fillmore spent three years in the U.S. Army stationed in Japan , where he intercepted coded Russian conversations on amateur short-wave radio and taught himself Japanese . [ 2 ]"
mutation sentence,"Fillmore spent three years in the U.S. Army stationed in Japan , where he intercepted coded Russian conversations on military short-wave radio and taught himself Japanese . [ 2 ]"

original sentence,"He then starred in romantic comedy Leap Year ( 2010 ) and Australian drama Burning Man ( 2011 ) , the latter earning him a nomination for Best Actor at the Film Critics Circle of Australia Awards ."
wrong word,latter
mutation sentence,"He then starred in romantic comedy Leap Year ( 2010 ) and Australian drama Burning Man ( 2011 ) , the former latter earning him a nomination for Best Actor at the Film Critics Circle of Australia Awards ."

original sentence,"Their new dwelling was a five-minute walk from Tokyo 's ill-famed red-light district , the Yoshiwara ."
wrong word,five-minute
mutation sentence,"Their new dwelling was only a five-minute walk from Tokyo 's ill-famed red-light district , the Yoshiwara ."
mutation sentence,"Their new dwelling was just a five-minute walk from Tokyo 's ill-famed red-light district , the Yoshiwara ."
mutation sentence,"Their new dwelling was about a five-minute walk from Tokyo 's ill-famed red-light district , the Yoshiwara ."
mutation sentence,"Their new dwelling was approximately a five-minute walk from Tokyo 's ill-famed red-light district , the Yoshiwara ."
mutation sentence,"Their new dwelling was a mere five-minute walk from Tokyo 's ill-famed red-light district , the Yoshiwara ."
mutation sentence,"Their new dwelling was a short five-minute walk from Tokyo 's ill-famed red-light district , the Yoshiwara ."
mutation sentence,"Their new dwelling was a good five-minute walk from Tokyo 's ill-famed red-light district , the Yoshiwara ."
mutation sentence,"Their new dwelling was a convenient five-minute walk from Tokyo 's ill-famed red-light district , the Yoshiwara ."
mutation sentence,"Their new dwelling was a pleasant five-minute walk from Tokyo 's ill-famed red-light district , the Yoshiwara ."
mutation sentence,"Their new dwelling was a rough five-minute walk from Tokyo 's ill-famed red-light district , the Yoshiwara ."
mutation sentence,"Their new dwelling was a quiet five-minute walk from Tokyo 's ill-famed red-light district , the Yoshiwara ."

original sentence,"The gingerbread batter bowl could wait a day , even though it would take longer to clean tomorrow ."
wrong word,gingerbread
mutation sentence,"The new gingerbread batter bowl could wait a day , even though it would take longer to clean tomorrow ."
mutation sentence,"The big gingerbread batter bowl could wait a day , even though it would take longer to clean tomorrow ."
mutation sentence,"The giant gingerbread batter bowl could wait a day , even though it would take longer to clean tomorrow ."
mutation sentence,"The broken gingerbread batter bowl could wait a day , even though it would take longer to clean tomorrow ."
mutation sentence,"The plastic gingerbread batter bowl could wait a day , even though it would take longer to clean tomorrow ."
mutation sentence,"The old gingerbread batter bowl could wait a day , even though it would take longer to clean tomorrow ."
mutation sentence,"The gingerbread batter bowl itself could wait a day , even though it would take longer to clean tomorrow ."
mutation sentence,"The gingerbread batter bowl could wait a day , today even though it would take longer to clean tomorrow ."

original sentence,“ It ’s noggins here who wants to get rid of me … ”
wrong word,noggins
mutation sentence,“ It ’s the noggins here who wants to get rid of me … ”
mutation sentence,“ It ’s this noggins here who wants to get rid of me … ”
mutation sentence,“ It ’s you noggins here who wants to get rid of me … ”
mutation sentence,“ It ’s that noggins here who wants to get rid of me … ”
mutation sentence,“ It ’s a noggins here who wants to get rid of me … ”
mutation sentence,“ It ’s old noggins here who wants to get rid of me … ”
mutation sentence,“ It ’s noggins down here who wants to get rid of me … ”

original sentence,File photo of magician David Gish displaying magic props for a young child .
wrong word,magic
mutation sentence,File photo of magician David Gish displaying magic props suitable for a young child .
mutation sentence,File photo of magician David Gish displaying magic props for a young child shown .

original sentence,"Take say on Obama , Obama ’s national security advisor James Jones former Marine commandant is on record of favoring expansion of NATO to the south and the east , further expansion of NATO , and also making it an intervention force ."
wrong word,east
mutation sentence,"Take say not on Obama , Obama ’s national security advisor James Jones former Marine commandant is on record of favoring expansion of NATO to the south and the east , further expansion of NATO , and also making it an intervention force ."
mutation sentence,"Take say on Obama , Obama ’s national security advisor James Jones former Marine commandant is already on record of favoring expansion of NATO to the south and the east , further expansion of NATO , and also making it an intervention force ."
mutation sentence,"Take say on Obama , Obama ’s national security advisor James Jones former Marine commandant is on record of favoring expansion of the NATO to the south and the east , further expansion of NATO , and also making it an intervention force ."
mutation sentence,"Take say on Obama , Obama ’s national security advisor James Jones former Marine commandant is on record of favoring expansion of NATO to the American south and the east , further expansion of NATO , and also making it an intervention force ."
mutation sentence,"Take say on Obama , Obama ’s national security advisor James Jones former Marine commandant is on record of favoring expansion of NATO to the immediate south and the east , further expansion of NATO , and also making it an intervention force ."
mutation sentence,"Take say on Obama , Obama ’s national security advisor James Jones former Marine commandant is on record of favoring expansion of NATO to the south and the east , further expansion of the NATO , and also making it an intervention force ."
mutation sentence,"Take say on Obama , Obama ’s national security advisor James Jones former Marine commandant is on record of favoring expansion of NATO to the south and the east , further expansion of continental NATO , and also making it an intervention force ."
mutation sentence,"Take say on Obama , Obama ’s national security advisor James Jones former Marine commandant is on record of favoring expansion of NATO to the south and the east , further expansion of our NATO , and also making it an intervention force ."

original sentence,"Having DNA-suitable material will let us see whether there are new genes , or genes turned on in different ways and at different times that help explain how these animals burrow into hard ice and then survive in the cold ."
wrong word,cold
mutation sentence,"Having DNA-suitable material will let us see whether there are new genes , or genes turned on in different ways and at different times that help explain how these animals burrow into hard ice and then survive in the extreme cold ."
mutation sentence,"Having DNA-suitable material will let us see whether there are new genes , or genes turned on in different ways and at different times that help explain how these animals burrow into hard ice and then survive in the deep cold ."

original sentence,"People want to learn more practical skills , and for the most part the internet does n't provide enough quality information yet ."
wrong word,quality
mutation sentence,"People want to learn more practical skills , and for the most part the internet does n't provide enough high quality information yet ."
mutation sentence,"People want to learn more practical skills , and for the most part the internet does n't provide enough quality useful information yet ."

original sentence,"McKenzie , a silver and bronze Paralympic medalist in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
wrong word,wheelchair
mutation sentence,"McKenzie , a silver and bronze Paralympic medalist also in wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
mutation sentence,"McKenzie , a silver and bronze Paralympic medalist in the wheelchair basketball , retired from the game after the 2012 Summer Paralympics in London ."
