all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,181729,308991,1949,2471,1191,135144


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
mutation sentence,Kiss anywhere you like and see how long while your partner can keep from moving or making any noise .
mutation sentence,Kiss anywhere you like and see how long this your partner can keep from moving or making any noise .
mutation sentence,Kiss anywhere you like and see how long your new partner can keep from moving or making any noise .
mutation sentence,Kiss anywhere you like and see how long your current partner can keep from moving or making any noise .
mutation sentence,Kiss anywhere you like and see how long your little partner can keep from moving or making any noise .

original sentence,“ I do n’t know how long we ’ll be . ”
wrong word,long
mutation sentence,“ I do n’t know how long we all ’ll be . ”

original sentence,She lay tense in the dark .
wrong word,tense
mutation sentence,She suddenly lay tense in the dark .
mutation sentence,She lay back tense in the dark .

original sentence,"I waited for her to say more , but she did n't ."
wrong word,more
mutation sentence,"I waited for her to say something more , but she did n't ."
mutation sentence,"I waited for her to say anything more , but she did n't ."

original sentence,"Most versions in English are called The Chemical Wedding of Christian Rosencreutz , which suggests ( and most people who ’ve heard of it suppose ) that the wedding is Christian ’s ."
wrong word,most
mutation sentence,"Most versions in English are called The Chemical Wedding of Christian Rosencreutz , which suggests ( and most the people who ’ve heard of it suppose ) that the wedding is Christian ’s ."

original sentence,"I am going to Las Vegas and Los Angeles next month , Italy in November , back to Las Vegas in December , Mexico in January , Magi-Fest in February , the Winter Carnival of Magic in Tennessee in March , Eureka Springs Cavalcade of Magic in March , and the FFFF in April ."
wrong word,next
mutation sentence,"I am going to Las Vegas and Los Angeles next this month , Italy in November , back to Las Vegas in December , Mexico in January , Magi-Fest in February , the Winter Carnival of Magic in Tennessee in March , Eureka Springs Cavalcade of Magic in March , and the FFFF in April ."
mutation sentence,"I am going to Las Vegas and Los Angeles next that month , Italy in November , back to Las Vegas in December , Mexico in January , Magi-Fest in February , the Winter Carnival of Magic in Tennessee in March , Eureka Springs Cavalcade of Magic in March , and the FFFF in April ."

original sentence,The only way to get at what 's different is to make comparisons with close relatives .
wrong word,only
mutation sentence,The only sure way to get at what 's different is to make comparisons with close relatives .
mutation sentence,The only good way to get at what 's different is to make comparisons with close relatives .
mutation sentence,The only logical way to get at what 's different is to make comparisons with close relatives .
mutation sentence,The only practical way to get at what 's different is to make comparisons with close relatives .
mutation sentence,The only reliable way to get at what 's different is to make comparisons with close relatives .
mutation sentence,The only easy way to get at what 's different is to make comparisons with close relatives .
mutation sentence,The only reasonable way to get at what 's different is to make comparisons with close relatives .

original sentence,DNA is the only way to test this .
wrong word,only
mutation sentence,DNA is the only known way to test this .
mutation sentence,DNA is the only sure way to test this .
mutation sentence,DNA is the only possible way to test this .
mutation sentence,DNA is the only reliable way to test this .
mutation sentence,DNA is the only practical way to test this .
mutation sentence,DNA is the only available way to test this .
mutation sentence,DNA is the only real way to test this .
mutation sentence,DNA is the only viable way to test this .
mutation sentence,DNA is the only effective way to test this .

original sentence,How much more could you accomplish as an individual if you could learn any activity ?
wrong word,much
mutation sentence,How very much more could you accomplish as an individual if you could learn any activity ?
mutation sentence,How much more could not you accomplish as an individual if you could learn any activity ?
mutation sentence,How much more could be you accomplish as an individual if you could learn any activity ?
mutation sentence,How much more could do you accomplish as an individual if you could learn any activity ?
mutation sentence,How much more could all you accomplish as an individual if you could learn any activity ?
mutation sentence,How much more could it you accomplish as an individual if you could learn any activity ?
mutation sentence,How much more could ever you accomplish as an individual if you could learn any activity ?
mutation sentence,How much more could you accomplish yourself as an individual if you could learn any activity ?
mutation sentence,How much more could you accomplish simply as an individual if you could learn any activity ?

original sentence,Then in 2006 we ended up fourth .
wrong word,fourth
mutation sentence,Then in 2006 we ended it up fourth .
mutation sentence,Then in 2006 we ended right up fourth .
mutation sentence,Then in 2006 we ended well up fourth .
mutation sentence,Then in 2006 we ended just up fourth .
mutation sentence,Then in 2006 we ended again up fourth .
mutation sentence,Then in 2006 we ended only up fourth .
mutation sentence,Then in 2006 we ended up fourth again .

original sentence,you 've kept it up this long
wrong word,long
mutation sentence,you 've kept it up all this long

original sentence,Last year we just knew we were going to the playoffs ; we knew we were going post-season .
wrong word,post-season
mutation sentence,Last year we just knew we were going to the playoffs ; we knew we were going post-season great .

original sentence,The only way for visitors to travel to the Chathams is via scheduled or chartered air service .
wrong word,only
mutation sentence,The only available way for visitors to travel to the Chathams is via scheduled or chartered air service .
mutation sentence,The only practical way for visitors to travel to the Chathams is via scheduled or chartered air service .
mutation sentence,The only possible way for visitors to travel to the Chathams is via scheduled or chartered air service .
mutation sentence,The only effective way for visitors to travel to the Chathams is via scheduled or chartered air service .
mutation sentence,The only reliable way for visitors to travel to the Chathams is via scheduled or chartered air service .
mutation sentence,The only known way for visitors to travel to the Chathams is via scheduled or chartered air service .
mutation sentence,The only feasible way for visitors to travel to the Chathams is via scheduled or chartered air service .

original sentence,Fort Lee is a small town but is piled high with apartment buildings .
wrong word,high
mutation sentence,Fort Lee is a small town but is still piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is now piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is already piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is heavily piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is also piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is densely piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is not piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is often piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is well piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is always piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high again with apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with large apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with huge apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with beautiful apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with new apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with big apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with expensive apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with modern apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with old apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with apartment buildings around .

original sentence,The close proximity of Warsaw and Łódź 's location at the crossroads of the Polish motorway system make it an ideal destination for a day trip or longer city break .
wrong word,longer
mutation sentence,The close proximity of Warsaw and Łódź 's location at the crossroads of the Polish motorway system make it an ideal destination for a day trip or longer a city break .

original sentence,"Do n't buy shoes to grow into , because your feet will seem flexed when you pointe and will look flat ."
wrong word,flat
mutation sentence,"Do n't buy shoes to grow into , because your feet will seem flexed when you pointe and will look flat underneath ."

original sentence,You should fit them to where the drawstring is tied slightly loose .
wrong word,loose
mutation sentence,You should fit them to where the drawstring is tied slightly loose now .
mutation sentence,You should fit them to where the drawstring is tied slightly loose enough .

original sentence,"Freezing the leaves whole does n't work very well , but if you puree it first you can freeze it for months ."
wrong word,whole
mutation sentence,"Freezing the leaves back whole does n't work very well , but if you puree it first you can freeze it for months ."
mutation sentence,"Freezing the leaves down whole does n't work very well , but if you puree it first you can freeze it for months ."

original sentence,It 's much more fun when there are other people that can understand your language .
wrong word,more
mutation sentence,It 's much more fun then when there are other people that can understand your language .



"pos from 形容 to 助词
"


"pos from 形容 to 并列连词
"


"pos from 形容 to 定冠
"
original sentence,What is the interest of such large-scale automatic analyses of enjambment ?
wrong word,such
mutation sentence,What is the interest of such a large-scale automatic analyses of enjambment ?

original sentence,"If their confidence in scientific findings is lowered across the board as the result of such epistemic pollution , one can hardly blame them ."
wrong word,such
mutation sentence,"If their confidence in scientific findings is lowered across the board as the result of such an epistemic pollution , one can hardly blame them ."

original sentence,They perpetrated such reckless action as firing 36 shells at KPA civil police posts under the absurd pretext that the KPA fired one shell at the south side .
wrong word,such
mutation sentence,They perpetrated such a reckless action as firing 36 shells at KPA civil police posts under the absurd pretext that the KPA fired one shell at the south side .



"pos from 形容 to 感叹
"
original sentence,“ Sorry ! ” I say .
wrong word,Sorry
mutation sentence,“ Sorry ! ? ” I say .
mutation sentence,“ Sorry ! ” I almost say .
mutation sentence,“ Sorry ! ” I say again .
mutation sentence,“ Sorry ! ” I say quickly .
mutation sentence,“ Sorry ! ” I say loudly .
mutation sentence,“ Sorry ! ” I say angrily .
mutation sentence,“ Sorry ! ” I say sarcastically .
mutation sentence,“ Sorry ! ” I say weakly .
mutation sentence,“ Sorry ! ” I say quietly .
mutation sentence,“ Sorry ! ” I say sharply .
mutation sentence,“ Sorry ! ” I say automatically .
mutation sentence,“ Sorry ! ” I say softly .



"pos from 形容 to 名词
"
original sentence,"In this paper , we report upon the novel insights eye-tracking techniques have provided into the unconscious processes of viewing the unique collection of Zurbarán artworks ."
wrong word,novel
mutation sentence,"In this paper , we report upon the potential novel insights eye-tracking techniques have provided into the unconscious processes of viewing the unique collection of Zurbarán artworks ."
mutation sentence,"In this paper , we report upon the remarkable novel insights eye-tracking techniques have provided into the unconscious processes of viewing the unique collection of Zurbarán artworks ."
mutation sentence,"In this paper , we report upon the unique novel insights eye-tracking techniques have provided into the unconscious processes of viewing the unique collection of Zurbarán artworks ."
mutation sentence,"In this paper , we report upon the profound novel insights eye-tracking techniques have provided into the unconscious processes of viewing the unique collection of Zurbarán artworks ."

original sentence,"This pilot project primarily investigated how participants visually explore artworks and provides new insights into the potential eye-tracking has to transform the ways we understand visual processing in arts and culture and at the same time offer a direct way of studying several important factors of a museum visit , namely to assess the effects of label characteristics on visitor visual behaviour ."
wrong word,potential
mutation sentence,"This pilot project primarily investigated how participants visually explore artworks and provides new insights into the potential which eye-tracking has to transform the ways we understand visual processing in arts and culture and at the same time offer a direct way of studying several important factors of a museum visit , namely to assess the effects of label characteristics on visitor visual behaviour ."

original sentence,"For many scientific fields , however , there is no central listing of all tenure-track faculty , making it difficult to define a rigorous sample frame for analysis ."
wrong word,tenure-track
mutation sentence,"For many scientific fields , however , there is no central listing of all current tenure-track faculty , making it difficult to define a rigorous sample frame for analysis ."
mutation sentence,"For many scientific fields , however , there is no central listing of all known tenure-track faculty , making it difficult to define a rigorous sample frame for analysis ."
mutation sentence,"For many scientific fields , however , there is no central listing of all existing tenure-track faculty , making it difficult to define a rigorous sample frame for analysis ."
mutation sentence,"For many scientific fields , however , there is no central listing of all possible tenure-track faculty , making it difficult to define a rigorous sample frame for analysis ."
mutation sentence,"For many scientific fields , however , there is no central listing of all tenure-track research faculty , making it difficult to define a rigorous sample frame for analysis ."
mutation sentence,"For many scientific fields , however , there is no central listing of all tenure-track science faculty , making it difficult to define a rigorous sample frame for analysis ."

original sentence,"Here , we present a novel system , based on a topical web crawler , that can quickly and automatically assemble a full census of an academic field using digital data available on the public World Wide Web ."
wrong word,novel
mutation sentence,"Here , we present a revolutionary novel system , based on a topical web crawler , that can quickly and automatically assemble a full census of an academic field using digital data available on the public World Wide Web ."
mutation sentence,"Here , we present a new novel system , based on a topical web crawler , that can quickly and automatically assemble a full census of an academic field using digital data available on the public World Wide Web ."
mutation sentence,"Here , we present a radical novel system , based on a topical web crawler , that can quickly and automatically assemble a full census of an academic field using digital data available on the public World Wide Web ."

original sentence,"Nowadays , most commonly and widely used bulb in the household is the Compact Fluorescent Light ( CFL ) ."
wrong word,Compact
mutation sentence,"Nowadays , most commonly and widely used bulb in the household is the Philips Compact Fluorescent Light ( CFL ) ."
mutation sentence,"Nowadays , most commonly and widely used bulb in the household is the GE Compact Fluorescent Light ( CFL ) ."

original sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
wrong word,6th
mutation sentence,"In the Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In both Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's original study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens only were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens alone were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens each were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens also were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens all were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were not housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were only housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were all housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were initially housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were often housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were each housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were then housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed outside individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were again only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only ever allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only once allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed only to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to do exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to only exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 ¹⁄₂ minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day each , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 full days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 working days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 whole days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per working week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per alternate week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per normal week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per full week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , usually from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , typically from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , normally from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the late 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ) ."

original sentence,He was a contemporary and close friend of Leonhard Euler .
wrong word,contemporary
mutation sentence,He was a contemporary and a close friend of Leonhard Euler .

original sentence,Two years later he pointed out for the first time the frequent desirability of resolving a compound motion into motions of translation and motion of rotation .
wrong word,compound
mutation sentence,Two years later he pointed out for the first time the frequent desirability of resolving a particular compound motion into motions of translation and motion of rotation .

original sentence,"Chao possessed a natural gift for hearing fine distinctions in pronunciation that was said to be "" legendary for its acuity "" , enabling him to record the sounds of various dialects with a high degree of accuracy ."
wrong word,legendary
mutation sentence,"Chao possessed a natural gift for hearing fine distinctions in pronunciation that was said to be the "" legendary for its acuity "" , enabling him to record the sounds of various dialects with a high degree of accuracy ."

original sentence,"He also designed furniture and houses for the wealthy as well as coins and medals , including the insignia of the Society of the Cincinnati ."
wrong word,wealthy
mutation sentence,"He also designed furniture and houses for the wealthy as well as designed coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as striking coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as issued coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as silver coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as struck coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as engraved coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as coins and medals himself , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as coins and medals themselves , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as coins and medals , including the insignia of the Society of the Cincinnati ) ."

original sentence,"After his expulsion became official in January 1831 , he attempted to start a private class in advanced algebra which attracted some interest , but this waned , as it seemed that his political activism had priority . [ 4 ] [ 7 ]"
wrong word,official
mutation sentence,"After his expulsion became an official in January 1831 , he attempted to start a private class in advanced algebra which attracted some interest , but this waned , as it seemed that his political activism had priority . [ 4 ] [ 7 ]"

original sentence,"On June 1 , 2015 , while starting at first base for the first time in his career , Holt went 4-for-4 with four doubles , a walk , and two RBI against the Tampa Bay Rays to win 4 to 0 . [ 14 ]"
wrong word,4-for-4
mutation sentence,"On June 1 , 2015 , while starting at first base for the first time in his career , Holt went a 4-for-4 with four doubles , a walk , and two RBI against the Tampa Bay Rays to win 4 to 0 . [ 14 ]"

original sentence,"As of March 2019 , her channel has approximately 3.1 billion video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
wrong word,video
mutation sentence,"As of March 2019 , her channel has approximately a 3.1 billion video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion YouTube video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion total video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion monthly video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion individual video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion daily video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion original video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion unique video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion live video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion home video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion combined video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion video channel views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion video views worldwide and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion video views and about 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion video views and around 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"

original sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views . [ 15 ] [ 16 ]"
wrong word,video
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion total video views . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion YouTube video views . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion monthly video views . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video game views . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views worldwide . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views globally . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views online . [ 15 ] [ 16 ]"
