all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
10119,154452,518199,1706,12426,1849,529256


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
original sentence,I intend to provide weekly updates on the status of the above actions during April
wrong word,above 12
mutation sentence,I intend to provide weekly updates on the status of the above listed actions during April

original sentence,"The Transaction is for hot rolled steel with a thickness of 1 "" and a width of 72 inches ."
wrong word,hot 5
mutation sentence,"The Final Transaction is for hot rolled steel with a thickness of 1 "" and a width of 72 inches ."
mutation sentence,"The First Transaction is for hot rolled steel with a thickness of 1 "" and a width of 72 inches ."
mutation sentence,"The Second Transaction is for hot rolled steel with a thickness of 1 "" and a width of 72 inches ."
mutation sentence,"The first Transaction is for hot rolled steel with a thickness of 1 "" and a width of 72 inches ."
mutation sentence,"The Transaction is for hot rolled stainless steel with a thickness of 1 "" and a width of 72 inches ."
mutation sentence,"The Transaction is for hot rolled structural steel with a thickness of 1 "" and a width of 72 inches ."
mutation sentence,"The Transaction is for hot rolled mild steel with a thickness of 1 "" and a width of 72 inches ."
mutation sentence,"The Transaction is for hot rolled steel with typically a thickness of 1 "" and a width of 72 inches ."
mutation sentence,"The Transaction is for hot rolled steel with a typical thickness of 1 "" and a width of 72 inches ."
mutation sentence,"The Transaction is for hot rolled steel with a thickness of 1 "" and a width of 72 cubic inches ."

original sentence,Thank you very much for your quick reply .
wrong word,quick 7
mutation sentence,Thank you very much for your quick written reply .

original sentence,Check out the Guild Wars Web site at for more info about the game .
wrong word,more 10
mutation sentence,Check out the Guild Wars Web site at for more general info about the game .
mutation sentence,Check out the Guild Wars Web site at for more useful info about the game .

original sentence,"For details and further proof , please see these websites :"
wrong word,further 4
mutation sentence,"For details and further written proof , please see these websites :"
mutation sentence,"For details and further supporting proof , please see these websites :"

original sentence,"All you need is 200 , but remember , the more you post , the more money you make !!"
wrong word,more 11
mutation sentence,"All you need now is 200 , but remember , the more you post , the more money you make !!"
mutation sentence,"All you need today is 200 , but remember , the more you post , the more money you make !!"
mutation sentence,"All you need here is 200 , but remember , the more you post , the more money you make !!"
mutation sentence,"All you need post is 200 , but remember , the more you post , the more money you make !!"
mutation sentence,"All you need is 200 , but remember though , the more you post , the more money you make !!"
mutation sentence,"All you need is 200 , but remember , the more you post , the more real money you make !!"

original sentence,"It is interesting to note that this company was made bankrupt by the British cinema industry due to the despotism and pedantry of George Harrison , who believed that the cinema industry would have worshiped him ."
wrong word,interesting 3
mutation sentence,"It is interesting however to note that this company was made bankrupt by the British cinema industry due to the despotism and pedantry of George Harrison , who believed that the cinema industry would have worshiped him ."

original sentence,and how big are they ?
wrong word,big 3
mutation sentence,and how big indeed are they ?
mutation sentence,and how big really are they ?

original sentence,My cat is a outside cat but she loves it inside .
wrong word,outside 5
mutation sentence,My cat is a outside white cat but she loves it inside .

original sentence,Useful for younger kids who do not have big enough hands or the ability to handle two reins independently .
wrong word,enough 10
mutation sentence,Useful for slightly younger kids who do not have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for very younger kids who do not have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger older kids who do not have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger deaf kids who do not have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger young kids who do not have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do often not have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do sometimes not have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do usually not have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do typically not have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do generally not have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do still not have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do simply not have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do otherwise not have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do not yet have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do not always have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do not usually have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do not typically have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do not generally have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do not already have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do not often have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do not currently have big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do not have large big enough hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do not have big enough stable hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do not have big enough young hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do not have big enough left hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do not have big enough bound hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do not have big enough strong hands or the ability to handle two reins independently .
mutation sentence,Useful for younger kids who do not have big enough right hands or the ability to handle two reins independently .

original sentence,( An outside water park ! )
wrong word,outside 3
mutation sentence,( An all outside water park ! )

original sentence,I have to mention that i recently separated the father into another cage close to the ' nest cage ' because he and the mother were fighting .
wrong word,close 14
mutation sentence,I have to mention that i recently separated the father into another cage pretty close to the ' nest cage ' because he and the mother were fighting .
mutation sentence,I have to mention that i recently separated the father into another cage close to where the ' nest cage ' because he and the mother were fighting .

original sentence,The points system acts as a guide to sort out the best candidates .
wrong word,best 12
mutation sentence,The points system acts as a guide to sort out the best performing candidates .

original sentence,"Enjoy it while you can , and then if your family enjoys it you can go again for a longer period of time ."
wrong word,longer 20
mutation sentence,"Enjoy it while you can , and then if your family enjoys it you can go again for a longer extended period of time ."

original sentence,"Three hours is n't far , but you are doing multiple shows ."
wrong word,far 5
mutation sentence,"Three hours is n't that far , but you are doing multiple shows ."
mutation sentence,"Three hours is n't so far , but you are doing multiple shows ."

original sentence,"But in general , Delhi is the hardest place to find a nice clean hotel for that price ."
wrong word,hardest 8
mutation sentence,"But in general , Delhi is the hardest enough place to find a nice clean hotel for that price ."

original sentence,It was nice and close to the Taj .
wrong word,close 5
mutation sentence,It was nice and right close to the Taj .

original sentence,The person at Petsmart is very wrong ; in fact it is always a good idea to second guess what most pet store employees tell you ; they do n't have the best track record regarding giving reliable pet care info .
wrong word,wrong 7
mutation sentence,The person at Petsmart is very wrong sometimes ; in fact it is always a good idea to second guess what most pet store employees tell you ; they do n't have the best track record regarding giving reliable pet care info .
mutation sentence,The person at Petsmart is very wrong though ; in fact it is always a good idea to second guess what most pet store employees tell you ; they do n't have the best track record regarding giving reliable pet care info .
mutation sentence,The person at Petsmart is very wrong indeed ; in fact it is always a good idea to second guess what most pet store employees tell you ; they do n't have the best track record regarding giving reliable pet care info .
mutation sentence,The person at Petsmart is very wrong again ; in fact it is always a good idea to second guess what most pet store employees tell you ; they do n't have the best track record regarding giving reliable pet care info .
mutation sentence,The person at Petsmart is very wrong there ; in fact it is always a good idea to second guess what most pet store employees tell you ; they do n't have the best track record regarding giving reliable pet care info .
mutation sentence,The person at Petsmart is very wrong here ; in fact it is always a good idea to second guess what most pet store employees tell you ; they do n't have the best track record regarding giving reliable pet care info .

original sentence,What is the best option ?
wrong word,best 4
mutation sentence,What is the best available option ?

original sentence,The real payoff is that you will have the same waiter for the entire cruise .
wrong word,real 2
mutation sentence,The real easy payoff is that you will have the same waiter for the entire cruise .

original sentence,"You charge SO MUCH , yet you use the same grounds over and over again ."
wrong word,MUCH 4
mutation sentence,"You charge SO MUCH well , yet you use the same grounds over and over again ."

original sentence,"He was prompt , knowledgable , friendly , clean and just an overall great guy who obviously cares about his business ."
wrong word,overall 13
mutation sentence,"He was prompt , socially knowledgable , friendly , clean and just an overall great guy who obviously cares about his business ."
mutation sentence,"He was prompt , knowledgable , very friendly , clean and just an overall great guy who obviously cares about his business ."
mutation sentence,"He was prompt , knowledgable , super friendly , clean and just an overall great guy who obviously cares about his business ."
mutation sentence,"He was prompt , knowledgable , really friendly , clean and just an overall great guy who obviously cares about his business ."
mutation sentence,"He was prompt , knowledgable , generally friendly , clean and just an overall great guy who obviously cares about his business ."
mutation sentence,"He was prompt , knowledgable , extremely friendly , clean and just an overall great guy who obviously cares about his business ."
mutation sentence,"He was prompt , knowledgable , friendly , exceptionally clean and just an overall great guy who obviously cares about his business ."
mutation sentence,"He was prompt , knowledgable , friendly , clean and just an overall really great guy who obviously cares about his business ."
mutation sentence,"He was prompt , knowledgable , friendly , clean and just an overall great nice guy who obviously cares about his business ."
mutation sentence,"He was prompt , knowledgable , friendly , clean and just an overall great enough guy who obviously cares about his business ."

original sentence,This place has the best baby and children s clothes .
wrong word,best 5
mutation sentence,This place has the best made baby and children s clothes .
mutation sentence,This place has the best selling baby and children s clothes .

original sentence,It was the best Chinese food I have ever had .
wrong word,best 4
mutation sentence,It was the best cooked Chinese food I have ever had .

original sentence,I have terrible hair and he really takes his time to make it look right .
wrong word,right 15
mutation sentence,I have terrible hair and he really takes his time to make it look right now .
mutation sentence,I have terrible hair and he really takes his time to make it look right here .

original sentence,The best person is the valet .
wrong word,best 2
mutation sentence,The best serving person is the valet .

original sentence,The fitness center was GREAT !
wrong word,GREAT 5
mutation sentence,The fitness center was GREAT UP !

original sentence,I ca n't say enough good things about Karla and the wonderful things she has done for me and my dog Gracee .
wrong word,enough 5
mutation sentence,I ca n't say quite enough good things about Karla and the wonderful things she has done for me and my dog Gracee .
mutation sentence,I ca n't say half enough good things about Karla and the wonderful things she has done for me and my dog Gracee .
mutation sentence,I ca n't say near enough good things about Karla and the wonderful things she has done for me and my dog Gracee .

original sentence,I can not say enough about this place .
wrong word,enough 5
mutation sentence,I can not say near enough about this place .

original sentence,Holly is truely the best hairstylist !
wrong word,best 5
mutation sentence,Holly is truely the best ever hairstylist !
mutation sentence,Holly is truely the best possible hairstylist !

original sentence,"My hair looks amazing , and I get compliments all the time ."
wrong word,amazing 4
mutation sentence,"My hair looks amazing too , and I get compliments all the time ."
mutation sentence,"My hair looks amazing though , and I get compliments all the time ."
mutation sentence,"My hair looks amazing now , and I get compliments all the time ."
mutation sentence,"My hair looks amazing everywhere , and I get compliments all the time ."
mutation sentence,"My hair looks amazing here , and I get compliments all the time ."
mutation sentence,"My hair looks amazing again , and I get compliments all the time ."

original sentence,One night was too much .
wrong word,much 5
mutation sentence,One night was too much enough .

original sentence,You 'd think they would do a good job but they do n't care unless they are getting paid full price .
wrong word,good 8
mutation sentence,You 'd think they would do a good paying job but they do n't care unless they are getting paid full price .

original sentence,It is the best university in Virginia and continuously receives rave reviews every year .
wrong word,best 4
mutation sentence,It is the best performing university in Virginia and continuously receives rave reviews every year .

original sentence,"We met a couple of weeks later , Ted was late ."
wrong word,late 11
mutation sentence,"We met a couple of weeks later , Ted was up late ."
mutation sentence,"We met a couple of weeks later , Ted was out late ."
mutation sentence,"We met a couple of weeks later , Ted was home late ."

original sentence,"Next day got moved into another room , on the same floor with other wedding guests ."
wrong word,Next 1
mutation sentence,"Next next day got moved into another room , on the same floor with other wedding guests ."

original sentence,"Anyway , after much yelling and cussing I hung up , grabbed a cab , and went to Geno 's ."
wrong word,much 4
mutation sentence,"Anyway , after pretty much yelling and cussing I hung up , grabbed a cab , and went to Geno 's ."

original sentence,"Now , the best of that unique food comes at the very beginning of the meal ."
wrong word,very 12
mutation sentence,"Now , the very best of that unique food comes at the very beginning of the meal ."
mutation sentence,"Now , the best of that unique food comes out at the very beginning of the meal ."
mutation sentence,"Now , the best of that unique food comes at just the very beginning of the meal ."
mutation sentence,"Now , the best of that unique food comes at always the very beginning of the meal ."

original sentence,Dinner was also an up - and - down experience .
wrong word,down 9
mutation sentence,Dinner was also an up - and - upside down experience .



"pos from 形容 to 助词
"


"pos from 形容 to 并列连词
"


"pos from 形容 to 定冠
"


"pos from 形容 to 感叹
"
original sentence,Sorry that this response looks so long .
wrong word,Sorry 1
mutation sentence,Sorry guys that this response looks so long .
mutation sentence,Sorry man that this response looks so long .

original sentence,Sorry I guess I did n't read it very well .
wrong word,Sorry 1
mutation sentence,Sorry I just guess I did n't read it very well .
mutation sentence,Sorry I guess I probably did n't read it very well .
mutation sentence,Sorry I guess I did n't really read it very well .
mutation sentence,Sorry I guess I did n't even read it very well .
mutation sentence,Sorry I guess I did n't only read it very well .
mutation sentence,Sorry I guess I did n't read it very really well .
mutation sentence,Sorry I guess I did n't read it very well anyway .



"pos from 形容 to 名词
"
original sentence,The third was being run by the head of an investment firm .
wrong word,third 2
mutation sentence,The other third was being run by the head of an investment firm .
mutation sentence,The remaining third was being run by the head of an investment firm .
mutation sentence,The second third was being run by the head of an investment firm .
mutation sentence,The middle third was being run by the head of an investment firm .
mutation sentence,The last third was being run by the head of an investment firm .
mutation sentence,The bottom third was being run by the head of an investment firm .
mutation sentence,The first third was being run by the head of an investment firm .
mutation sentence,The final third was being run by the head of an investment firm .

original sentence,Now the Electoral Commission is refusing to punish people for mere past Baath Party membership .
wrong word,past 12
mutation sentence,Now the Electoral Commission is refusing to punish people for mere past voting Baath Party membership .

original sentence,"The front - runner for the 2000 Republican presidential nomination faltered Thursday in an international affairs pop quiz posed by Andy Hiller , a political reporter for WHDH - TV in Boston ."
wrong word,front 2
mutation sentence,"The Democratic front - runner for the 2000 Republican presidential nomination faltered Thursday in an international affairs pop quiz posed by Andy Hiller , a political reporter for WHDH - TV in Boston ."
mutation sentence,"The Republican front - runner for the 2000 Republican presidential nomination faltered Thursday in an international affairs pop quiz posed by Andy Hiller , a political reporter for WHDH - TV in Boston ."
mutation sentence,"The primary front - runner for the 2000 Republican presidential nomination faltered Thursday in an international affairs pop quiz posed by Andy Hiller , a political reporter for WHDH - TV in Boston ."

original sentence,"By the late 1990s , Iraq had no nuclear or biological weapons program , and had destroyed its chemical weapons stockpiles ."
wrong word,chemical 19
mutation sentence,"By the late 1990s , Iraq had no nuclear or biological weapons program , and had destroyed its large chemical weapons stockpiles ."

original sentence,"Over the past decade , Bangladesh has steadily moved into a state of lawlessness ."
wrong word,past 3
mutation sentence,"Over the past decade , northern Bangladesh has steadily moved into a state of lawlessness ."
mutation sentence,"Over the past decade , modern Bangladesh has steadily moved into a state of lawlessness ."

original sentence,"Amnesty chief spokesman Mike Blakemore said : "" It 's unbelievable that no one can account for 200,000 assault rifles ."
wrong word,chief 2
mutation sentence,"Amnesty chief spokesman Mike Blakemore said : "" It just 's unbelievable that no one can account for 200,000 assault rifles ."
mutation sentence,"Amnesty chief spokesman Mike Blakemore said : "" It truly 's unbelievable that no one can account for 200,000 assault rifles ."
mutation sentence,"Amnesty chief spokesman Mike Blakemore said : "" It 's absolutely unbelievable that no one can account for 200,000 assault rifles ."
mutation sentence,"Amnesty chief spokesman Mike Blakemore said : "" It 's completely unbelievable that no one can account for 200,000 assault rifles ."
mutation sentence,"Amnesty chief spokesman Mike Blakemore said : "" It 's totally unbelievable that no one can account for 200,000 assault rifles ."
mutation sentence,"Amnesty chief spokesman Mike Blakemore said : "" It 's truly unbelievable that no one can account for 200,000 assault rifles ."
mutation sentence,"Amnesty chief spokesman Mike Blakemore said : "" It 's unbelievable though that no one can account for 200,000 assault rifles ."
mutation sentence,"Amnesty chief spokesman Mike Blakemore said : "" It 's unbelievable that absolutely no one can account for 200,000 assault rifles ."
mutation sentence,"Amnesty chief spokesman Mike Blakemore said : "" It 's unbelievable that basically no one can account for 200,000 assault rifles ."
mutation sentence,"Amnesty chief spokesman Mike Blakemore said : "" It 's unbelievable that apparently no one can account for 200,000 assault rifles ."
mutation sentence,"Amnesty chief spokesman Mike Blakemore said : "" It 's unbelievable that possibly no one can account for 200,000 assault rifles ."
mutation sentence,"Amnesty chief spokesman Mike Blakemore said : "" It 's unbelievable that no one can possibly account for 200,000 assault rifles ."
mutation sentence,"Amnesty chief spokesman Mike Blakemore said : "" It 's unbelievable that no one can honestly account for 200,000 assault rifles ."
mutation sentence,"Amnesty chief spokesman Mike Blakemore said : "" It 's unbelievable that no one can account accurately for 200,000 assault rifles ."
mutation sentence,"Amnesty chief spokesman Mike Blakemore said : "" It 's unbelievable that no one can account specifically for 200,000 assault rifles ."
mutation sentence,"Amnesty chief spokesman Mike Blakemore said : "" It 's unbelievable that no one can account for over 200,000 assault rifles ."
mutation sentence,"Amnesty chief spokesman Mike Blakemore said : "" It 's unbelievable that no one can account for about 200,000 assault rifles ."
mutation sentence,"Amnesty chief spokesman Mike Blakemore said : "" It 's unbelievable that no one can account for 200,000 American assault rifles ."
mutation sentence,"Amnesty chief spokesman Mike Blakemore said : "" It 's unbelievable that no one can account for 200,000 Soviet assault rifles ."

original sentence,It has nothing to do with true fanatic religious beliefs .
wrong word,fanatic 8
mutation sentence,It has nothing to do with true Christian fanatic religious beliefs .

original sentence,"These states , as well as the Palestinian Authority , are the safe havens of the wholesale murder vendors ."
wrong word,wholesale 17
mutation sentence,"These states , as well as the Palestinian Authority , are the safe havens of the wholesale murder vendors worldwide ."

original sentence,* 4 . The fourth element of the current world conflict is the total breaking of all laws . *
wrong word,total 14
mutation sentence,* 4 . The fourth element of the current world conflict is the total breaking away of all laws . *

original sentence,"In a bulletin , the FBI noted that the surveillance might relate to a plot to disperse a chemical or biological weapon ."
wrong word,chemical 19
mutation sentence,"In a bulletin , the FBI noted that the surveillance might relate to a plot to disperse a lethal chemical or biological weapon ."

original sentence,"I think that it is a great idea to get some press regarding our fundamental operating standards , but I wonder about the most appropriate timing , enough of a global message and the means of delivery ."
wrong word,enough 28
mutation sentence,"I think that it is a great idea to get some press regarding our fundamental operating standards online , but I wonder about the most appropriate timing , enough of a global message and the means of delivery ."
mutation sentence,"I think that it is a great idea to get some press regarding our fundamental operating standards , but I wonder more about the most appropriate timing , enough of a global message and the means of delivery ."
mutation sentence,"I think that it is a great idea to get some press regarding our fundamental operating standards , but I wonder now about the most appropriate timing , enough of a global message and the means of delivery ."
mutation sentence,"I think that it is a great idea to get some press regarding our fundamental operating standards , but I wonder about the exact most appropriate timing , enough of a global message and the means of delivery ."
mutation sentence,"I think that it is a great idea to get some press regarding our fundamental operating standards , but I wonder about the second most appropriate timing , enough of a global message and the means of delivery ."
mutation sentence,"I think that it is a great idea to get some press regarding our fundamental operating standards , but I wonder about the most appropriate timing , enough of a global message and then the means of delivery ."
mutation sentence,"I think that it is a great idea to get some press regarding our fundamental operating standards , but I wonder about the most appropriate timing , enough of a global message and also the means of delivery ."

original sentence,Your fellow employees asked for everyone from Britney Spears to George Bush .
wrong word,fellow 2
mutation sentence,Your new fellow employees asked for everyone from Britney Spears to George Bush .

original sentence,I am very interested in energy - finance and think that your idea is a very good .
wrong word,good 17
mutation sentence,I am very interested in energy - finance and think that your idea is a very real good .

original sentence,Are you selling burgers up and down the east coast ?
wrong word,east 9
mutation sentence,Are you selling burgers up and down the US east coast ?
mutation sentence,Are you selling burgers up and down the American east coast ?

original sentence,The city mayor said rescuers were unable to retrieve the dead .
wrong word,dead 11
mutation sentence,The city mayor said rescuers were unable to retrieve the remaining dead .

original sentence,"Claude Mandil , the executive director of the International Energy Agency in Paris , said the reserves in the East China Sea were hardly worth the trouble ."
wrong word,executive 5
mutation sentence,"Claude Mandil , the then executive director of the International Energy Agency in Paris , said the reserves in the East China Sea were hardly worth the trouble ."

original sentence,"The most fundamental human right , after the necessities of food , clothing and shelter , is the right to affection and the supportive love of other human beings ."
wrong word,human 4
mutation sentence,"The most fundamental natural human right , after the necessities of food , clothing and shelter , is the right to affection and the supportive love of other human beings ."
mutation sentence,"The most fundamental social human right , after the necessities of food , clothing and shelter , is the right to affection and the supportive love of other human beings ."

original sentence,"More streamside willow and aspen have meant better habitat for beaver , for instance ."
wrong word,streamside 2
mutation sentence,"More streamside willow and aspen have meant better habitat for beaver , for instance recently ."

original sentence,"The long awaited relief you 've needed in your love life is around the corner , and by the end of the year you will feel much clearer about your partnerships in general ."
wrong word,general 33
mutation sentence,"The long awaited relief you 've needed in your love life is around the corner , and by the end of the year you will feel much clearer about your professional partnerships in general ."
mutation sentence,"The long awaited relief you 've needed in your love life is around the corner , and by the end of the year you will feel much clearer about your partnerships in fine general ."

original sentence,Is the old Devil attempting to disguise as good in front of people .
wrong word,good 9
mutation sentence,Is the old Devil attempting to disguise as pure good in front of people .

original sentence,"This threat exists not merely on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
wrong word,military 8
mutation sentence,"This potential threat exists not merely on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This new threat exists not merely on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This Chinese threat exists not merely on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This possible threat exists not merely on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This common threat exists not merely on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This global threat exists not merely on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This strategic threat exists not merely on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This growing threat exists not merely on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat also exists not merely on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat now exists not merely on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat currently exists not merely on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat clearly exists not merely on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat likely exists not merely on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat certainly exists not merely on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat therefore exists not merely on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat thus exists not merely on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely only on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely solely on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely just on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely simply on a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on just a military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on a global military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on a national military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on a domestic military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on a strategic military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on a high military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on a local military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on a conventional military level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on a military operational level , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on a military level however , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on a military level though , though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on a military level , even though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on a military level , especially though China could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on a military level , though China also could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on a military level , though China potentially could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on a military level , though China likely could force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on a military level , though China could potentially force a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on a military level , though China could force even a confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on a military level , though China could force a strategic confrontation in the Pacific by way of Taiwan ."
mutation sentence,"This threat exists not merely on a military level , though China could force a maritime confrontation in the Pacific by way of Taiwan ."
