all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,125764,215951,1069,1298,853,97641


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
original sentence,"In Tyler ’s mind he could see her face grow taut , lose color , and then , for the only time he could remember , she began to cry ."
wrong word,only 21
mutation sentence,"In Tyler ’s mind he could see her face grow taut , lose color , and then , for the only possible time he could remember , she began to cry ."
mutation sentence,"In Tyler ’s mind he could see her face grow taut , lose color , and then , for the only good time he could remember , she began to cry ."
mutation sentence,"In Tyler ’s mind he could see her face grow taut , lose color , and then , for the only known time he could remember , she began to cry ."
mutation sentence,"In Tyler ’s mind he could see her face grow taut , lose color , and then , for the only normal time he could remember , she began to cry ."

original sentence,Kiss anywhere you like and see how long your partner can keep from moving or making any noise .
wrong word,long 8
mutation sentence,Kiss anywhere you like and see how long your new partner can keep from moving or making any noise .
mutation sentence,Kiss anywhere you like and see how long your current partner can keep from moving or making any noise .
mutation sentence,Kiss anywhere you like and see how long your little partner can keep from moving or making any noise .

original sentence,She lay tense in the dark .
wrong word,tense 3
mutation sentence,She suddenly lay tense in the dark .
mutation sentence,She lay back tense in the dark .

original sentence,The only way to get at what 's different is to make comparisons with close relatives .
wrong word,only 2
mutation sentence,The only sure way to get at what 's different is to make comparisons with close relatives .
mutation sentence,The only good way to get at what 's different is to make comparisons with close relatives .
mutation sentence,The only logical way to get at what 's different is to make comparisons with close relatives .
mutation sentence,The only practical way to get at what 's different is to make comparisons with close relatives .
mutation sentence,The only reliable way to get at what 's different is to make comparisons with close relatives .
mutation sentence,The only easy way to get at what 's different is to make comparisons with close relatives .
mutation sentence,The only reasonable way to get at what 's different is to make comparisons with close relatives .

original sentence,DNA is the only way to test this .
wrong word,only 4
mutation sentence,DNA is the only known way to test this .
mutation sentence,DNA is the only sure way to test this .
mutation sentence,DNA is the only possible way to test this .
mutation sentence,DNA is the only reliable way to test this .
mutation sentence,DNA is the only practical way to test this .
mutation sentence,DNA is the only available way to test this .
mutation sentence,DNA is the only real way to test this .
mutation sentence,DNA is the only viable way to test this .
mutation sentence,DNA is the only effective way to test this .

original sentence,How much more could you accomplish as an individual if you could learn any activity ?
wrong word,much 2
mutation sentence,How very much more could you accomplish as an individual if you could learn any activity ?
mutation sentence,How much more could not you accomplish as an individual if you could learn any activity ?
mutation sentence,How much more could ever you accomplish as an individual if you could learn any activity ?
mutation sentence,How much more could you accomplish simply as an individual if you could learn any activity ?

original sentence,Then in 2006 we ended up fourth .
wrong word,fourth 7
mutation sentence,Then in 2006 we ended right up fourth .
mutation sentence,Then in 2006 we ended well up fourth .
mutation sentence,Then in 2006 we ended just up fourth .
mutation sentence,Then in 2006 we ended again up fourth .
mutation sentence,Then in 2006 we ended only up fourth .
mutation sentence,Then in 2006 we ended up fourth again .

original sentence,The only way for visitors to travel to the Chathams is via scheduled or chartered air service .
wrong word,only 2
mutation sentence,The only available way for visitors to travel to the Chathams is via scheduled or chartered air service .
mutation sentence,The only practical way for visitors to travel to the Chathams is via scheduled or chartered air service .
mutation sentence,The only possible way for visitors to travel to the Chathams is via scheduled or chartered air service .
mutation sentence,The only effective way for visitors to travel to the Chathams is via scheduled or chartered air service .
mutation sentence,The only reliable way for visitors to travel to the Chathams is via scheduled or chartered air service .
mutation sentence,The only known way for visitors to travel to the Chathams is via scheduled or chartered air service .
mutation sentence,The only feasible way for visitors to travel to the Chathams is via scheduled or chartered air service .

original sentence,Fort Lee is a small town but is piled high with apartment buildings .
wrong word,high 10
mutation sentence,Fort Lee is a small town but is still piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is now piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is already piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is heavily piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is also piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is densely piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is not piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is often piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is well piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is always piled high with apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high again with apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with large apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with huge apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with beautiful apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with new apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with big apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with expensive apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with modern apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with old apartment buildings .
mutation sentence,Fort Lee is a small town but is piled high with apartment buildings around .

original sentence,"Do n't buy shoes to grow into , because your feet will seem flexed when you pointe and will look flat ."
wrong word,flat 21
mutation sentence,"Do n't buy shoes to grow into , because your feet will seem flexed when you pointe and will look flat underneath ."

original sentence,You should fit them to where the drawstring is tied slightly loose .
wrong word,loose 12
mutation sentence,You should fit them to where the drawstring is tied slightly loose now .
mutation sentence,You should fit them to where the drawstring is tied slightly loose enough .

original sentence,"Freezing the leaves whole does n't work very well , but if you puree it first you can freeze it for months ."
wrong word,whole 4
mutation sentence,"Freezing the leaves back whole does n't work very well , but if you puree it first you can freeze it for months ."

original sentence,It 's much more fun when there are other people that can understand your language .
wrong word,more 4
mutation sentence,It 's much more fun then when there are other people that can understand your language .



"pos from 形容 to 助词
"


"pos from 形容 to 并列连词
"


"pos from 形容 to 定冠
"


"pos from 形容 to 感叹
"
original sentence,“ Sorry ! ” I say .
wrong word,Sorry 2
mutation sentence,“ Sorry ! ” I almost say .
mutation sentence,“ Sorry ! ” I say again .
mutation sentence,“ Sorry ! ” I say quickly .
mutation sentence,“ Sorry ! ” I say loudly .
mutation sentence,“ Sorry ! ” I say angrily .
mutation sentence,“ Sorry ! ” I say sarcastically .
mutation sentence,“ Sorry ! ” I say weakly .
mutation sentence,“ Sorry ! ” I say quietly .
mutation sentence,“ Sorry ! ” I say sharply .
mutation sentence,“ Sorry ! ” I say automatically .
mutation sentence,“ Sorry ! ” I say softly .



"pos from 形容 to 名词
"
original sentence,"In this paper , we report upon the novel insights eye-tracking techniques have provided into the unconscious processes of viewing the unique collection of Zurbarán artworks ."
wrong word,novel 9
mutation sentence,"In this paper , we report upon the potential novel insights eye-tracking techniques have provided into the unconscious processes of viewing the unique collection of Zurbarán artworks ."
mutation sentence,"In this paper , we report upon the remarkable novel insights eye-tracking techniques have provided into the unconscious processes of viewing the unique collection of Zurbarán artworks ."
mutation sentence,"In this paper , we report upon the unique novel insights eye-tracking techniques have provided into the unconscious processes of viewing the unique collection of Zurbarán artworks ."
mutation sentence,"In this paper , we report upon the profound novel insights eye-tracking techniques have provided into the unconscious processes of viewing the unique collection of Zurbarán artworks ."

original sentence,"For many scientific fields , however , there is no central listing of all tenure-track faculty , making it difficult to define a rigorous sample frame for analysis ."
wrong word,tenure-track 15
mutation sentence,"For many scientific fields , however , there is no central listing of all current tenure-track faculty , making it difficult to define a rigorous sample frame for analysis ."
mutation sentence,"For many scientific fields , however , there is no central listing of all known tenure-track faculty , making it difficult to define a rigorous sample frame for analysis ."
mutation sentence,"For many scientific fields , however , there is no central listing of all existing tenure-track faculty , making it difficult to define a rigorous sample frame for analysis ."
mutation sentence,"For many scientific fields , however , there is no central listing of all possible tenure-track faculty , making it difficult to define a rigorous sample frame for analysis ."

original sentence,"Here , we present a novel system , based on a topical web crawler , that can quickly and automatically assemble a full census of an academic field using digital data available on the public World Wide Web ."
wrong word,novel 6
mutation sentence,"Here , we present a revolutionary novel system , based on a topical web crawler , that can quickly and automatically assemble a full census of an academic field using digital data available on the public World Wide Web ."
mutation sentence,"Here , we present a new novel system , based on a topical web crawler , that can quickly and automatically assemble a full census of an academic field using digital data available on the public World Wide Web ."
mutation sentence,"Here , we present a radical novel system , based on a topical web crawler , that can quickly and automatically assemble a full census of an academic field using digital data available on the public World Wide Web ."

original sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
wrong word,6th 34
mutation sentence,"In Carrano & Biewener 's original study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens only were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens alone were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens also were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were not housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were only housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were all housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were initially housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were often housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were each housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were then housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed outside individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were again only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only ever allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only once allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed only to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to only exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 ¹⁄₂ minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day each , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 full days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 working days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 whole days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per working week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per alternate week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per normal week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per full week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , usually from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , typically from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , normally from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the late 12th week ."

original sentence,Two years later he pointed out for the first time the frequent desirability of resolving a compound motion into motions of translation and motion of rotation .
wrong word,compound 17
mutation sentence,Two years later he pointed out for the first time the frequent desirability of resolving a particular compound motion into motions of translation and motion of rotation .

original sentence,"He also designed furniture and houses for the wealthy as well as coins and medals , including the insignia of the Society of the Cincinnati ."
wrong word,wealthy 9
mutation sentence,"He also designed furniture and houses for the wealthy as well as designed coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as striking coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as issued coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as silver coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as struck coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as engraved coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as coins and medals himself , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as coins and medals themselves , including the insignia of the Society of the Cincinnati ."

original sentence,"As of March 2019 , her channel has approximately 3.1 billion video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
wrong word,video 12
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion total video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion monthly video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion individual video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion daily video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion original video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion unique video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion live video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion combined video views and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion video views worldwide and 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion video views and about 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"
mutation sentence,"As of March 2019 , her channel has approximately 3.1 billion video views and around 19.5 million subscribers , [ 3 ] and is the 86th most subscribed channel on YouTube and the eighth-most-popular channel operated by a woman . [ 4 ]"

original sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views . [ 15 ] [ 16 ]"
wrong word,video 18
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion total video views . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion monthly video views . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views worldwide . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views globally . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views online . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views overall . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views monthly . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views annually . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views daily . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views alone . [ 15 ] [ 16 ]"
mutation sentence,"As of January 2019 , Marbles 's YouTube channel had about 19 million subscribers and 2.9 billion video views weekly . [ 15 ] [ 16 ]"

original sentence,"Refusing to work or communicate and demanding a new leader , many of the elder monks completely abandoned any notion of obedience to Horsiesios ."
wrong word,elder 15
mutation sentence,"Refusing to work or communicate and demanding a new leader , many of even the elder monks completely abandoned any notion of obedience to Horsiesios ."
mutation sentence,"Refusing to work or communicate and demanding a new leader , many of the remaining elder monks completely abandoned any notion of obedience to Horsiesios ."
mutation sentence,"Refusing to work or communicate and demanding a new leader , many of the surviving elder monks completely abandoned any notion of obedience to Horsiesios ."
mutation sentence,"Refusing to work or communicate and demanding a new leader , many of the former elder monks completely abandoned any notion of obedience to Horsiesios ."
mutation sentence,"Refusing to work or communicate and demanding a new leader , many of the young elder monks completely abandoned any notion of obedience to Horsiesios ."
mutation sentence,"Refusing to work or communicate and demanding a new leader , many of the local elder monks completely abandoned any notion of obedience to Horsiesios ."
mutation sentence,"Refusing to work or communicate and demanding a new leader , many of the younger elder monks completely abandoned any notion of obedience to Horsiesios ."
mutation sentence,"Refusing to work or communicate and demanding a new leader , many of the older elder monks completely abandoned any notion of obedience to Horsiesios ."

original sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the staccato tapping on the roof climaxed to a thunderous roar ."
wrong word,staccato 27
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the constant staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the rhythmic staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the steady staccato tapping on the roof climaxed to a thunderous roar ."
mutation sentence,"We sat on the porch watching , no longer daring to dart out and leap around in the downfall as drops turned to torrents and the low staccato tapping on the roof climaxed to a thunderous roar ."

original sentence,"As he watched his friends ' fighters hurtle down the catapult , his commanding officer had addressed the last remaining pilots still standing on the flight deck ."
wrong word,commanding 14
mutation sentence,"As he watched his friends ' fighters hurtle down the catapult , his current commanding officer had addressed the last remaining pilots still standing on the flight deck ."

original sentence,"The doctor bares my mother ’s arm , where the crepey flesh hangs loosely on the bones ."
wrong word,crepey 11
mutation sentence,"The doctor bares my mother ’s arm , where the black crepey flesh hangs loosely on the bones ."

original sentence,"A third , turning to face the new threat , took a blow to the face that audibly crunched the bones of his cheek ."
wrong word,third 2
mutation sentence,"A wounded third , turning to face the new threat , took a blow to the face that audibly crunched the bones of his cheek ."
mutation sentence,"A young third , turning to face the new threat , took a blow to the face that audibly crunched the bones of his cheek ."
mutation sentence,"A quiet third , turning to face the new threat , took a blow to the face that audibly crunched the bones of his cheek ."
mutation sentence,"A fallen third , turning to face the new threat , took a blow to the face that audibly crunched the bones of his cheek ."
mutation sentence,"A stunned third , turning to face the new threat , took a blow to the face that audibly crunched the bones of his cheek ."
mutation sentence,"A ragged third , turning to face the new threat , took a blow to the face that audibly crunched the bones of his cheek ."

original sentence,"The outfit he had chosen , khaki pants and a blue button-down shirt -- no tie -- lay neatly folded on the bed ."
wrong word,khaki 7
mutation sentence,"The outfit he had chosen , black khaki pants and a blue button-down shirt -- no tie -- lay neatly folded on the bed ."
mutation sentence,"The outfit he had chosen , dark khaki pants and a blue button-down shirt -- no tie -- lay neatly folded on the bed ."
mutation sentence,"The outfit he had chosen , blue khaki pants and a blue button-down shirt -- no tie -- lay neatly folded on the bed ."
mutation sentence,"The outfit he had chosen , tan khaki pants and a blue button-down shirt -- no tie -- lay neatly folded on the bed ."

original sentence,She lay tense in the dark .
wrong word,tense 3
mutation sentence,She lay there tense in the dark .

original sentence,"I embedded a few of the animals in wax and then cut them into very thin slices using a microtome , mounted the slices on microscope slides , stained the slices to enhance contrast , and then looked at those slides under a compound microscope"
wrong word,few 4
mutation sentence,"I embedded a selected few of the animals in wax and then cut them into very thin slices using a microtome , mounted the slices on microscope slides , stained the slices to enhance contrast , and then looked at those slides under a compound microscope"

original sentence,I used that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
wrong word,compound 5
mutation sentence,I also used that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I now used that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I even used that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I later used that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I myself used that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used exactly that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used almost that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used again that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used precisely that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used just that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used basically that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used essentially that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used roughly that same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that very same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that exact same compound scope to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that same compound scope again to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that same compound scope then to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that same compound scope later to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that same compound scope twice to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that same compound scope now to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that same compound scope once to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that same compound scope here to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .
mutation sentence,I used that same compound scope also to look at squashed bits of tissue to see the stinging capsules ( = nematocysts ) .

original sentence,"It recently published its 50,000th article , and to discuss what the site has achieved since its creation , Wikinews interviewed the site 's founder , Jack Herrick ."
wrong word,"50,000th 5"
mutation sentence,"It recently published its estimated 50,000th article , and to discuss what the site has achieved since its creation , Wikinews interviewed the site 's founder , Jack Herrick ."
mutation sentence,"It recently published its own 50,000th article , and to discuss what the site has achieved since its creation , Wikinews interviewed the site 's founder , Jack Herrick ."
mutation sentence,"It recently published its new 50,000th article , and to discuss what the site has achieved since its creation , Wikinews interviewed the site 's founder , Jack Herrick ."
mutation sentence,"It recently published its official 50,000th article , and to discuss what the site has achieved since its creation , Wikinews interviewed the site 's founder , Jack Herrick ."
mutation sentence,"It recently published its first 50,000th article , and to discuss what the site has achieved since its creation , Wikinews interviewed the site 's founder , Jack Herrick ."
mutation sentence,"It recently published its reported 50,000th article , and to discuss what the site has achieved since its creation , Wikinews interviewed the site 's founder , Jack Herrick ."

original sentence,"We whittle that down on a Monday to about a hundred , come in Tuesday and pick an issue and brainstorm with the whole editorial staff ; all fifteen of us ."
wrong word,editorial 25
